tstamp,gaze_x,gaze_y
9725150.901609,0.659413,0.596083
9725162.751563,0.649953,0.609547
9725179.562388,0.647114,0.610771
9725194.094702,0.621570,0.648715
9725208.498052,0.612110,0.662179
9725240.943409,0.585620,0.694002
9725253.551974,0.578051,0.701346
9725270.547097,0.578051,0.702570
9725285.508249,0.578051,0.707466
9725299.522923,0.578051,0.707466
9725313.936090,0.577105,0.708690
9725329.176144,0.578051,0.709914
9725343.554950,0.577105,0.708690
9725360.355512,0.571429,0.718482
9725389.865489,0.546831,0.713586
9725404.867696,0.543046,0.712362
9725420.029657,0.517502,0.707466
9725434.117960,0.505203,0.702570
9725450.419177,0.505203,0.703794
9725468.653514,0.504257,0.701346
9725479.042472,0.505203,0.697674
9725495.364662,0.505203,0.698898
9725510.275836,0.504257,0.700122
9725540.514526,0.497635,0.692778
9725554.782218,0.491012,0.686659
9725568.998593,0.466414,0.654835
9725584.903547,0.452223,0.646267
9725601.370766,0.437086,0.635251
9725614.044482,0.421003,0.627907
9725630.446104,0.417219,0.627907
9725644.719597,0.417219,0.625459
9725659.030575,0.416272,0.623011
9725690.471441,0.410596,0.623011
9725703.666814,0.402081,0.618115
9725721.294262,0.369915,0.556916
9725736.573139,0.360454,0.529988
9725750.457956,0.353832,0.518972
9725765.838129,0.358562,0.517748
9725778.709977,0.357616,0.505508
9725794.007150,0.359508,0.501836
9725809.199455,0.361400,0.499388
9725839.331940,0.366131,0.495716
9725854.981644,0.367077,0.493268
9725871.179779,0.364238,0.493268
9725884.802206,0.359508,0.503060
9725901.394372,0.357616,0.504284
9725915.384502,0.351939,0.462668
9725928.767743,0.352886,0.458996
9725944.319274,0.352886,0.452876
9725959.194748,0.355724,0.454100
9725990.847578,0.358562,0.446756
9726005.221923,0.359508,0.433293
9726019.706935,0.358562,0.405141
9726035.920689,0.356670,0.396573
9726050.571257,0.359508,0.389229
9726063.536369,0.358562,0.386781
9726080.167359,0.358562,0.389229
9726094.253431,0.358562,0.390453
9726108.774588,0.360454,0.392901
9726141.374345,0.369915,0.394125
9726153.147991,0.368969,0.395349
9726170.137313,0.366131,0.397797
9726185.132826,0.365184,0.397797
9726199.606682,0.366131,0.396573
9726214.737407,0.359508,0.396573
9726229.284893,0.362346,0.399021
9726243.650759,0.373699,0.400245
9726260.313878,0.400189,0.416157
9726289.100943,0.403027,0.417381
9726304.239700,0.404920,0.418605
9726319.811757,0.398297,0.414933
9726334.329345,0.398297,0.416157
9726349.695239,0.397351,0.414933
9726365.514515,0.397351,0.414933
9726378.764329,0.397351,0.414933
9726395.173091,0.405866,0.424725
9726409.548327,0.406812,0.424725
9726440.440762,0.405866,0.425949
9726453.978403,0.419111,0.474908
9726469.584821,0.420057,0.503060
9726485.450952,0.414380,0.527540
9726501.114935,0.416272,0.531212
9726513.970718,0.406812,0.582619
9726529.763666,0.406812,0.580171
9726544.236630,0.407758,0.565483
9726558.880058,0.407758,0.571603
9726589.981780,0.405866,0.567931
9726604.103551,0.403027,0.564259
9726621.045572,0.402081,0.552020
9726636.050009,0.398297,0.543452
9726650.211050,0.394513,0.533660
9726666.402491,0.394513,0.532436
9726679.381884,0.396405,0.527540
9726692.968611,0.397351,0.526316
9726708.682127,0.399243,0.521420
9726739.396065,0.400189,0.521420
9726754.846299,0.397351,0.523868
9726770.408539,0.398297,0.523868
9726784.718624,0.397351,0.526316
9726801.847174,0.397351,0.528764
9726815.194715,0.395459,0.525092
9726828.632844,0.393567,0.512852
9726843.838091,0.394513,0.511628
9726859.115183,0.391675,0.511628
9726891.510114,0.394513,0.509180
9726905.602880,0.395459,0.509180
9726919.614429,0.397351,0.512852
9726934.957565,0.398297,0.511628
9726950.725076,0.399243,0.511628
9726963.526418,0.400189,0.509180
9726979.098475,0.400189,0.506732
9726994.441611,0.399243,0.509180
9727008.691007,0.400189,0.510404
9727041.194822,0.400189,0.512852
9727053.505297,0.399243,0.516524
9727069.839536,0.399243,0.516524
9727084.875657,0.399243,0.516524
9727098.774307,0.398297,0.516524
9727114.663643,0.399243,0.518972
