tstamp,gaze_x,gaze_y
9994880.690533,0.433302,0.674419
9994896.101051,0.434248,0.674419
9994929.170700,0.437086,0.671971
9994943.406263,0.442763,0.660955
9994956.297745,0.451277,0.636475
9994970.698418,0.454115,0.626683
9994986.568565,0.454115,0.621787
9995001.470813,0.455061,0.609547
9995016.794314,0.456008,0.605875
9995031.518958,0.456954,0.602203
9995046.597919,0.460738,0.576499
9995079.512275,0.457900,0.577723
9995093.781753,0.450331,0.587515
9995106.004319,0.448439,0.588739
9995121.286319,0.450331,0.588739
9995136.355016,0.454115,0.593635
9995150.410743,0.467360,0.608323
9995166.180486,0.506149,0.600979
9995181.962277,0.515610,0.598531
9995196.271024,0.511826,0.604651
9995228.874797,0.532640,0.599755
9995243.223259,0.530747,0.604651
9995257.118339,0.526963,0.609547
9995271.299907,0.525071,0.616891
9995285.621149,0.516556,0.637699
9995301.568496,0.517502,0.649939
9995316.727779,0.518448,0.642595
9995331.574694,0.516556,0.636475
9995346.779494,0.507096,0.625459
9995377.762516,0.504257,0.600979
9995393.025328,0.508042,0.598531
9995406.537533,0.516556,0.578947
9995420.667337,0.515610,0.580171
9995436.985511,0.510880,0.582619
9995452.105526,0.508042,0.589963
9995466.295126,0.508988,0.588739
9995482.197402,0.531693,0.593635
9995496.669027,0.543046,0.596083
9995528.250906,0.553453,0.596083
9995542.723870,0.557237,0.596083
9995556.196359,0.561022,0.600979
9995571.736287,0.555345,0.611995
9995586.938856,0.561022,0.613219
9995601.258759,0.561022,0.618115
9995616.861607,0.561022,0.618115
9995630.820501,0.559130,0.618115
9995645.493827,0.557237,0.616891
9995678.887448,0.562914,0.611995
9995692.123875,0.562914,0.609547
9995708.432232,0.561968,0.609547
9995721.608416,0.563860,0.605875
9995737.552194,0.567644,0.604651
9995752.127793,0.570482,0.599755
9995766.678403,0.580889,0.591187
9995780.450321,0.587512,0.577723
9995796.844802,0.586566,0.572827
9995827.916180,0.591296,0.565483
9995843.365521,0.588458,0.567931
9995857.474351,0.595080,0.570379
9995871.015116,0.598865,0.575275
9995887.312316,0.603595,0.569155
9995900.741520,0.599811,0.561812
9995915.453223,0.601703,0.565483
9995931.441178,0.602649,0.565483
9995946.998064,0.597919,0.565483
9995978.862413,0.589404,0.559364
9995993.228725,0.588458,0.569155
9996006.323248,0.588458,0.567931
9996021.229512,0.586566,0.574051
9996036.900636,0.583728,0.577723
9996050.390529,0.584674,0.578947
9996066.634180,0.584674,0.577723
9996081.779631,0.583728,0.575275
9996096.691696,0.557237,0.565483
9996128.410571,0.488174,0.554468
9996141.771054,0.462630,0.529988
9996157.460473,0.453169,0.522644
9996171.163669,0.445601,0.522644
9996185.675456,0.437086,0.536108
9996201.920447,0.425733,0.534884
9996217.114091,0.408704,0.511628
9996231.180082,0.412488,0.509180
9996246.311699,0.404920,0.499388
9996277.582547,0.401135,0.484700
9996292.385283,0.396405,0.471236
9996306.980518,0.395459,0.470012
9996321.343706,0.389782,0.458996
9996337.064362,0.389782,0.456548
9996352.167865,0.387890,0.452876
9996366.366837,0.389782,0.457772
9996381.423931,0.385998,0.457772
9996396.658184,0.385052,0.456548
9996427.971871,0.386944,0.460220
9996442.173966,0.395459,0.458996
9996455.721870,0.405866,0.446756
9996472.183288,0.407758,0.443084
9996487.374701,0.407758,0.443084
9996500.842282,0.407758,0.435741
9996516.682084,0.407758,0.435741
9996531.473665,0.409650,0.433293
9996545.745373,0.412488,0.427173
9996578.326388,0.415326,0.425949
9996592.109015,0.416272,0.425949
9996621.291005,0.417219,0.422277
9996635.506041,0.417219,0.396573
9996665.796941,0.435194,0.384333
9996680.102564,0.446547,0.376989
9996729.185158,0.458846,0.365973
9996743.613497,0.465468,0.362301
9996758.359561,0.467360,0.358629
9996770.683870,0.470199,0.339045
9996786.065829,0.470199,0.328029
9996800.803414,0.469253,0.315789
9996814.967578,0.466414,0.305998
9996831.349119,0.466414,0.303550
9996846.724830,0.462630,0.286414
9996878.963130,0.460738,0.282742
9996892.494077,0.460738,0.280294
9996906.841201,0.456008,0.290086
9996921.267755,0.454115,0.293758
9996936.050411,0.456954,0.285190
9996950.283743,0.460738,0.272950
9996966.840210,0.461684,0.272950
9996982.153001,0.462630,0.270502
9996995.965527,0.472091,0.250918
9997028.144923,0.480605,0.239902
9997041.841872,0.485336,0.241126
9997057.496931,0.486282,0.241126
9997071.042158,0.487228,0.247246
9997088.615610,0.488174,0.249694
9997102.324162,0.488174,0.249694
9997117.264341,0.487228,0.255814
9997130.726120,0.487228,0.255814
