tstamp,gaze_x,gaze_y
10197431.121000,0.706717,0.211750
10197446.619874,0.706717,0.199510
10197461.398067,0.703879,0.195838
10197477.420829,0.703879,0.203182
10197492.424821,0.701987,0.201958
10197506.872348,0.700095,0.198286
10197521.199837,0.700095,0.206854
10197536.330562,0.701041,0.208078
10197567.165431,0.709555,0.239902
10197581.966829,0.712394,0.239902
10197596.326447,0.727531,0.373317
10197611.762847,0.731315,0.410037
10197626.744973,0.735099,0.438188
10197641.547710,0.737938,0.534884
10197657.816797,0.736991,0.532436
10197672.203190,0.736045,0.532436
10197685.301282,0.735099,0.522644
10197717.540029,0.735099,0.522644
10197731.618961,0.738884,0.518972
10197746.660437,0.736045,0.521420
10197761.427028,0.734153,0.526316
10197776.090537,0.734153,0.528764
10197792.016465,0.735099,0.529988
10197807.653673,0.736045,0.527540
10197821.455489,0.738884,0.521420
10197836.615219,0.740776,0.518972
10197867.100682,0.741722,0.515300
10197881.715996,0.741722,0.511628
10197896.282671,0.740776,0.504284
10197910.680220,0.738884,0.506732
10197926.800709,0.739830,0.509180
10197942.620877,0.740776,0.506732
10197957.337935,0.740776,0.507956
10197973.398627,0.743614,0.509180
10197987.137970,0.736991,0.503060
10198017.500269,0.715232,0.478580
10198031.475673,0.708609,0.477356
10198045.545234,0.698202,0.468788
10198061.356031,0.698202,0.457772
10198077.600129,0.699149,0.465116
10198092.179744,0.699149,0.462668
10198108.803148,0.696310,0.463892
10198123.345725,0.697256,0.463892
10198136.061835,0.686850,0.463892
10198167.273779,0.686850,0.460220
10198180.486109,0.685903,0.460220
10198196.436134,0.685903,0.460220
10198212.259872,0.688742,0.461444
10198226.706061,0.688742,0.461444
10198243.367395,0.689688,0.460220
10198270.735857,0.692526,0.457772
10198316.507336,0.682119,0.481028
10198361.011041,0.652791,0.509180
10198406.525038,0.669820,0.498164
10198422.188129,0.672658,0.495716
10198435.858304,0.536424,0.681763
10198468.923044,0.514664,0.698898
10198481.602562,0.513718,0.702570
10198496.485176,0.513718,0.708690
10198511.689084,0.521287,0.700122
10198526.745286,0.516556,0.697674
10198541.761772,0.516556,0.689106
10198558.044247,0.511826,0.679315
10198573.372656,0.509934,0.676867
10198585.966495,0.508988,0.674419
10198617.983906,0.499527,0.665851
10198630.968207,0.497635,0.664627
10198646.533571,0.496689,0.665851
10198661.659386,0.495743,0.667075
10198676.317540,0.495743,0.668299
10198694.281901,0.493851,0.670747
10198706.685195,0.494797,0.670747
10198721.990846,0.496689,0.670747
10198736.978326,0.497635,0.670747
10198766.813168,0.501419,0.681763
10198782.230380,0.501419,0.682987
10198796.564116,0.499527,0.681763
10198810.192790,0.497635,0.678091
10198828.039342,0.496689,0.674419
10198844.032652,0.505203,0.658507
10198856.967867,0.506149,0.648715
10198873.373058,0.514664,0.638923
10198886.906682,0.517502,0.632803
