tstamp,gaze_x,gaze_y
10401108.197151,0.528855,0.283966
10401122.312675,0.530747,0.290086
10401137.734350,0.564806,0.314565
10401152.255954,0.616840,0.358629
10401166.281783,0.660360,0.406365
10401181.659279,0.666036,0.427173
10401196.583840,0.667928,0.430845
10401211.342845,0.669820,0.439412
10401226.755594,0.666036,0.441860
10401258.697589,0.668874,0.452876
10401273.928272,0.665090,0.449204
10401288.551173,0.665090,0.445532
10401301.294503,0.664144,0.438188
10401316.272613,0.665090,0.436965
10401331.539887,0.667928,0.449204
10401346.291306,0.671712,0.461444
10401366.029478,0.677389,0.476132
10401376.745531,0.708609,0.506732
10401408.571058,0.715232,0.522644
10401423.285884,0.715232,0.521420
10401437.155083,0.696310,0.548348
10401451.611982,0.696310,0.552020
10401466.460681,0.695364,0.556916
10401480.796649,0.692526,0.559364
10401496.273657,0.695364,0.561812
10401511.972893,0.695364,0.561812
10401526.510116,0.700095,0.559364
10401558.486026,0.702933,0.558140
10401571.966102,0.707663,0.555692
10401588.045536,0.703879,0.554468
10401601.726867,0.706717,0.554468
10401615.707626,0.698202,0.558140
10401631.760286,0.700095,0.556916
10401650.941548,0.696310,0.561812
10401661.857518,0.685903,0.575275
10401677.320246,0.669820,0.599755
10401707.444252,0.649953,0.637699
10401722.763737,0.649953,0.658507
10401737.080070,0.645222,0.668299
10401750.771218,0.641438,0.691554
10401766.937223,0.646168,0.705018
10401782.397720,0.648061,0.711138
10401796.299048,0.643330,0.717258
10401811.720276,0.643330,0.713586
10401826.427517,0.633869,0.725826
10401857.771994,0.647114,0.716034
10401872.190070,0.648061,0.712362
10401887.099905,0.644276,0.713586
10401901.919153,0.649953,0.711138
10401917.235514,0.648061,0.716034
10401931.235461,0.643330,0.729498
10401946.832062,0.645222,0.746634
10401960.981946,0.648061,0.751530
10401976.095267,0.649953,0.746634
10402007.682054,0.649007,0.761322
10402022.032748,0.642384,0.762546
10402038.461590,0.634816,0.764994
10402052.174604,0.634816,0.766218
10402066.108954,0.635762,0.764994
10402082.002752,0.639546,0.760098
10402096.423059,0.643330,0.764994
10402110.421221,0.652791,0.757650
10402126.452462,0.660360,0.755202
10402157.587206,0.564806,0.796818
10402173.722867,0.530747,0.798042
10402188.189583,0.509934,0.801714
10402201.060092,0.502365,0.809058
10402216.786996,0.508042,0.813953
10402231.266207,0.483444,0.812729
10402245.649922,0.482498,0.810282
10402261.471429,0.484390,0.811505
10402276.847587,0.485336,0.811505
10402308.209468,0.486282,0.788250
10402323.229078,0.487228,0.790698
10402337.358882,0.485336,0.790698
10402351.534202,0.492904,0.787026
10402366.414585,0.497635,0.774786
10402380.472097,0.495743,0.777234
10402396.723335,0.491012,0.772338
10402411.946878,0.487228,0.774786
10402426.601016,0.485336,0.766218
10402457.756287,0.474929,0.762546
10402471.857977,0.465468,0.756426
10402487.639322,0.473037,0.752754
10402500.993558,0.470199,0.753978
10402515.577636,0.486282,0.760098
10402531.924369,0.487228,0.752754
10402546.953797,0.488174,0.751530
10402561.393292,0.488174,0.750306
10402576.705191,0.485336,0.744186
10402607.079985,0.488174,0.728274
10402622.505229,0.485336,0.734394
10402637.503419,0.462630,0.641371
10402650.890677,0.462630,0.635251
10402666.946460,0.460738,0.625459
10402681.990168,0.458846,0.614443
10402696.240903,0.456008,0.608323
10402711.495236,0.454115,0.605875
10402726.461743,0.450331,0.591187
10402757.127041,0.439924,0.585067
10402772.787455,0.430464,0.580171
10402787.201961,0.384106,0.543452
10402801.886889,0.360454,0.505508
10402817.114894,0.355724,0.500612
10402831.125551,0.347209,0.492044
10402846.490107,0.345317,0.495716
10402861.436533,0.342479,0.499388
10402876.896584,0.332072,0.496940
10402908.592700,0.330180,0.498164
10402922.351677,0.333964,0.494492
10402938.437359,0.333964,0.498164
10402951.642996,0.335856,0.500612
10402966.472953,0.339640,0.499388
10402981.840632,0.340587,0.512852
10402995.830762,0.324503,0.539780
10403010.726317,0.287606,0.580171
10403026.871795,0.260170,0.635251
10403057.155556,0.250710,0.652387
10403073.265781,0.250710,0.667075
10403088.039958,0.251656,0.687882
10403100.984990,0.250710,0.703794
10403116.422729,0.248817,0.695226
10403131.801117,0.247871,0.696450
10403145.433807,0.244087,0.697674
10403162.236600,0.247871,0.696450
10403176.860394,0.245033,0.694002
10403208.544908,0.245033,0.692778
10403222.415891,0.246925,0.690331
10403237.352054,0.254494,0.686659
10403251.943272,0.253548,0.682987
10403266.216319,0.251656,0.680539
10403280.566567,0.249763,0.685435
10403296.848595,0.245033,0.697674
10403311.950314,0.267739,0.692778
10403326.325550,0.279092,0.685435
10403357.418348,0.287606,0.684211
10403371.576711,0.300851,0.675643
10403387.715050,0.305582,0.665851
10403401.095167,0.315043,0.652387
10403416.318710,0.314097,0.657283
10403431.522171,0.315043,0.664627
10403447.143762,0.314097,0.658507
10403461.286060,0.309366,0.654835
10403476.468995,0.302744,0.654835
10403506.846913,0.300851,0.651163
10403522.275280,0.318827,0.631579
10403537.669734,0.313150,0.658507
10403550.922226,0.300851,0.712362
10403566.942310,0.297067,0.724602
10403582.280537,0.292337,0.742962
10403595.974809,0.280038,0.789474
10403611.514291,0.280038,0.793146
10403626.545503,0.280038,0.790698
