tstamp,gaze_x,gaze_y
10414503.998551,0.306528,0.268054
10414517.202849,0.306528,0.255814
10414530.927018,0.300851,0.227662
10414546.488812,0.301798,0.235006
10414561.398201,0.298959,0.211750
10414575.563704,0.297067,0.187271
10414606.356627,0.301798,0.204406
10414620.911699,0.299905,0.214198
10414637.326261,0.298959,0.216646
10414652.793898,0.300851,0.216646
10414667.242765,0.301798,0.219094
10414681.124012,0.299905,0.219094
10414696.084272,0.302744,0.214198
10414710.670135,0.300851,0.206854
10414725.132389,0.300851,0.203182
10414756.253746,0.304636,0.188494
10414771.119849,0.345317,0.155447
10414787.612949,0.378430,0.227662
10414801.994434,0.438032,0.277846
10414817.404505,0.514664,0.337821
10414830.903323,0.551561,0.379437
10414845.513729,0.611164,0.433293
10414861.391016,0.638600,0.432069
10414875.689053,0.665090,0.419829
10414907.507440,0.660360,0.441860
10414921.716675,0.666982,0.421053
10414936.184284,0.680227,0.402693
10414951.924574,0.683065,0.403917
10414967.298947,0.679281,0.405141
10414980.654075,0.674551,0.454100
10414995.455026,0.670766,0.490820
10415010.486239,0.658467,0.611995
10415025.579925,0.661306,0.613219
10415057.610723,0.657521,0.637699
10415070.875710,0.660360,0.635251
10415086.690523,0.667928,0.618115
10415102.114874,0.673605,0.597307
10415115.698924,0.675497,0.593635
10415131.224573,0.676443,0.592411
10415146.312011,0.673605,0.589963
10415160.730534,0.652791,0.626683
10415177.026842,0.656575,0.619339
10415206.606879,0.586566,0.686659
10415236.882161,0.541154,0.742962
10415250.603207,0.525071,0.749082
10415281.802210,0.517502,0.776010
10415295.745039,0.521287,0.766218
10415311.720053,0.527909,0.755202
10415326.683436,0.535478,0.735618
10415357.568731,0.530747,0.731946
10415370.601226,0.522233,0.735618
10415385.846188,0.496689,0.700122
10415402.337951,0.494797,0.696450
10415420.281338,0.492904,0.682987
10415430.977756,0.499527,0.675643
10415446.767134,0.501419,0.673195
10415461.294093,0.505203,0.670747
10415475.350266,0.507096,0.669523
10415507.586336,0.503311,0.669523
10415520.621954,0.482498,0.676867
10415537.606814,0.408704,0.687882
10415554.098129,0.345317,0.696450
10415567.910655,0.330180,0.697674
10415583.319388,0.333964,0.695226
10415596.531272,0.300851,0.697674
10415610.572720,0.302744,0.697674
10415625.501743,0.303690,0.697674
10415656.567766,0.302744,0.702570
10415671.474477,0.302744,0.705018
10415687.452615,0.303690,0.705018
10415701.854626,0.304636,0.703794
10415718.106310,0.303690,0.701346
10415730.485060,0.313150,0.695226
10415745.685399,0.333964,0.686659
10415760.740708,0.337748,0.685435
10415775.696952,0.341533,0.685435
10415807.294002,0.346263,0.680539
10415821.741084,0.342479,0.673195
10415836.003422,0.336802,0.664627
10415851.605378,0.333964,0.648715
10415867.689721,0.332072,0.587515
10415880.537025,0.332072,0.576499
10415895.637405,0.333964,0.571603
10415911.175102,0.333018,0.571603
10415925.735083,0.332072,0.563035
10415957.831479,0.332072,0.564259
10415970.619433,0.332072,0.565483
10415986.411934,0.333018,0.566707
10416001.786753,0.333018,0.569155
10416016.253915,0.333018,0.570379
10416031.108416,0.334910,0.567931
10416046.626924,0.331126,0.558140
10416060.688453,0.331126,0.556916
10416076.855797,0.330180,0.555692
10416106.559444,0.328288,0.552020
10416121.101129,0.326395,0.558140
10416135.851209,0.327342,0.555692
10416150.868588,0.330180,0.558140
10416167.563390,0.332072,0.558140
10416196.256298,0.379376,0.615667
10416211.832372,0.401135,0.642595
10416256.949660,0.439924,0.686659
10416286.603773,0.426679,0.670747
10416302.411447,0.428571,0.664627
10416317.875067,0.450331,0.692778
10416330.024450,0.466414,0.685435
10416345.989200,0.479659,0.685435
10416360.825851,0.494797,0.684211
10416375.422870,0.495743,0.684211
10416406.452747,0.501419,0.687882
10416420.544620,0.517502,0.684211
10416437.396054,0.519395,0.685435
10416453.028354,0.520341,0.686659
10416466.995725,0.511826,0.694002
10416483.059095,0.509934,0.690331
10416496.417347,0.513718,0.689106
10416510.445407,0.521287,0.686659
10416525.693493,0.533586,0.686659
10416556.716677,0.593188,0.686659
10416571.842046,0.601703,0.691554
10416586.558212,0.668874,0.692778
10416602.131608,0.678335,0.694002
10416617.647886,0.677389,0.694002
10416632.544333,0.674551,0.690331
10416645.666523,0.679281,0.678091
10416660.790553,0.679281,0.676867
10416676.151092,0.680227,0.678091
10416707.706196,0.674551,0.665851
10416721.185379,0.674551,0.664627
10416735.907346,0.665090,0.619339
10416752.559309,0.663198,0.565483
10416767.179979,0.661306,0.526316
10416779.975519,0.661306,0.523868
10416795.870656,0.662252,0.515300
10416811.012536,0.663198,0.509180
10416825.532355,0.664144,0.495716
10416857.819296,0.663198,0.498164
10416870.774145,0.662252,0.500612
10416886.560845,0.663198,0.501836
10416901.785726,0.663198,0.499388
10416916.002101,0.662252,0.500612
10416932.140439,0.662252,0.496940
10416946.479084,0.662252,0.495716
10416961.318413,0.662252,0.496940
10416976.380416,0.661306,0.494492
