tstamp,gaze_x,gaze_y
10534376.698676,0.507096,0.195838
10534390.090395,0.506149,0.209302
10534405.220673,0.506149,0.219094
10534419.858300,0.505203,0.215422
10534450.298692,0.506149,0.211750
10534465.345523,0.508042,0.172583
10534480.940785,0.503311,0.182375
10534496.756937,0.503311,0.183599
10534511.187954,0.503311,0.183599
10534526.310200,0.504257,0.186047
10534539.841147,0.503311,0.183599
10534554.864773,0.496689,0.179927
10534569.916959,0.496689,0.179927
10534601.384599,0.493851,0.221542
10534615.520204,0.492904,0.219094
10534629.797714,0.725639,0.482252
10534646.034226,0.721854,0.479804
10534661.125681,0.723746,0.487148
10534676.010526,0.740776,0.510404
10534690.598174,0.736045,0.522644
10534705.743178,0.731315,0.537332
10534727.822781,0.723746,0.559364
10534766.015734,0.720908,0.570379
10534769.961405,0.721854,0.574051
10534782.658772,0.721854,0.574051
10534796.551621,0.719962,0.575275
10534811.201297,0.713340,0.578947
10534827.738575,0.712394,0.580171
10534840.508680,0.713340,0.580171
10534855.497499,0.715232,0.578947
10534870.843759,0.715232,0.577723
10534900.995878,0.714286,0.570379
10534915.375131,0.714286,0.570379
10534929.830245,0.710501,0.572827
10534945.309484,0.710501,0.574051
10534961.746805,0.709555,0.575275
10534977.149291,0.710501,0.580171
10534990.077811,0.715232,0.574051
10535005.664149,0.716178,0.567931
10535020.286157,0.716178,0.565483
10535050.938514,0.730369,0.514076
10535064.977284,0.731315,0.510404
10535079.469882,0.729423,0.514076
10535096.813520,0.729423,0.514076
10535112.128543,0.735099,0.517748
10535126.389988,0.733207,0.511628
10535140.644293,0.737938,0.520196
10535155.032917,0.739830,0.525092
10535169.553182,0.737938,0.527540
10535200.920865,0.742668,0.518972
10535215.129653,0.743614,0.517748
10535236.779079,0.740776,0.518972
10535269.062450,0.741722,0.511628
10535277.051073,0.744560,0.507956
10535285.408291,0.744560,0.505508
10535294.612477,0.741722,0.505508
