tstamp,gaze_x,gaze_y
10642176.357925,0.806055,0.358629
10642192.181663,0.806055,0.358629
10642206.841156,0.758751,0.358629
10642220.043669,0.675497,0.359853
10642235.242669,0.663198,0.361077
10642249.937861,0.656575,0.362301
10642265.237711,0.628193,0.363525
10642297.060114,0.629139,0.364749
10642323.987243,0.625355,0.368421
10642336.627491,0.631977,0.364749
10642345.301541,0.627247,0.370869
10642356.093902,0.626301,0.373317
10642370.098758,0.625355,0.372093
10642384.733707,0.626301,0.370869
10642399.602041,0.626301,0.369645
10642415.399897,0.623463,0.364749
10642446.970174,0.625355,0.363525
10642460.012932,0.623463,0.363525
10642490.176208,0.601703,0.359853
10642504.966003,0.608325,0.367197
10642534.807538,0.561968,0.381885
10642550.402354,0.518448,0.378213
10642595.992658,0.508988,0.375765
10642609.694070,0.502365,0.378213
10642625.454442,0.495743,0.381885
10642640.625774,0.493851,0.379437
10642657.266581,0.492904,0.378213
10642669.588659,0.492904,0.378213
10642684.973741,0.497635,0.379437
10642700.078583,0.497635,0.379437
10642714.586800,0.503311,0.370869
10642746.174926,0.503311,0.379437
10642759.798691,0.506149,0.380661
10642775.466245,0.513718,0.391677
10642791.444829,0.514664,0.392901
10642832.252759,0.516556,0.394125
10642839.292671,0.512772,0.396573
10642849.530353,0.503311,0.395349
10642864.946226,0.496689,0.392901
10642894.917617,0.486282,0.392901
10642910.496815,0.479659,0.389229
10642926.289762,0.468307,0.372093
10642940.697574,0.465468,0.374541
10642956.656077,0.461684,0.370869
10642970.151325,0.463576,0.372093
10642984.520761,0.460738,0.372093
10643000.206164,0.458846,0.372093
10643014.711703,0.455061,0.364749
10643046.107499,0.456008,0.367197
10643061.675094,0.459792,0.363525
10643077.325690,0.465468,0.365973
10643091.544742,0.466414,0.364749
10643106.138638,0.469253,0.367197
10643119.973029,0.466414,0.368421
10643135.145254,0.467360,0.370869
10643149.972088,0.468307,0.368421
10643164.192032,0.469253,0.367197
