tstamp,gaze_x,gaze_y
10838486.796371,0.289499,0.399021
10838500.246102,0.298013,0.397797
10838515.589238,0.302744,0.411261
10838530.006421,0.299905,0.407589
10838545.467811,0.299905,0.406365
10838560.552572,0.293283,0.419829
10838576.885472,0.290445,0.423501
10838591.652063,0.292337,0.421053
10838608.389705,0.284768,0.422277
10838652.556498,0.280038,0.414933
10838663.565285,0.276254,0.410037
10838668.548023,0.278146,0.412485
10838679.587601,0.276254,0.429621
10838695.550567,0.288552,0.429621
10838710.932079,0.287606,0.419829
10838727.482745,0.283822,0.403917
10838741.718308,0.270577,0.386781
10838756.604046,0.276254,0.397797
10838786.554017,0.263955,0.372093
10838799.887726,0.257332,0.376989
10838815.242463,0.247871,0.373317
10838830.551238,0.246925,0.374541
10838845.870723,0.247871,0.374541
10838859.654243,0.246925,0.375765
10838876.088440,0.246925,0.374541
10838891.332956,0.247871,0.368421
10838906.180317,0.260170,0.346389
10838936.052642,0.262062,0.347613
10838949.894174,0.270577,0.363525
10838966.709461,0.269631,0.361077
10838980.525111,0.268685,0.361077
10838995.279653,0.267739,0.365973
10839010.621004,0.268685,0.367197
10839026.076592,0.270577,0.370869
10839040.936001,0.270577,0.372093
10839056.031026,0.269631,0.373317
10839086.750765,0.278146,0.378213
10839111.528347,0.275307,0.374541
10839119.642810,0.275307,0.373317
10839133.018465,0.274361,0.365973
10839146.942105,0.270577,0.364749
10839160.731872,0.275307,0.367197
10839175.922839,0.284768,0.375765
10839191.432869,0.280984,0.369645
10839206.445786,0.273415,0.365973
10839239.659571,0.263009,0.370869
10839251.931223,0.251656,0.374541
10839264.866884,0.196783,0.422277
10839281.314914,0.194891,0.436965
10839296.955693,0.185430,0.454100
10839310.537512,0.185430,0.458996
10839326.777147,0.186377,0.457772
10839341.954281,0.192053,0.446756
10839356.740060,0.195837,0.433293
10839386.401760,0.194891,0.430845
10839400.407954,0.197729,0.428397
10839414.754185,0.197729,0.430845
10839430.465024,0.192999,0.440636
10839445.336928,0.192053,0.441860
10839460.551100,0.192053,0.443084
10839478.392744,0.191107,0.440636
10839491.335990,0.191107,0.439412
10839506.828617,0.190161,0.438188
10839536.074865,0.187323,0.422277
10839550.207793,0.187323,0.419829
10839565.424195,0.189215,0.424725
10839580.717352,0.186377,0.421053
10839597.050252,0.189215,0.425949
10839612.967254,0.222327,0.455324
10839629.284982,0.228950,0.461444
10839642.094802,0.227058,0.476132
10839656.070206,0.228950,0.471236
10839686.150035,0.232734,0.471236
10839700.746607,0.231788,0.473684
10839715.389589,0.229896,0.477356
10839730.971464,0.232734,0.485924
10839745.447998,0.233680,0.489596
10839760.143636,0.232734,0.490820
10839777.514495,0.235572,0.490820
10839791.312295,0.245979,0.490820
10839806.117263,0.247871,0.489596
10839836.817367,0.266793,0.477356
10839851.439376,0.267739,0.474908
10839865.949824,0.300851,0.473684
10839880.848502,0.358562,0.472460
10839895.680691,0.486282,0.493268
10839910.377222,0.557237,0.498164
10839925.954188,0.604541,0.496940
10839940.432507,0.596026,0.493268
10839956.395918,0.704825,0.517748
10839986.387391,0.737938,0.520196
10840001.439130,0.742668,0.505508
10840015.533681,0.756859,0.476132
10840029.833503,0.757805,0.473684
10840045.195827,0.754967,0.484700
10840060.107446,0.748344,0.490820
10840074.738826,0.747398,0.490820
10840094.012014,0.748344,0.488372
10840117.093876,0.744560,0.494492
10840152.323336,0.740776,0.505508
10840160.893412,0.741722,0.504284
10840166.655734,0.762535,0.492044
10840180.103680,0.752129,0.501836
10840194.934083,0.781457,0.470012
10840209.676577,0.771996,0.482252
10840226.457504,0.769158,0.485924
10840243.176403,0.769158,0.479804
10840257.121463,0.767266,0.478580
10840286.336921,0.758751,0.471236
10840300.040117,0.750237,0.455324
10840314.779934,0.755913,0.462668
10840329.882991,0.763482,0.462668
10840345.322961,0.755913,0.436965
10840360.227887,0.771996,0.402693
10840376.445656,0.767266,0.407589
10840390.793672,0.763482,0.414933
10840406.197497,0.766320,0.401469
10840436.087672,0.763482,0.397797
10840449.640485,0.755913,0.385557
10840464.919808,0.750237,0.390453
10840480.250449,0.730369,0.394125
10840495.803318,0.734153,0.392901
10840510.461472,0.708609,0.405141
10840525.210213,0.706717,0.407589
10840556.539965,0.696310,0.419829
10840585.873677,0.709555,0.357405
10840607.631094,0.711447,0.348837
10840631.110558,0.671712,0.367197
10840639.702946,0.648061,0.359853
10840646.681723,0.623463,0.348837
10840659.752148,0.614948,0.347613
10840675.574548,0.614948,0.342717
10840690.933748,0.597919,0.350061
10840705.799851,0.579943,0.353733
10840736.647215,0.579943,0.358629
10840750.579780,0.578997,0.364749
10840765.523975,0.575213,0.369645
10840780.342776,0.562914,0.384333
10840795.124986,0.549669,0.381885
10840809.892915,0.513718,0.348837
10840825.947360,0.509934,0.345165
10840840.652370,0.510880,0.346389
10840856.819714,0.506149,0.347613
10840887.052603,0.503311,0.343941
10840900.737950,0.505203,0.350061
10840915.414400,0.503311,0.346389
10840929.874423,0.502365,0.346389
10840944.871721,0.504257,0.350061
10840959.935063,0.512772,0.353733
10840976.421470,0.525071,0.361077
10840992.305451,0.533586,0.356181
10841007.313459,0.535478,0.358629
10841037.365174,0.538316,0.361077
10841050.180795,0.537370,0.362301
10841065.628351,0.534532,0.365973
10841080.444921,0.530747,0.376989
10841101.372774,0.532640,0.374541
10841125.565333,0.533586,0.376989
10841135.028339,0.535478,0.376989
10841145.095556,0.538316,0.379437
10841156.271685,0.540208,0.384333
10841186.295286,0.533586,0.373317
