tstamp,gaze_x,gaze_y
10844529.533851,0.696310,0.385557
10844546.886414,0.696310,0.384333
10844560.202273,0.696310,0.380661
10844576.520893,0.698202,0.364749
10844611.370601,0.699149,0.357405
10844620.358805,0.697256,0.358629
10844635.735409,0.698202,0.356181
10844649.573817,0.705771,0.356181
10844664.256960,0.706717,0.362301
10844680.027149,0.690634,0.389229
10844695.517098,0.691580,0.389229
10844710.777679,0.691580,0.390453
10844725.024398,0.691580,0.384333
10844740.710248,0.690634,0.385557
10844755.152421,0.688742,0.379437
10844785.312572,0.686850,0.381885
10844799.806063,0.685903,0.379437
10844816.568248,0.659413,0.429621
10844830.724380,0.614002,0.505508
10844845.079090,0.579943,0.567931
10844859.978214,0.572375,0.570379
10844874.788537,0.563860,0.588739
10844890.594872,0.578997,0.585067
10844905.874195,0.592242,0.588739
10844936.489959,0.604541,0.592411
10844950.592096,0.603595,0.594859
10844965.916936,0.612110,0.594859
10844979.676359,0.626301,0.596083
10844995.074828,0.641438,0.586291
10845010.079712,0.654683,0.567931
10845024.827561,0.653737,0.571603
10845041.078799,0.653737,0.571603
10845055.755695,0.649007,0.569155
10845098.043363,0.649007,0.563035
10845116.383459,0.649007,0.574051
10845124.263645,0.649953,0.570379
10845133.732006,0.649953,0.564259
10845146.288361,0.651845,0.558140
10845159.316839,0.649007,0.560588
10845175.344064,0.650899,0.565483
10845191.569866,0.648061,0.574051
10845206.323516,0.648061,0.574051
10845237.984825,0.648061,0.575275
10845249.916887,0.650899,0.572827
10845265.031101,0.653737,0.572827
10845280.058297,0.656575,0.574051
