tstamp,gaze_x,gaze_y
10848864.589678,0.619678,0.379437
10848879.925674,0.644276,0.385557
10848894.939037,0.648061,0.400245
10848911.158145,0.646168,0.407589
10848925.836826,0.649953,0.408813
10848939.428909,0.655629,0.402693
10848956.201357,0.659413,0.405141
10848987.398129,0.665090,0.405141
10848999.832659,0.664144,0.403917
10849015.334657,0.666982,0.395349
10849029.712125,0.658467,0.392901
10849045.825920,0.655629,0.395349
10849060.375191,0.654683,0.396573
10849075.148030,0.653737,0.397797
10849108.548344,0.658467,0.395349
10849119.606665,0.657521,0.395349
10849139.032021,0.658467,0.396573
10849150.317033,0.661306,0.392901
10849165.067559,0.662252,0.392901
10849180.794462,0.666036,0.399021
10849195.110349,0.667928,0.401469
10849209.478000,0.676443,0.410037
10849224.898781,0.696310,0.416157
10849239.975510,0.700095,0.414933
10849255.946508,0.711447,0.418605
10849287.156667,0.755913,0.417381
10849300.214598,0.756859,0.416157
10849315.349338,0.754021,0.413709
10849329.831227,0.751183,0.405141
10849344.426907,0.747398,0.403917
10849359.513454,0.743614,0.414933
10849374.687910,0.742668,0.416157
10849390.303253,0.747398,0.410037
10849406.435344,0.748344,0.410037
10849437.065835,0.748344,0.413709
10849450.096544,0.750237,0.414933
10849465.123294,0.748344,0.416157
10849480.223228,0.752129,0.412485
10849494.715826,0.749290,0.411261
10849510.189265,0.750237,0.410037
10849524.655535,0.751183,0.408813
10849540.906772,0.749290,0.410037
10849555.971899,0.728477,0.405141
10849597.395643,0.697256,0.406365
10849615.580893,0.672658,0.408813
10849620.703750,0.666982,0.408813
10849633.048586,0.642384,0.412485
10849646.939651,0.624409,0.414933
10849660.031050,0.614948,0.414933
10849677.301058,0.616840,0.416157
10849691.546438,0.614948,0.419829
10849705.508008,0.614948,0.421053
10849737.341567,0.623463,0.411261
10849749.047385,0.629139,0.403917
10849764.693519,0.623463,0.413709
10849780.416406,0.618732,0.419829
10849794.980403,0.618732,0.418605
10849810.654204,0.619678,0.412485
10849824.923235,0.609272,0.410037
10849839.785768,0.602649,0.407589
10849855.961145,0.565752,0.407589
10849886.443483,0.514664,0.412485
10849899.712040,0.502365,0.413709
10849915.215376,0.491012,0.416157
10849930.427317,0.480605,0.418605
10849946.128338,0.472091,0.416157
10849960.035914,0.464522,0.414933
10849974.731106,0.464522,0.414933
10849990.032295,0.462630,0.410037
10850005.575346,0.456954,0.402693
10850037.715473,0.454115,0.397797
10850050.338765,0.456008,0.392901
10850065.562307,0.460738,0.376989
10850080.344517,0.458846,0.379437
10850095.543962,0.459792,0.379437
10850131.410209,0.459792,0.381885
10850142.701468,0.459792,0.380661
10850147.611022,0.461684,0.378213
10850158.130728,0.462630,0.379437
10850188.298020,0.463576,0.381885
10850200.002499,0.466414,0.383109
10850214.934646,0.464522,0.376989
10850229.777098,0.456954,0.369645
10850244.291116,0.442763,0.369645
10850259.623988,0.421003,0.370869
10850275.077791,0.388836,0.364749
10850289.549862,0.382214,0.367197
10850306.742671,0.365184,0.365973
10850337.660987,0.364238,0.372093
10850349.958076,0.359508,0.369645
10850365.091477,0.354778,0.363525
10850379.306513,0.354778,0.362301
10850394.668391,0.357616,0.358629
10850409.800454,0.359508,0.358629
10850424.546964,0.355724,0.361077
10850440.636216,0.355724,0.363525
10850456.620601,0.356670,0.364749
10850487.375147,0.352886,0.369645
10850499.825296,0.353832,0.368421
10850514.550387,0.357616,0.370869
10850529.726628,0.358562,0.370869
10850545.294223,0.360454,0.363525
10850560.033593,0.359508,0.367197
10850575.863132,0.363292,0.372093
10850593.890413,0.364238,0.376989
