tstamp,mouse_x,mouse_y
1429904828955,0.614948,0.544676
1429904829054,0.619678,0.53978
1429904829164,0.622517,0.517748
1429904829259,0.637654,0.471236
1429904829324,0.66036,0.428397
1429904829418,0.69631,0.378213
1429904829517,0.708609,0.367197
1429904829597,0.704825,0.380661
1429904829690,0.678335,0.391677
1429904829787,0.652791,0.406365
1429904829886,0.644276,0.435741
1429904829994,0.631977,0.47858
1429904830091,0.611164,0.526316
1429904830189,0.594134,0.566707
1429904830284,0.586566,0.594859
1429904830396,0.580889,0.607099
1429904830490,0.562914,0.608323
1429904830587,0.549669,0.594859
1429904830686,0.549669,0.592411
1429904830785,0.547777,0.592411
1429904830859,0.541154,0.575275
1429904830957,0.525071,0.536108
1429904831052,0.514664,0.493268
1429904831118,0.517502,0.474908
1429904831232,0.534532,0.44798
1429904831323,0.546831,0.390453
1429904831420,0.555345,0.359853
