tstamp,mouse_x,mouse_y
1429904856557,0.294229,0.528764
1429904856650,0.311258,0.534884
1429904856730,0.329234,0.537332
1429904856828,0.370861,0.528764
1429904856890,0.411542,0.500612
1429904856987,0.471145,0.436965
1429904857083,0.520341,0.375765
1429904857162,0.540208,0.329253
1429904857259,0.560076,0.264382
1429904857356,0.578997,0.21175
1429904857450,0.593188,0.194614
1429904857562,0.607379,0.225214
1429904857660,0.607379,0.265606
1429904857755,0.596973,0.302326
1429904857852,0.587512,0.347613
1429904857949,0.571429,0.424725
1429904858026,0.557237,0.482252
1429904858091,0.543046,0.52142
1429904858189,0.529801,0.550796
1429904858281,0.521287,0.570379
1429904858395,0.508042,0.586291
1429904858493,0.491012,0.596083
1429904858587,0.476821,0.596083
1429904858685,0.472091,0.596083
1429904858795,0.470199,0.598531
1429904858891,0.469253,0.598531
1429904858988,0.468307,0.598531
1429904859082,0.466414,0.598531
1429904859178,0.465468,0.596083
1429904859260,0.465468,0.594859
1429904859328,0.466414,0.594859
1429904859421,0.466414,0.596083
1429904859515,0.464522,0.593635
1429904859625,0.464522,0.592411
1429904859724,0.46263,0.589963
1429904859822,0.460738,0.588739
1429904859914,0.4579,0.587515
1429904859979,0.455061,0.586291
1429904860059,0.451277,0.574051
1429904860154,0.433302,0.479804
1429904860249,0.424787,0.407589
1429904860348,0.444655,0.376989
1429904860457,0.46736,0.336597
1429904860556,0.476821,0.271726
1429904860654,0.478713,0.19339
1429904860745,0.485336,0.170135
1429904860859,0.483444,0.179927
1429904860958,0.473037,0.190942
1429904861050,0.468307,0.212974
1429904861146,0.465468,0.26683
1429904861213,0.461684,0.320685
1429904861292,0.454115,0.384333
1429904861389,0.443709,0.479804
1429904861486,0.435194,0.555692
1429904861578,0.425733,0.600979
1429904861692,0.418165,0.630355
1429904861758,0.416272,0.638923
1429904861850,0.415326,0.642595
1429904861947,0.427625,0.627907
1429904862046,0.472091,0.608323
1429904862123,0.499527,0.597307
1429904862220,0.521287,0.580171
1429904862313,0.531693,0.574051
1429904862410,0.541154,0.572827
1429904862527,0.535478,0.566707
1429904862618,0.514664,0.563035
1429904862714,0.491958,0.55814
1429904862811,0.476821,0.55202
1429904862923,0.459792,0.5459
1429904862988,0.450331,0.544676
1429904863085,0.438978,0.544676
1429904863177,0.435194,0.543452
1429904863276,0.405866,0.529988
1429904863356,0.340587,0.50918
1429904863450,0.252602,0.498164
1429904863548,0.237465,0.501836
1429904863644,0.25544,0.501836
1429904863706,0.270577,0.501836
1429904863788,0.287606,0.501836
1429904863885,0.316935,0.507956
