tstamp,mouse_x,mouse_y
1429904879967,0.421949,0.682987
1429904880058,0.423841,0.686659
1429904880156,0.426679,0.691554
1429904880238,0.427625,0.691554
1429904880331,0.425733,0.689106
1429904880427,0.424787,0.691554
1429904880496,0.423841,0.694002
1429904880601,0.421003,0.69645
1429904880699,0.421003,0.695226
1429904880798,0.421949,0.692778
1429904880889,0.421949,0.691554
1429904880989,0.423841,0.691554
1429904881070,0.423841,0.692778
1429904881131,0.422895,0.694002
1429904881229,0.427625,0.697674
1429904881326,0.445601,0.697674
1429904881435,0.472091,0.695226
1429904881532,0.482498,0.675643
1429904881626,0.485336,0.647491
1429904881722,0.480605,0.627907
1429904881787,0.481552,0.615667
