tstamp,mouse_x,mouse_y
1429905014878,0.578997,0.386781
1429905014972,0.578051,0.391677
1429905015070,0.578997,0.395349
1429905015182,0.578051,0.403917
1429905015274,0.570482,0.416157
1429905015341,0.562914,0.429621
1429905015438,0.548723,0.456548
1429905015530,0.528855,0.4847
1429905015612,0.517502,0.50306
1429905015710,0.501419,0.529988
1429905015803,0.482498,0.553244
1429905015902,0.464522,0.566707
1429905016010,0.454115,0.578947
1429905016106,0.449385,0.585067
1429905016204,0.448439,0.586291
1429905016297,0.447493,0.589963
1429905016411,0.447493,0.591187
1429905016508,0.446547,0.591187
1429905016602,0.445601,0.589963
1429905016699,0.444655,0.587515
1429905016793,0.443709,0.587515
1429905016873,0.442763,0.587515
1429905016973,0.44087,0.587515
1429905017162,0.438032,0.588739
1429905017245,0.438032,0.587515
1429905017341,0.438978,0.583843
1429905017435,0.43614,0.571603
1429905017531,0.418165,0.553244
1429905017642,0.390728,0.531212
1429905017740,0.374645,0.501836
1429905017806,0.368023,0.482252
1429905017904,0.355724,0.445532
1429905017994,0.328288,0.406365
1429905018075,0.307474,0.385557
1429905018174,0.294229,0.369645
1429905018267,0.301798,0.365973
1429905018363,0.320719,0.374541
1429905018474,0.350047,0.389229
1429905018571,0.382214,0.405141
1429905018669,0.41438,0.413709
1429905018762,0.439924,0.419829
1429905018858,0.458846,0.425949
1429905018942,0.46736,0.432069
1429905019035,0.477767,0.44186
1429905019101,0.480605,0.451652
1429905019197,0.477767,0.470012
1429905019315,0.468307,0.49694
1429905019408,0.456008,0.52754
1429905019504,0.44087,0.554468
1429905019594,0.426679,0.575275
1429905019660,0.422895,0.587515
1429905019740,0.422895,0.597307
1429905019834,0.412488,0.607099
1429905019930,0.406812,0.604651
1429905020029,0.421949,0.596083
1429905020139,0.470199,0.591187
1429905020235,0.530747,0.592411
1429905020301,0.551561,0.594859
1429905020379,0.556291,0.597307
1429905020458,0.55913,0.604651
1429905020541,0.574267,0.610771
1429905020634,0.606433,0.619339
1429905020729,0.653737,0.627907
1429905020828,0.700095,0.638923
1429905020938,0.701987,0.641371
1429905021004,0.69158,0.641371
1429905021101,0.656575,0.643819
1429905021194,0.596973,0.648715
1429905021292,0.533586,0.663403
1429905021374,0.506149,0.678091
1429905021440,0.488174,0.691554
1429905021530,0.469253,0.701346
1429905021596,0.464522,0.705018
1429905021694,0.464522,0.712362
1429905021772,0.463576,0.724602
1429905021869,0.46263,0.762546
1429905021968,0.463576,0.810282
1429905022059,0.464522,0.840881
1429905022173,0.468307,0.853121
1429905022267,0.464522,0.845777
1429905022362,0.427625,0.818849
1429905022460,0.392621,0.767442
1429905022554,0.385998,0.703794
1429905022636,0.398297,0.660955
1429905022735,0.44087,0.591187
1429905022827,0.496689,0.517748
1429905022891,0.530747,0.470012
1429905023005,0.564806,0.416157
1429905023099,0.589404,0.379437
1429905023195,0.606433,0.357405
1429905023292,0.61211,0.346389
1429905023387,0.607379,0.348837
1429905023469,0.599811,0.354957
1429905023566,0.588458,0.359853
1429905023658,0.580889,0.362301
1429905023757,0.578997,0.365973
1429905023838,0.578997,0.367197
1429905023930,0.580889,0.370869
1429905024027,0.584674,0.381885
1429905024092,0.587512,0.392901
1429905024187,0.586566,0.406365
1429905024268,0.587512,0.414933
1429905024366,0.599811,0.439412
1429905024458,0.634816,0.471236
1429905024555,0.679281,0.504284
1429905024624,0.695364,0.5153
1429905024730,0.697256,0.517748
1429905024827,0.685903,0.514076
