tstamp,mouse_x,mouse_y
1429905224029,0.573321,0.663403
1429905224122,0.574267,0.665851
1429905224221,0.574267,0.667075
1429905224302,0.573321,0.664627
1429905224394,0.56859,0.660955
1429905224461,0.565752,0.658507
1429905224558,0.558184,0.652387
1429905224668,0.552507,0.643819
1429905224763,0.546831,0.632803
1429905224860,0.543992,0.610771
1429905224955,0.540208,0.559364
1429905225021,0.53737,0.514076
1429905225102,0.534532,0.471236
1429905225194,0.530747,0.414933
1429905225292,0.526963,0.372093
1429905225389,0.524125,0.331701
1429905225497,0.516556,0.308446
1429905225594,0.511826,0.287638
1429905225661,0.511826,0.276622
1429905225754,0.514664,0.259486
1429905225853,0.517502,0.243574
1429905225932,0.521287,0.238678
1429905226025,0.526017,0.237454
1429905226123,0.53264,0.24235
1429905226222,0.540208,0.252142
1429905226298,0.543046,0.26071
1429905226362,0.546831,0.271726
1429905226459,0.547777,0.294982
1429905226555,0.545885,0.324357
1429905226653,0.541154,0.356181
1429905226732,0.53737,0.379437
1429905226826,0.534532,0.417381
1429905226924,0.53264,0.465116
1429905227023,0.526963,0.505508
1429905227132,0.520341,0.532436
1429905227227,0.500473,0.550796
1429905227327,0.466414,0.555692
1429905227420,0.438978,0.544676
1429905227485,0.423841,0.534884
1429905227567,0.406812,0.52754
1429905227657,0.38789,0.522644
1429905227757,0.382214,0.522644
1429905227853,0.382214,0.525092
1429905227961,0.38316,0.531212
1429905228061,0.390728,0.536108
1429905228153,0.403974,0.53978
1429905228220,0.41438,0.543452
1429905228317,0.429518,0.548348
1429905228399,0.438032,0.549572
1429905228490,0.443709,0.553244
1429905228591,0.449385,0.556916
1429905228687,0.461684,0.55814
1429905228794,0.481552,0.555692
1429905228891,0.508042,0.544676
1429905228985,0.543046,0.528764
1429905229083,0.584674,0.498164
1429905229197,0.613056,0.471236
1429905229289,0.626301,0.455324
1429905229389,0.639546,0.450428
1429905229486,0.664144,0.44186
1429905229593,0.687796,0.436965
1429905229693,0.693472,0.435741
1429905229791,0.698202,0.435741
1429905229883,0.698202,0.438188
1429905229950,0.69631,0.439412
1429905230058,0.69158,0.446756
1429905230122,0.68685,0.456548
1429905230223,0.677389,0.476132
1429905230319,0.659413,0.498164
1429905230426,0.6386,0.52142
1429905230524,0.61684,0.548348
1429905230625,0.582781,0.563035
1429905230684,0.554399,0.564259
1429905230781,0.51561,0.561812
1429905230861,0.491012,0.55814
1429905230955,0.453169,0.553244
1429905231053,0.420057,0.554468
1429905231153,0.402081,0.561812
1429905231260,0.397351,0.567931
