tstamp,mouse_x,mouse_y
1429904372458,0.918638,0.386781
1429904372521,0.913907,0.391677
1429904372620,0.905393,0.392901
1429904372719,0.87701,0.394125
1429904372793,0.84106,0.396573
1429904372891,0.786187,0.397797
1429904372991,0.755913,0.397797
1429904373051,0.752129,0.400245
1429904373149,0.769158,0.405141
1429904373232,0.793756,0.421053
1429904373322,0.820246,0.436965
1429904373420,0.836329,0.457772
1429904373518,0.843898,0.470012
1429904373595,0.843898,0.476132
1429904373661,0.840114,0.476132
1429904373757,0.818354,0.457772
1429904373852,0.788079,0.414933
1429904373950,0.754021,0.390453
1429904374030,0.731315,0.381885
1429904374122,0.714286,0.385557
1429904374221,0.704825,0.402693
1429904374286,0.687796,0.407589
1429904374379,0.647114,0.407589
1429904374460,0.61684,0.412485
1429904374557,0.562914,0.428397
1429904374652,0.490066,0.435741
1429904374749,0.407758,0.440636
1429904374831,0.365184,0.457772
1429904374923,0.33491,0.514076
1429904374988,0.333018,0.577723
1429904375088,0.350993,0.637699
1429904375180,0.368023,0.676867
1429904375259,0.373699,0.694002
1429904375356,0.37843,0.695226
1429904375451,0.374645,0.670747
1429904375549,0.360454,0.607099
1429904375663,0.346263,0.523868
1429904375755,0.33491,0.411261
1429904375854,0.324503,0.317013
1429904375952,0.319773,0.255814
1429904376059,0.311258,0.238678
1429904376157,0.304636,0.249694
1429904376257,0.297067,0.27295
1429904376348,0.283822,0.319461
