tstamp,mouse_x,mouse_y
1429904397391,0.197729,0.368421
1429904397474,0.201514,0.370869
1429904397563,0.210974,0.378213
1429904397662,0.241249,0.390453
1429904397755,0.333018,0.410037
1429904397868,0.443709,0.436965
1429904397966,0.525071,0.463892
1429904398061,0.575213,0.479804
1429904398158,0.596973,0.485924
1429904398257,0.597919,0.493268
1429904398330,0.592242,0.495716
1429904398431,0.531693,0.4847
1429904398526,0.429518,0.4541
1429904398619,0.33018,0.427173
1429904398700,0.28193,0.421053
1429904398798,0.245979,0.419829
1429904398893,0.238411,0.423501
1429904398990,0.237465,0.425949
1429904399107,0.284768,0.445532
1429904399197,0.370861,0.477356
1429904399297,0.456954,0.514076
1429904399394,0.519395,0.55202
1429904399482,0.56859,0.592411
1429904399565,0.598865,0.619339
1429904399660,0.631977,0.649939
1429904399756,0.647114,0.669523
