tstamp,mouse_x,mouse_y
1429904429199,0.580889,0.520196
1429904429291,0.580889,0.522644
1429904429388,0.562914,0.520196
1429904429485,0.498581,0.501836
1429904429571,0.450331,0.4847
1429904429662,0.388836,0.46022
1429904429757,0.341533,0.434517
1429904429851,0.300851,0.400245
1429904429917,0.265847,0.373317
1429904429997,0.232734,0.354957
1429904430097,0.217597,0.347613
1429904430188,0.246925,0.362301
1429904430287,0.315989,0.400245
1429904430405,0.423841,0.444308
1429904430490,0.531693,0.481028
1429904430562,0.592242,0.499388
1429904430650,0.674551,0.50918
1429904430749,0.752129,0.512852
1429904430830,0.794702,0.514076
1429904430922,0.839167,0.517748
1429904431020,0.868496,0.532436
1429904431085,0.876064,0.537332
1429904431182,0.859981,0.537332
1429904431258,0.834437,0.532436
1429904431355,0.771996,0.520196
1429904431454,0.666036,0.506732
1429904431548,0.546831,0.494492
1429904431629,0.465468,0.498164
1429904431728,0.349101,0.507956
1429904431786,0.291391,0.5153
1429904431884,0.245033,0.528764
