tstamp,gaze_x,gaze_y
18384315.838419,0.628193,0.441860
18384329.137321,0.629139,0.438188
18384345.489855,0.631977,0.433293
18384358.896301,0.637654,0.419829
18384372.984604,0.636708,0.422277
18384388.879295,0.635762,0.418605
18384404.465632,0.635762,0.414933
18384418.968940,0.635762,0.419829
18384434.254957,0.635762,0.418605
18384465.287958,0.636708,0.417381
18384480.066151,0.640492,0.413709
18384494.314209,0.643330,0.413709
18384508.084788,0.643330,0.411261
18384523.928160,0.641438,0.411261
18384539.394459,0.640492,0.421053
18384553.818782,0.639546,0.421053
18384568.561276,0.641438,0.423501
18384584.019988,0.641438,0.424725
18384615.187754,0.641438,0.424725
18384630.355963,0.642384,0.423501
18384644.474610,0.645222,0.425949
18384659.391585,0.646168,0.427173
18384674.583891,0.645222,0.427173
18384688.988579,0.633869,0.428397
18384703.785961,0.633869,0.428397
18384718.577988,0.634816,0.428397
18384733.099146,0.641438,0.422277
18384765.417769,0.646168,0.413709
18384780.309308,0.648061,0.408813
18384799.399091,0.651845,0.408813
18384812.025952,0.663198,0.407589
18384823.206543,0.664144,0.406365
18384838.736653,0.665090,0.406365
18384853.541621,0.666982,0.402693
18384868.193974,0.666036,0.400245
18384884.081971,0.665090,0.402693
18384915.575047,0.665090,0.402693
18384931.125239,0.664144,0.405141
18384945.341168,0.663198,0.402693
18384958.244252,0.666982,0.392901
18384973.600775,0.665090,0.395349
18384988.669918,0.666982,0.390453
18385003.111199,0.666036,0.392901
18385018.498958,0.666982,0.391677
18385034.096005,0.664144,0.412485
18385065.766686,0.654683,0.454100
18385079.831338,0.649953,0.468788
18385094.640322,0.642384,0.496940
18385108.836170,0.631977,0.526316
18385123.918254,0.623463,0.545900
18385137.892319,0.621570,0.545900
18385154.076621,0.621570,0.545900
18385169.087306,0.619678,0.547124
18385184.037748,0.618732,0.547124
18385215.769564,0.614948,0.545900
18385228.848915,0.614002,0.545900
18385245.193417,0.615894,0.544676
18385258.137110,0.615894,0.543452
18385272.689058,0.617786,0.538556
18385289.088448,0.617786,0.539780
18385304.425783,0.618732,0.543452
18385318.671163,0.617786,0.547124
18385333.783145,0.615894,0.556916
18385365.344497,0.614948,0.567931
18385379.859853,0.614948,0.564259
18385394.350220,0.634816,0.561812
18385408.407733,0.666982,0.526316
18385424.395242,0.685903,0.492044
18385441.243551,0.690634,0.487148
18385453.114478,0.690634,0.476132
18385468.538830,0.681173,0.446756
18385483.562902,0.671712,0.423501
18385514.287550,0.686850,0.444308
18385529.956889,0.669820,0.430845
18385545.246921,0.657521,0.417381
18385559.119690,0.658467,0.412485
18385574.238365,0.662252,0.407589
18385588.199044,0.666036,0.402693
18385603.732278,0.666036,0.405141
18385618.528767,0.679281,0.410037
18385633.344445,0.678335,0.405141
18385665.970976,0.684957,0.407589
18385679.630440,0.688742,0.414933
18385695.516206,0.689688,0.410037
18385708.913280,0.687796,0.410037
18385723.128763,0.687796,0.410037
18385738.634776,0.689688,0.405141
18385753.376824,0.687796,0.403917
18385767.647640,0.684011,0.401469
18385786.512071,0.684957,0.402693
18385815.223275,0.682119,0.401469
18385830.975614,0.681173,0.394125
18385845.362453,0.680227,0.395349
18385858.385131,0.678335,0.397797
18385875.127235,0.678335,0.400245
18385888.615343,0.676443,0.401469
18385903.181125,0.675497,0.402693
18385918.962916,0.678335,0.410037
18385934.621991,0.681173,0.416157
18385966.023587,0.685903,0.412485
18385979.739725,0.678335,0.414933
18385993.962347,0.676443,0.408813
18386008.683421,0.671712,0.413709
18386023.073830,0.675497,0.410037
18386037.903788,0.631031,0.405141
18386053.907361,0.600757,0.396573
18386069.453090,0.593188,0.391677
18386083.798429,0.554399,0.374541
18386115.347732,0.543046,0.372093
18386128.926873,0.543046,0.370869
18386144.903226,0.543046,0.364749
18386158.568938,0.544939,0.365973
18386173.576053,0.544939,0.365973
18386189.358291,0.546831,0.372093
18386204.304717,0.546831,0.374541
18386218.646932,0.546831,0.372093
18386233.578186,0.546831,0.370869
18386264.942299,0.547777,0.375765
18386279.458102,0.548723,0.376989
18386308.383056,0.545885,0.369645
18386324.097911,0.523179,0.381885
18386353.101404,0.478713,0.402693
18386368.178579,0.444655,0.423501
18386414.742137,0.456008,0.412485
18386430.059390,0.424787,0.440636
18386444.975919,0.426679,0.452876
18386458.850026,0.422895,0.458996
18386473.793775,0.415326,0.479804
18386488.509940,0.399243,0.521420
18386503.202455,0.399243,0.531212
18386519.094022,0.393567,0.541004
18386532.588823,0.389782,0.549572
18386565.483545,0.386944,0.574051
18386579.717770,0.385052,0.569155
18386595.381753,0.385052,0.569155
18386608.377210,0.383160,0.575275
18386623.176823,0.381268,0.576499
18386638.743972,0.380322,0.578947
18386653.544031,0.376537,0.576499
18386667.850993,0.372753,0.576499
18386683.799678,0.377483,0.583843
18386714.877750,0.374645,0.581395
18386730.099954,0.373699,0.578947
18386745.086542,0.382214,0.583843
18386758.115021,0.384106,0.585067
18386773.607201,0.382214,0.581395
18386788.085520,0.425733,0.610771
18386802.840954,0.431410,0.614443
18386818.950734,0.447493,0.627907
18386834.222470,0.456008,0.632803
18386865.149712,0.461684,0.631579
18386879.713263,0.462630,0.631579
18386893.533375,0.458846,0.627907
18386907.996967,0.456008,0.625459
18386923.372232,0.458846,0.631579
18386938.256185,0.458846,0.632803
18386954.081708,0.459792,0.631579
18386969.212432,0.460738,0.632803
18386982.908935,0.465468,0.632803
18387015.086993,0.477767,0.630355
18387029.061504,0.495743,0.625459
18387044.534942,0.508042,0.619339
18387058.491604,0.526017,0.607099
18387073.695066,0.552507,0.618115
18387089.250613,0.546831,0.614443
18387104.549570,0.558184,0.613219
18387118.254998,0.555345,0.607099
18387133.784216,0.555345,0.610771
18387164.321889,0.555345,0.619339
18387179.750702,0.553453,0.618115
18387195.377202,0.546831,0.625459
18387208.494482,0.546831,0.620563
18387224.462803,0.545885,0.620563
18387238.506036,0.545885,0.618115
18387253.496194,0.546831,0.609547
18387268.800506,0.547777,0.603427
18387284.025388,0.548723,0.613219
18387315.635379,0.548723,0.616891
18387330.717463,0.554399,0.614443
18387344.903940,0.557237,0.618115
18387359.335849,0.558184,0.608323
18387375.525506,0.555345,0.610771
18387388.015370,0.559130,0.602203
18387403.700773,0.558184,0.602203
18387418.296007,0.558184,0.602203
18387433.133997,0.556291,0.600979
18387465.941702,0.556291,0.602203
18387479.780556,0.556291,0.600979
18387494.956797,0.556291,0.602203
18387508.912120,0.556291,0.603427
18387522.474304,0.546831,0.605875
18387538.635847,0.549669,0.607099
18387552.985648,0.549669,0.608323
18387567.847735,0.550615,0.604651
18387583.924492,0.551561,0.598531
18387614.444761,0.554399,0.588739
18387629.862419,0.554399,0.592411
18387644.724952,0.558184,0.615667
18387658.454477,0.558184,0.613219
18387675.024778,0.559130,0.613219
18387688.445503,0.561968,0.608323
18387703.955087,0.563860,0.607099
18387719.626210,0.564806,0.605875
18387734.382984,0.562914,0.605875
18387764.553399,0.562914,0.600979
18387779.679661,0.563860,0.597307
18387794.268647,0.563860,0.593635
18387808.149894,0.561968,0.596083
18387823.713473,0.561968,0.596083
18387838.605012,0.561022,0.597307
18387854.834830,0.561968,0.583843
18387868.977575,0.561968,0.583843
18387883.050260,0.567644,0.578947
18387914.564309,0.566698,0.574051
18387928.682511,0.566698,0.574051
18387944.353634,0.574267,0.585067
18387959.292475,0.577105,0.588739
18387973.478951,0.576159,0.588739
18387989.356238,0.574267,0.585067
18388003.945225,0.577105,0.585067
18388017.794789,0.578997,0.588739
18388033.336055,0.578997,0.589963
18388063.645252,0.577105,0.588739
18388079.904076,0.577105,0.589963
18388095.096828,0.572375,0.593635
18388108.511306,0.573321,0.592411
18388124.137359,0.572375,0.592411
18388138.391664,0.574267,0.592411
18388153.305961,0.578051,0.594859
18388168.348776,0.576159,0.593635
18388183.323761,0.573321,0.588739
18388214.865032,0.541154,0.574051
18388230.378186,0.548723,0.575275
18388244.665066,0.524125,0.569155
18388258.647610,0.510880,0.567931
18388273.723447,0.499527,0.565483
18388287.959456,0.432356,0.544676
18388303.471271,0.432356,0.543452
18388318.390923,0.432356,0.541004
18388333.231590,0.436140,0.542228
18388365.557354,0.437086,0.537332
18388379.298481,0.436140,0.536108
18388394.875893,0.434248,0.537332
18388409.546096,0.419111,0.526316
18388422.824024,0.410596,0.522644
18388437.872640,0.409650,0.522644
18388453.508064,0.404920,0.526316
18388468.313478,0.405866,0.525092
18388484.151049,0.402081,0.522644
18388514.373675,0.401135,0.523868
18388529.508862,0.401135,0.521420
18388545.106801,0.399243,0.520196
18388558.255765,0.399243,0.514076
18388572.932215,0.399243,0.515300
18388588.402530,0.399243,0.518972
18388603.514512,0.399243,0.518972
18388619.058456,0.398297,0.521420
18388633.872349,0.396405,0.521420
18388664.421177,0.396405,0.528764
18388680.280169,0.396405,0.527540
18388694.243524,0.398297,0.527540
18388707.962339,0.398297,0.525092
18388723.739668,0.398297,0.522644
18388738.698143,0.394513,0.514076
18388754.095720,0.393567,0.509180
18388768.869451,0.393567,0.503060
18388783.173735,0.392621,0.498164
18388814.396389,0.392621,0.494492
18388828.044251,0.392621,0.494492
18388844.280317,0.389782,0.495716
18388859.840326,0.387890,0.496940
18388873.921489,0.386944,0.498164
18388888.823738,0.386944,0.500612
18388903.567570,0.391675,0.500612
18388918.026700,0.390728,0.500612
18388933.467563,0.391675,0.501836
18388964.223448,0.394513,0.503060
18388980.352415,0.396405,0.500612
18388996.896388,0.395459,0.500612
18389008.360342,0.385998,0.520196
18389023.748548,0.387890,0.520196
18389038.575382,0.387890,0.516524
18389052.395047,0.386944,0.515300
18389067.751570,0.386944,0.517748
18389083.184846,0.388836,0.521420
18389115.604321,0.386944,0.521420
18389130.256228,0.390728,0.529988
18389144.332036,0.392621,0.516524
18389160.077682,0.391675,0.510404
18389173.492160,0.392621,0.499388
18389188.109260,0.392621,0.496940
18389203.430529,0.395459,0.494492
18389218.005236,0.396405,0.492044
18389233.250645,0.396405,0.490820
18389264.921325,0.393567,0.505508
18389278.895391,0.392621,0.510404
18389294.803468,0.392621,0.509180
18389310.106888,0.389782,0.516524
18389322.895735,0.387890,0.510404
18389337.953276,0.388836,0.504284
18389353.454381,0.388836,0.501836
18389368.312005,0.386944,0.498164
18389383.944305,0.387890,0.495716
18389413.949611,0.386944,0.492044
18389429.314613,0.389782,0.488372
18389445.131657,0.390728,0.492044
18389457.509515,0.392621,0.501836
18389473.808501,0.392621,0.501836
