tstamp,gaze_x,gaze_y
18427468.764182,0.460738,0.259486
18427482.504417,0.460738,0.254590
18427514.195178,0.460738,0.254590
18427526.528858,0.461684,0.253366
18427541.425752,0.462630,0.253366
18427556.313274,0.461684,0.258262
18427571.035687,0.459792,0.257038
18427586.634966,0.457900,0.259486
18427602.263250,0.457900,0.259486
18427617.998186,0.457900,0.258262
18427633.027167,0.457900,0.258262
18427663.420703,0.456008,0.259486
18427676.735669,0.456008,0.259486
18427691.520110,0.458846,0.265606
18427706.227350,0.459792,0.265606
18427721.731133,0.458846,0.266830
18427736.875245,0.456954,0.271726
18427751.609260,0.457900,0.276622
18427767.796239,0.470199,0.277846
18427782.329445,0.554399,0.299878
18427813.665444,0.565752,0.304774
18427826.300338,0.570482,0.305998
18427841.217758,0.577105,0.308446
18427856.808558,0.571429,0.309670
18427872.276195,0.573321,0.310894
18427886.671067,0.569536,0.304774
18427901.344393,0.570482,0.304774
18427917.313160,0.570482,0.307222
18427932.021739,0.574267,0.314565
18427963.870470,0.623463,0.375765
18427976.442890,0.631977,0.389229
18427992.227358,0.635762,0.397797
18428007.147010,0.638600,0.401469
18428021.683787,0.640492,0.411261
18428036.535164,0.641438,0.406365
18428051.344148,0.641438,0.407589
18428066.817586,0.639546,0.408813
18428082.180802,0.642384,0.408813
18428113.360170,0.655629,0.399021
18428127.216874,0.658467,0.400245
18428141.911174,0.659413,0.400245
18428156.479187,0.667928,0.406365
18428171.775021,0.668874,0.408813
18428186.538488,0.677389,0.413709
18428201.316681,0.676443,0.412485
18428217.691528,0.675497,0.414933
18428233.452346,0.678335,0.418605
18428264.641978,0.677389,0.421053
18428276.896673,0.674551,0.422277
18428290.896620,0.670766,0.421053
18428306.535614,0.668874,0.422277
18428320.937626,0.670766,0.408813
18428336.103157,0.675497,0.385557
18428351.747506,0.668874,0.416157
18428368.250424,0.669820,0.416157
18428382.718479,0.671712,0.408813
18428414.356138,0.668874,0.419829
18428426.343980,0.667928,0.407589
18428441.533162,0.671712,0.402693
18428456.304216,0.680227,0.396573
18428470.931133,0.684957,0.394125
18428486.723188,0.685903,0.386781
18428502.157356,0.687796,0.384333
18428517.544670,0.688742,0.383109
18428532.854784,0.689688,0.385557
18428564.002915,0.689688,0.380661
18428575.854654,0.690634,0.381885
18428591.245983,0.692526,0.396573
18428605.819798,0.693472,0.395349
18428624.640050,0.694418,0.391677
18428637.143748,0.695364,0.402693
18428651.466775,0.694418,0.408813
18428667.503816,0.695364,0.418605
18428682.511378,0.696310,0.416157
18428713.959384,0.692526,0.411261
18428726.339919,0.690634,0.400245
18428741.524193,0.689688,0.389229
18428757.205580,0.693472,0.399021
18428772.245271,0.690634,0.392901
18428786.292073,0.692526,0.394125
18428801.401378,0.693472,0.395349
18428816.987715,0.692526,0.396573
18428832.012680,0.690634,0.399021
18428863.503972,0.685903,0.408813
18428876.558333,0.685903,0.406365
18428891.961711,0.679281,0.403917
18428907.055397,0.673605,0.396573
18428921.174937,0.619678,0.337821
18428936.485943,0.609272,0.328029
18428951.488596,0.593188,0.310894
18428966.855382,0.569536,0.261934
18428982.253852,0.567644,0.274174
18429013.647862,0.569536,0.280294
18429027.128830,0.572375,0.274174
18429041.956110,0.571429,0.272950
18429056.309481,0.574267,0.271726
18429071.393796,0.575213,0.272950
18429086.478112,0.577105,0.274174
18429101.040770,0.578051,0.276622
18429117.893542,0.578997,0.280294
18429133.494605,0.579943,0.280294
18429164.316087,0.580889,0.276622
18429176.454314,0.580889,0.277846
18429191.571204,0.573321,0.272950
18429206.395361,0.572375,0.274174
18429221.120897,0.569536,0.272950
18429236.273934,0.568590,0.265606
18429251.904449,0.566698,0.269278
18429267.852242,0.558184,0.282742
18429283.197163,0.551561,0.290086
18429313.849073,0.547777,0.293758
18429327.209109,0.545885,0.293758
18429341.316601,0.545885,0.291310
18429355.818571,0.543046,0.290086
18429371.076920,0.542100,0.286414
18429386.856926,0.541154,0.286414
