tstamp,gaze_x,gaze_y
18698369.196457,0.363292,0.310894
18698399.880050,0.365184,0.315789
18698413.853223,0.364238,0.314565
18698428.977700,0.366131,0.314565
18698445.057135,0.367077,0.314565
18698460.976368,0.375591,0.317013
18698475.871031,0.376537,0.315789
18698489.619298,0.376537,0.314565
18698503.573728,0.376537,0.314565
18698518.705345,0.374645,0.314565
18698548.879777,0.374645,0.313341
18698563.769977,0.373699,0.313341
18698579.191204,0.377483,0.315789
18698594.508904,0.377483,0.315789
18698609.823926,0.375591,0.309670
18698625.611073,0.377483,0.294982
18698639.856007,0.378430,0.293758
18698653.592225,0.378430,0.294982
18698668.672970,0.378430,0.297430
18698699.354333,0.377483,0.309670
18698714.310130,0.379376,0.315789
18698729.507791,0.379376,0.319461
18698744.306065,0.379376,0.318237
18698759.255169,0.378430,0.310894
18698774.446582,0.378430,0.307222
18698789.782578,0.378430,0.307222
18698803.590195,0.381268,0.304774
18698818.111799,0.400189,0.320685
18698849.794528,0.429518,0.304774
18698863.445068,0.473037,0.287638
18698878.522243,0.477767,0.283966
18698894.016208,0.500473,0.275398
18698909.167014,0.493851,0.272950
18698924.911321,0.494797,0.272950
18698938.177646,0.494797,0.275398
18698953.099529,0.493851,0.275398
18698968.846068,0.495743,0.277846
18698999.770185,0.495743,0.280294
18699013.524253,0.501419,0.272950
18699028.741102,0.498581,0.271726
18699043.810245,0.503311,0.268054
18699059.297963,0.503311,0.268054
18699074.646454,0.506149,0.269278
18699089.234102,0.508042,0.271726
18699107.210957,0.509934,0.272950
18699119.006023,0.512772,0.272950
18699149.653917,0.537370,0.260710
18699163.156751,0.543046,0.255814
18699178.091575,0.543046,0.269278
18699193.924238,0.542100,0.270502
18699210.125943,0.541154,0.268054
18699224.470389,0.542100,0.269278
18699240.805966,0.543992,0.266830
18699253.890672,0.545885,0.268054
18699268.501078,0.546831,0.268054
18699299.700081,0.543992,0.268054
18699313.189081,0.545885,0.269278
18699328.825844,0.543992,0.277846
18699344.917773,0.541154,0.279070
18699360.357743,0.540208,0.274174
18699376.151137,0.539262,0.271726
18699390.521019,0.538316,0.269278
18699403.503534,0.539262,0.269278
18699418.659248,0.541154,0.268054
18699449.193797,0.540208,0.265606
18699465.446820,0.541154,0.264382
18699479.308878,0.543992,0.269278
18699494.270031,0.545885,0.279070
18699510.281190,0.547777,0.280294
18699525.231633,0.552507,0.283966
18699539.178478,0.557237,0.277846
18699554.002187,0.556291,0.280294
18699568.606793,0.552507,0.286414
18699599.755370,0.552507,0.285190
18699614.033772,0.553453,0.281518
18699629.265347,0.550615,0.282742
18699643.693241,0.549669,0.286414
18699659.513409,0.546831,0.291310
18699674.248317,0.547777,0.292534
18699689.846256,0.547777,0.292534
18699704.369645,0.545885,0.294982
18699718.372716,0.541154,0.313341
18699750.270088,0.543046,0.304774
18699763.569882,0.539262,0.318237
18699778.403855,0.460738,0.476132
18699793.727356,0.442763,0.522644
18699808.929479,0.421003,0.565483
18699824.941531,0.421949,0.564259
18699839.454210,0.414380,0.575275
18699853.555008,0.413434,0.577723
18699869.345278,0.414380,0.581395
18699899.554517,0.411542,0.583843
18699913.527690,0.411542,0.583843
18699928.675371,0.409650,0.580171
18699943.060425,0.409650,0.581395
18699959.656608,0.409650,0.580171
18699975.794946,0.408704,0.580171
18699990.040773,0.407758,0.578947
18700004.343272,0.405866,0.578947
18700018.970636,0.399243,0.578947
18700049.731876,0.401135,0.578947
18700063.680951,0.401135,0.578947
18700079.331547,0.402081,0.576499
18700094.577402,0.406812,0.563035
18700110.792941,0.407758,0.560588
18700124.976740,0.397351,0.576499
18700140.592529,0.400189,0.571603
18700153.971308,0.402081,0.576499
18700168.319324,0.400189,0.577723
18700199.962783,0.402081,0.574051
18700213.005542,0.403974,0.564259
18700228.954674,0.405866,0.571603
18700244.512005,0.399243,0.570379
18700260.087633,0.398297,0.572827
18700275.686019,0.399243,0.576499
18700290.262511,0.400189,0.581395
18700303.143283,0.401135,0.582619
18700318.670717,0.403974,0.586291
18700349.098614,0.403974,0.589963
18700363.813887,0.402081,0.592411
18700381.911674,0.402081,0.589963
18700393.364918,0.398297,0.575275
18700409.763416,0.403027,0.571603
18700425.204278,0.403027,0.572827
18700439.430917,0.404920,0.552020
18700453.843638,0.404920,0.549572
18700468.524550,0.404920,0.549572
18700499.812355,0.406812,0.543452
18700514.428563,0.406812,0.544676
18700528.684653,0.404920,0.548348
18700543.554772,0.403974,0.549572
18700559.698912,0.404920,0.556916
18700574.062100,0.411542,0.567931
18700589.651561,0.410596,0.566707
18700603.840715,0.410596,0.571603
18700618.599273,0.403974,0.576499
18700650.524312,0.403027,0.576499
18700663.387681,0.403027,0.572827
18700678.691547,0.393567,0.564259
18700693.314895,0.393567,0.567931
18700709.099363,0.392621,0.566707
18700724.708459,0.393567,0.566707
18700740.049810,0.392621,0.564259
18700753.661526,0.391675,0.563035
18700769.319262,0.391675,0.558140
18700799.751176,0.393567,0.561812
18700813.424920,0.395459,0.563035
18700828.677915,0.398297,0.564259
18700843.484221,0.401135,0.564259
18700860.231680,0.403027,0.560588
18700876.061665,0.404920,0.559364
18700889.835368,0.405866,0.561812
18700904.182938,0.406812,0.564259
18700918.633143,0.407758,0.564259
18700949.725941,0.411542,0.563035
18700978.440269,0.423841,0.556916
18700997.181982,0.421003,0.553244
18701011.089111,0.421003,0.552020
18701025.180538,0.421949,0.552020
