tstamp,gaze_x,gaze_y
18750250.858012,0.459792,0.614443
18750266.235061,0.458846,0.614443
18750296.856627,0.457900,0.621787
18750311.404114,0.458846,0.623011
18750327.865531,0.460738,0.619339
18750342.478169,0.457900,0.591187
18750358.225153,0.465468,0.545900
18750373.283586,0.479659,0.424725
18750386.144724,0.478713,0.447980
18750401.387009,0.475875,0.474908
18750416.162525,0.476821,0.470012
18750446.886280,0.495743,0.402693
18750461.765770,0.494797,0.405141
18750477.041969,0.494797,0.422277
18750492.119591,0.493851,0.425949
18750508.085680,0.492904,0.403917
18750521.480524,0.493851,0.401469
18750536.087806,0.483444,0.397797
18750551.190417,0.489120,0.391677
18750565.607601,0.518448,0.359853
18750597.614302,0.526963,0.353733
18750611.737858,0.529801,0.351285
18750626.541041,0.526963,0.335373
18750641.788680,0.532640,0.335373
18750656.790887,0.528855,0.348837
18750671.311599,0.525071,0.351285
18750685.824724,0.527909,0.347613
18750700.873786,0.529801,0.351285
18750716.743487,0.537370,0.352509
18750747.696165,0.567644,0.391677
18750761.564024,0.576159,0.388005
18750776.591221,0.609272,0.392901
18750791.756306,0.611164,0.394125
18750807.494365,0.611164,0.396573
18750821.052087,0.608325,0.407589
18750836.439846,0.608325,0.405141
18750851.753084,0.604541,0.414933
18750866.937357,0.604541,0.411261
18750897.624967,0.604541,0.412485
18750911.238022,0.604541,0.413709
18750926.481646,0.607379,0.417381
18750941.656548,0.618732,0.416157
18750958.172407,0.645222,0.416157
18750972.807803,0.651845,0.414933
18750990.950660,0.664144,0.403917
18751001.323107,0.665090,0.402693
18751016.072741,0.671712,0.396573
18751047.273083,0.676443,0.391677
18751060.618393,0.676443,0.389229
18751077.407799,0.672658,0.392901
18751092.863833,0.670766,0.394125
18751107.368926,0.663198,0.397797
18751125.378804,0.663198,0.403917
18751136.100212,0.662252,0.414933
18751150.790049,0.662252,0.412485
18751166.285799,0.663198,0.411261
18751196.710572,0.664144,0.416157
18751211.507508,0.665090,0.427173
18751227.415139,0.668874,0.428397
18751242.607445,0.669820,0.427173
18751258.348628,0.669820,0.424725
18751272.970191,0.667928,0.423501
18751285.600175,0.665090,0.424725
18751301.332880,0.666982,0.425949
18751316.320807,0.665090,0.427173
18751347.150321,0.663198,0.432069
18751361.966445,0.662252,0.435741
18751376.870032,0.614948,0.430845
18751392.819611,0.587512,0.424725
18751407.637519,0.571429,0.424725
18751420.615127,0.540208,0.427173
18751436.234486,0.535478,0.417381
18751450.877468,0.533586,0.419829
18751465.995697,0.529801,0.424725
18751497.829256,0.534532,0.435741
18751511.235256,0.531693,0.432069
18751526.616322,0.528855,0.433293
18751542.328499,0.521287,0.445532
18751556.679639,0.483444,0.451652
18751572.171819,0.464522,0.456548
18751585.941506,0.456954,0.463892
18751601.164156,0.457900,0.466340
18751616.659906,0.453169,0.468788
18751647.278795,0.429518,0.484700
18751661.259553,0.428571,0.484700
18751676.716481,0.431410,0.490820
18751691.742784,0.435194,0.487148
18751707.313949,0.435194,0.484700
18751722.649053,0.432356,0.477356
18751736.499509,0.435194,0.482252
18751751.737778,0.432356,0.490820
18751766.981847,0.420057,0.512852
18751797.459723,0.412488,0.525092
18751812.519049,0.409650,0.531212
18751825.556899,0.408704,0.529988
18751843.004957,0.414380,0.518972
18751858.244565,0.414380,0.521420
18751872.933956,0.416272,0.526316
18751887.086964,0.414380,0.529988
18751902.020003,0.411542,0.534884
18751916.078408,0.410596,0.532436
18751947.521059,0.404920,0.541004
18751960.996226,0.406812,0.536108
18751976.991321,0.408704,0.527540
18751993.849894,0.413434,0.528764
18752007.284453,0.415326,0.533660
18752022.869451,0.411542,0.532436
18752036.500357,0.413434,0.527540
18752051.068816,0.413434,0.526316
18752066.624809,0.412488,0.526316
18752096.738552,0.412488,0.528764
18752111.632768,0.413434,0.527540
18752127.244095,0.414380,0.526316
18752142.779561,0.412488,0.529988
18752158.759929,0.409650,0.531212
18752172.819673,0.408704,0.537332
18752185.707586,0.408704,0.536108
18752201.413516,0.410596,0.538556
18752216.392964,0.411542,0.537332
18752247.373755,0.413434,0.536108
18752262.005134,0.411542,0.534884
18752276.756107,0.409650,0.529988
18752291.925208,0.410596,0.528764
18752307.663714,0.407758,0.529988
18752320.266924,0.408704,0.537332
18752336.210701,0.414380,0.541004
18752350.932222,0.415326,0.542228
18752366.140592,0.417219,0.544676
18752397.869284,0.402081,0.539780
18752410.706771,0.397351,0.532436
18752426.186903,0.412488,0.538556
18752442.098104,0.427625,0.467564
18752456.642467,0.462630,0.378213
18752471.869580,0.467360,0.367197
18752486.265343,0.469253,0.363525
18752501.498257,0.466414,0.372093
18752516.872183,0.468307,0.369645
18752547.001098,0.471145,0.368421
18752561.299581,0.472091,0.375765
18752576.253594,0.472091,0.381885
18752592.133558,0.471145,0.386781
18752607.449473,0.465468,0.405141
18752625.397323,0.446547,0.450428
