tstamp,gaze_x,gaze_y
17874036.396382,0.276254,0.165239
17874051.102731,0.277200,0.168911
17874065.194604,0.277200,0.172583
17874083.557905,0.277200,0.172583
17874097.612293,0.278146,0.170135
17874126.290476,0.279092,0.171359
17874139.219889,0.322611,0.201958
17874172.135138,0.355724,0.230110
17874185.611197,0.407758,0.253366
17874200.548699,0.421949,0.272950
17874216.001164,0.435194,0.288862
17874229.992633,0.441816,0.305998
17874259.478959,0.442763,0.297430
17874274.826557,0.454115,0.291310
17874291.458439,0.456954,0.291310
17874321.047847,0.474929,0.287638
17874335.229415,0.485336,0.280294
17874350.373973,0.516556,0.261934
17874365.331109,0.528855,0.261934
17874379.386837,0.547777,0.264382
17874394.624213,0.561022,0.259486
17874409.763862,0.535478,0.286414
17874425.335027,0.541154,0.292534
17874439.889207,0.562914,0.308446
17874470.840546,0.568590,0.332925
17874485.378661,0.619678,0.365973
17874500.248780,0.687796,0.408813
17874515.434838,0.692526,0.411261
17874530.723086,0.705771,0.421053
17874545.023800,0.706717,0.422277
17874560.356226,0.706717,0.424725
17874584.331019,0.706717,0.424725
17874593.326809,0.701041,0.429621
17874622.295049,0.701987,0.424725
17874635.998245,0.704825,0.418605
17874651.225804,0.707663,0.417381
17874666.291377,0.706717,0.417381
17874681.733132,0.706717,0.417381
17874694.951710,0.707663,0.423501
17874709.713392,0.704825,0.406365
17874724.317997,0.703879,0.335373
17874739.834275,0.702933,0.324357
17874770.553121,0.701987,0.319461
17874786.378644,0.706717,0.320685
17874802.044413,0.704825,0.317013
17874815.730652,0.706717,0.324357
17874831.217031,0.702933,0.321909
17874844.891668,0.702933,0.324357
17874859.300373,0.699149,0.331701
17874875.395426,0.700095,0.330477
17874889.418132,0.701987,0.332925
17874921.218223,0.706717,0.335373
17874935.909845,0.707663,0.335373
17874950.512665,0.707663,0.334149
17874966.059287,0.707663,0.330477
17874979.846823,0.704825,0.324357
17874994.737915,0.681173,0.337821
17875009.937361,0.677389,0.341493
17875024.540181,0.630085,0.357405
17875040.530814,0.624409,0.359853
17875072.009610,0.600757,0.357405
17875105.035528,0.596026,0.354957
17875123.756714,0.598865,0.362301
17875131.892150,0.586566,0.368421
17875136.563857,0.578051,0.359853
17875147.013950,0.577105,0.362301
17875160.052246,0.578997,0.367197
17875174.567603,0.581835,0.368421
17875190.636774,0.582781,0.373317
17875220.672424,0.586566,0.375765
17875235.492118,0.586566,0.374541
17875250.584465,0.585620,0.376989
17875265.388541,0.576159,0.392901
17875279.655341,0.578051,0.392901
17875297.505909,0.529801,0.403917
17875309.689652,0.398297,0.424725
17875325.617365,0.377483,0.430845
17875339.982784,0.370861,0.433293
17875371.114404,0.344371,0.435741
17875385.612804,0.340587,0.399021
17875399.718064,0.341533,0.421053
17875415.719853,0.342479,0.425949
17875432.001881,0.340587,0.413709
17875445.269992,0.340587,0.413709
17875460.360555,0.338694,0.412485
17875475.062887,0.337748,0.413709
17875489.400639,0.335856,0.413709
17875520.512179,0.333964,0.412485
17875535.470654,0.334910,0.408813
17875550.837440,0.330180,0.422277
17875567.005230,0.318827,0.468788
17875628.640609,0.316935,0.483476
17875636.550247,0.314097,0.501836
17875642.404940,0.320719,0.505508
17875670.046057,0.320719,0.509180
17875685.736368,0.319773,0.505508
17875702.340137,0.320719,0.506732
17875717.390984,0.315043,0.505508
17875731.260183,0.315989,0.506732
17875835.577707,0.327342,0.490820
17875850.268437,0.339640,0.466340
17875865.538835,0.332072,0.474908
17875880.926148,0.329234,0.484700
17875894.506628,0.330180,0.500612
17875910.278602,0.329234,0.512852
17875924.277657,0.328288,0.518972
17875939.396779,0.329234,0.526316
17875971.538691,0.330180,0.534884
17875984.475244,0.331126,0.541004
17876000.899177,0.330180,0.544676
17876016.348072,0.333018,0.545900
17876030.997302,0.332072,0.543452
