tstamp,gaze_x,gaze_y
17890339.159468,0.756859,0.528764
17890370.859600,0.752129,0.528764
17890384.782794,0.753075,0.526316
17890399.273161,0.754021,0.525092
17890414.053139,0.759697,0.522644
17890429.595299,0.757805,0.525092
17890445.189668,0.758751,0.527540
17890461.481068,0.760643,0.525092
17890474.937493,0.761589,0.525092
17890489.893736,0.768212,0.520196
17890519.961070,0.773888,0.526316
17890534.106492,0.773888,0.527540
17890548.999816,0.775780,0.528764
17890563.622271,0.776727,0.533660
17890579.977036,0.776727,0.531212
17890598.248411,0.775780,0.538556
17890610.974784,0.747398,0.481028
17890641.274610,0.716178,0.412485
17890652.033056,0.721854,0.425949
17890670.956836,0.719962,0.414933
17890683.636354,0.704825,0.357405
17890699.031700,0.701987,0.334149
17890714.767082,0.697256,0.342717
17890730.974142,0.696310,0.340269
17890744.783544,0.697256,0.341493
17890760.368989,0.700095,0.356181
17890774.162772,0.699149,0.350061
17890788.752205,0.699149,0.346389
17890819.900336,0.699149,0.364749
17890833.372380,0.697256,0.373317
17890849.378184,0.696310,0.373317
17890864.881521,0.676443,0.363525
17890881.027891,0.653737,0.352509
17890895.317896,0.591296,0.326805
17890909.958647,0.573321,0.319461
17890926.376779,0.584674,0.319461
17890939.350370,0.567644,0.309670
17890969.357014,0.532640,0.272950
17890984.834915,0.531693,0.275398
17890999.665765,0.527909,0.280294
17891014.553287,0.526017,0.283966
17891030.109280,0.526017,0.286414
17891045.236435,0.509934,0.304774
17891059.937874,0.496689,0.310894
17891073.453203,0.501419,0.309670
17891089.048911,0.467360,0.335373
17891131.706960,0.403974,0.381885
17891139.032913,0.361400,0.411261
17891148.611050,0.320719,0.436965
17891163.803355,0.321665,0.451652
17891179.607905,0.315043,0.454100
17891194.734613,0.315043,0.455324
17891209.833654,0.314097,0.456548
17891225.405712,0.315043,0.461444
17891239.162904,0.315043,0.455324
17891271.457431,0.315989,0.461444
17891283.829041,0.315989,0.457772
17891299.296232,0.336802,0.527540
17891313.995440,0.338694,0.533660
17891329.497438,0.342479,0.548348
17891345.501904,0.343425,0.547124
17891360.919562,0.346263,0.552020
17891376.399694,0.349101,0.559364
17891389.381763,0.350047,0.556916
17891419.819477,0.349101,0.553244
17891434.077352,0.348155,0.553244
17891448.853314,0.343425,0.550796
17891463.973775,0.337748,0.543452
17891480.420467,0.333964,0.538556
17891496.008143,0.331126,0.534884
17891510.345003,0.330180,0.534884
17891524.194567,0.330180,0.539780
17891538.999088,0.330180,0.539780
17891571.082989,0.330180,0.538556
17891583.852201,0.330180,0.541004
17891604.488658,0.332072,0.536108
17891619.506929,0.333018,0.533660
17891637.761347,0.333018,0.532436
17891649.130252,0.334910,0.531212
17891660.755746,0.336802,0.531212
