tstamp,gaze_x,gaze_y
18160856.805435,0.284768,0.188494
18160870.597879,0.289499,0.186047
18160884.540708,0.288552,0.186047
18160899.369773,0.288552,0.187271
18160914.042206,0.288552,0.187271
18160928.736060,0.287606,0.188494
18160943.964958,0.292337,0.190942
18160975.589675,0.289499,0.179927
18160990.591436,0.287606,0.184823
18161005.192471,0.285714,0.190942
18161020.504369,0.286660,0.197062
18161035.236600,0.288552,0.198286
18161048.661787,0.287606,0.195838
18161063.907196,0.286660,0.193390
18161079.704159,0.290445,0.189718
18161094.309211,0.290445,0.188494
18161125.929466,0.290445,0.192166
18161139.966898,0.291391,0.198286
18161154.979814,0.290445,0.208078
18161170.782579,0.297067,0.216646
18161183.096178,0.429518,0.430845
18161198.865028,0.454115,0.473684
18161214.456274,0.498581,0.555692
18161229.589676,0.509934,0.599755
18161245.803876,0.524125,0.630355
18161274.856455,0.526963,0.624235
18161290.065272,0.528855,0.631579
18161305.215631,0.529801,0.642595
18161318.742562,0.528855,0.641371
18161335.213350,0.523179,0.640147
18161350.045093,0.489120,0.597307
18161363.425210,0.470199,0.537332
18161382.300796,0.467360,0.523868
18161394.445716,0.460738,0.506732
18161425.594740,0.428571,0.418605
18161440.036467,0.442763,0.385557
18161455.652702,0.438032,0.390453
18161470.039541,0.469253,0.335373
18161486.015894,0.473983,0.328029
18161499.529884,0.475875,0.325581
18161514.241141,0.478713,0.325581
18161529.536082,0.481552,0.329253
18161544.124177,0.484390,0.331701
18161574.853287,0.486282,0.330477
18161590.115653,0.486282,0.332925
18161606.592689,0.485336,0.331701
18161621.570798,0.484390,0.326805
18161634.173116,0.480605,0.318237
18161649.165952,0.479659,0.317013
18161663.683540,0.481552,0.312118
18161678.981605,0.477767,0.307222
18161693.893224,0.477767,0.307222
18161724.897666,0.480605,0.302326
18161740.354147,0.481552,0.299878
18161757.698677,0.477767,0.301102
18161770.220671,0.473983,0.305998
18161785.478574,0.471145,0.304774
18161799.430328,0.473037,0.302326
18161814.490099,0.470199,0.302326
18161828.844363,0.470199,0.301102
18161844.631955,0.465468,0.293758
18161875.925561,0.467360,0.301102
18161890.359702,0.472091,0.301102
18161904.630072,0.510880,0.293758
18161920.655958,0.508042,0.293758
18161935.273058,0.524125,0.294982
18161948.373381,0.526963,0.299878
18161965.387246,0.526963,0.303550
18161979.428248,0.527909,0.305998
18161994.359502,0.531693,0.307222
18162025.492908,0.530747,0.310894
18162039.593259,0.531693,0.312118
18162054.810555,0.532640,0.312118
18162070.636078,0.533586,0.312118
18162083.383870,0.534532,0.312118
18162099.530687,0.532640,0.314565
18162114.940313,0.530747,0.315789
18162129.768931,0.529801,0.315789
18162144.540877,0.526963,0.314565
18162174.722449,0.479659,0.319461
18162189.751876,0.404920,0.319461
18162204.537655,0.355724,0.328029
18162219.541201,0.349101,0.325581
18162235.374310,0.341533,0.324357
18162250.294854,0.331126,0.294982
18162264.069896,0.330180,0.290086
18162279.916838,0.328288,0.287638
18162294.580347,0.316935,0.264382
18162325.054653,0.317881,0.259486
18162339.935929,0.318827,0.263158
18162355.421415,0.319773,0.255814
18162371.644094,0.316935,0.250918
18162386.312065,0.317881,0.250918
18162398.344086,0.315989,0.247246
18162414.178533,0.324503,0.257038
18162429.221794,0.331126,0.263158
18162444.228910,0.328288,0.253366
18162475.185157,0.448439,0.258262
18162489.702299,0.456008,0.261934
18162505.833051,0.451277,0.266830
18162521.723725,0.446547,0.255814
18162535.881642,0.453169,0.265606
18162549.869541,0.452223,0.264382
18162564.048878,0.456008,0.269278
18162578.772183,0.455061,0.268054
18162593.796702,0.452223,0.259486
18162625.180895,0.464522,0.244798
18162640.273243,0.466414,0.243574
18162655.369607,0.480605,0.222766
18162670.227231,0.494797,0.199510
18162685.148221,0.502365,0.188494
18162699.057135,0.511826,0.176255
18162713.405598,0.522233,0.161567
18162728.833073,0.525071,0.151775
18162744.303834,0.524125,0.148103
18162775.951756,0.521287,0.156671
18162789.627732,0.522233,0.156671
18162804.889651,0.528855,0.154223
18162820.561221,0.538316,0.152999
18162834.999377,0.568590,0.154223
18162848.833769,0.618732,0.162791
18162864.793611,0.637654,0.181151
18162879.719510,0.648061,0.181151
18162895.044796,0.653737,0.187271
18162925.638249,0.664144,0.188494
18162939.377144,0.672658,0.194614
18162955.097354,0.666036,0.203182
18162969.917941,0.668874,0.199510
18162983.973222,0.665090,0.200734
18162999.321712,0.667928,0.201958
18163014.594342,0.669820,0.203182
18163029.369857,0.672658,0.205630
18163044.229267,0.673605,0.209302
18163075.002108,0.675497,0.211750
18163088.542873,0.676443,0.206854
18163105.241245,0.678335,0.199510
18163120.192580,0.677389,0.193390
18163135.923946,0.677389,0.193390
18163149.978781,0.670766,0.188494
18163164.558843,0.671712,0.192166
18163178.926940,0.671712,0.193390
18163193.569476,0.671712,0.195838
18163224.811318,0.678335,0.199510
18163239.858595,0.688742,0.200734
18163255.605133,0.701041,0.206854
18163271.399865,0.704825,0.212974
18163285.987067,0.707663,0.215422
18163299.098100,0.708609,0.216646
18163314.021769,0.707663,0.215422
18163329.429163,0.708609,0.200734
18163343.345663,0.708609,0.197062
18163375.179222,0.709555,0.184823
18163389.649508,0.710501,0.183599
18163405.485741,0.709555,0.176255
18163421.022992,0.709555,0.176255
18163435.815018,0.710501,0.181151
18163449.198259,0.711447,0.187271
18163464.119696,0.711447,0.187271
18163478.875577,0.711447,0.188494
18163495.343243,0.708609,0.193390
18163525.735440,0.710501,0.190942
18163539.553767,0.710501,0.190942
18163555.267283,0.705771,0.188494
18163569.854039,0.701987,0.183599
18163585.612179,0.680227,0.181151
18163599.453711,0.669820,0.183599
18163613.706677,0.628193,0.186047
18163629.517474,0.568590,0.203182
18163644.869534,0.552507,0.209302
18163676.001601,0.508988,0.214198
18163689.006429,0.507096,0.212974
18163705.082294,0.507096,0.212974
18163720.343321,0.508042,0.214198
18163734.354424,0.507096,0.211750
18163748.803737,0.507096,0.197062
18163764.374902,0.508042,0.190942
18163780.564558,0.504257,0.171359
18163793.900498,0.504257,0.167687
18163824.883073,0.509934,0.176255
18163838.993243,0.508042,0.171359
18163854.836615,0.509934,0.176255
18163870.397517,0.510880,0.175031
18163884.979364,0.497635,0.175031
18163899.373342,0.485336,0.172583
18163914.726742,0.448439,0.173807
18163929.172038,0.441816,0.178703
18163943.875709,0.419111,0.184823
18163975.005991,0.338694,0.205630
18163989.000583,0.335856,0.208078
18164007.494633,0.333018,0.208078
18164020.003686,0.330180,0.209302
18164036.184418,0.332072,0.208078
18164049.568997,0.332072,0.210526
18164063.716204,0.332072,0.211750
18164078.935731,0.332072,0.211750
18164094.252538,0.330180,0.211750
18164124.601896,0.332072,0.215422
18164139.794648,0.330180,0.219094
18164155.756721,0.332072,0.221542
18164171.736644,0.331126,0.209302
18164185.903486,0.329234,0.200734
18164199.294759,0.329234,0.195838
18164214.089910,0.333964,0.198286
18164229.035444,0.334910,0.204406
18164243.443256,0.333018,0.203182
18164275.475839,0.334910,0.219094
18164289.156277,0.321665,0.266830
18164306.085803,0.308420,0.334149
18164321.219651,0.294229,0.411261
18164334.738103,0.295175,0.414933
18164348.925918,0.296121,0.413709
18164364.168649,0.297067,0.412485
18164378.350217,0.298013,0.412485
18164394.839302,0.295175,0.414933
18164425.300220,0.294229,0.414933
18164439.753103,0.294229,0.414933
18164455.153804,0.292337,0.417381
18164469.313060,0.293283,0.419829
18164485.400080,0.292337,0.417381
18164498.682025,0.292337,0.414933
18164513.615064,0.293283,0.417381
18164529.321440,0.293283,0.424725
18164545.056376,0.297067,0.458996
18164575.522203,0.299905,0.487148
18164589.142845,0.300851,0.494492
18164604.865733,0.311258,0.560588
18164620.280267,0.311258,0.561812
18164635.247220,0.312204,0.559364
18164648.899099,0.313150,0.559364
18164669.480668,0.315043,0.558140
18164681.087866,0.316935,0.556916
18164693.297045,0.319773,0.554468
18164725.165411,0.407758,0.534884
18164739.411684,0.448439,0.525092
18164754.691006,0.501419,0.505508
18164771.112709,0.588458,0.468788
18164785.592366,0.607379,0.456548
18164801.694113,0.610218,0.454100
18164814.495454,0.706717,0.397797
18164828.870691,0.708609,0.392901
18164844.064782,0.701987,0.402693
18164874.187449,0.706717,0.388005
18164889.901412,0.702933,0.388005
18164906.495363,0.701041,0.388005
18164920.470321,0.701041,0.388005
18164936.066030,0.701987,0.386781
18164949.595638,0.701041,0.388005
18164964.293508,0.701987,0.388005
18164979.069023,0.701987,0.388005
18164994.259098,0.713340,0.379437
18165026.594233,0.705771,0.441860
18165039.903398,0.706717,0.434517
18165055.523649,0.694418,0.541004
18165071.478136,0.691580,0.543452
18165085.834185,0.685903,0.567931
18165098.716742,0.684957,0.572827
18165114.144217,0.684011,0.572827
18165128.898760,0.685903,0.567931
18165143.499795,0.686850,0.558140
18165175.396274,0.690634,0.536108
18165188.794241,0.709555,0.417381
18165205.182029,0.718070,0.378213
18165220.226182,0.720908,0.370869
18165234.897724,0.729423,0.337821
18165249.194868,0.731315,0.331701
18165263.557164,0.740776,0.314565
18165278.583021,0.740776,0.315789
18165294.489760,0.743614,0.314565
18165325.724016,0.743614,0.320685
18165338.756065,0.743614,0.318237
18165354.760085,0.737938,0.324357
18165369.507934,0.736991,0.320685
18165384.941210,0.736045,0.315789
18165399.106267,0.736045,0.314565
18165414.108920,0.738884,0.312118
18165429.781828,0.740776,0.305998
18165444.815718,0.742668,0.298654
18165474.402895,0.744560,0.294982
18165488.830788,0.742668,0.293758
18165504.899959,0.740776,0.292534
18165520.109222,0.741722,0.293758
18165534.970416,0.738884,0.301102
18165549.163586,0.730369,0.313341
18165564.741891,0.730369,0.313341
18165579.273759,0.734153,0.308446
18165594.090775,0.736991,0.304774
18165625.079152,0.733207,0.301102
18165638.859548,0.736991,0.288862
18165655.022877,0.736991,0.292534
18165670.489175,0.736991,0.293758
18165685.382498,0.724693,0.313341
18165698.927279,0.721854,0.314565
18165714.369480,0.724693,0.313341
18165728.968730,0.621570,0.514076
18165743.892845,0.560076,0.637699
18165774.204719,0.512772,0.727050
18165790.284600,0.508042,0.728274
18165805.699580,0.492904,0.752754
18165820.252421,0.489120,0.741738
18165836.985154,0.494797,0.746634
18165848.980583,0.490066,0.740514
18165863.717722,0.494797,0.746634
18165984.897389,0.569536,0.817625
18165998.301157,0.578051,0.751530
18166013.899543,0.633869,0.725826
18166028.427394,0.626301,0.729498
18166043.049403,0.638600,0.709914
18166075.652729,0.649953,0.700122
18166088.546889,0.700095,0.663403
18166104.581700,0.700095,0.663403
18166119.845404,0.713340,0.656059
18166134.779336,0.713340,0.657283
18166150.318818,0.716178,0.671971
18166163.868061,0.716178,0.675643
18166178.653394,0.715232,0.674419
18166195.183086,0.714286,0.670747
18166224.889410,0.711447,0.675643
18166239.603791,0.713340,0.673195
18166254.445797,0.697256,0.686659
18166269.241839,0.682119,0.698898
18166284.933490,0.686850,0.692778
18166299.147187,0.674551,0.712362
18166318.045978,0.674551,0.711138
18166329.961529,0.673605,0.711138
18166344.630840,0.673605,0.706242
18166375.297922,0.670766,0.708690
18166388.852074,0.667928,0.685435
18166404.260807,0.667928,0.662179
18166419.751202,0.668874,0.641371
18166435.267033,0.667928,0.637699
18166449.864499,0.669820,0.594859
18166464.440991,0.668874,0.575275
18166479.431149,0.669820,0.577723
18166493.471704,0.671712,0.583843
18166525.079465,0.671712,0.583843
18166538.445302,0.672658,0.583843
18166555.560018,0.676443,0.580171
18166571.098607,0.676443,0.576499
18166585.303826,0.517502,0.561812
18166600.289522,0.530747,0.563035
18166613.979777,0.521287,0.560588
18166629.255530,0.528855,0.559364
18166644.219360,0.510880,0.555692
18166674.241177,0.497635,0.552020
18166689.532994,0.497635,0.548348
18166705.956035,0.628193,0.560588
18166720.242024,0.672658,0.563035
18166735.958217,0.666982,0.560588
18166750.097839,0.677389,0.563035
18166763.814422,0.686850,0.564259
18166779.216908,0.689688,0.554468
18166793.449347,0.690634,0.549572
18166825.366353,0.692526,0.556916
18166839.589868,0.693472,0.555692
18166855.053489,0.693472,0.553244
18166869.906204,0.691580,0.555692
18166885.320739,0.689688,0.556916
18166898.449175,0.680227,0.565483
18166914.231859,0.666036,0.569155
18166928.570504,0.666036,0.567931
