tstamp,gaze_x,gaze_y
17098138.629065,0.743614,0.600979
17098152.251937,0.746452,0.583843
17098167.683875,0.746452,0.581395
17098182.363895,0.752129,0.578947
17098197.642772,0.751183,0.580171
17098213.291583,0.747398,0.581395
17098228.168842,0.742668,0.582619
17098243.557940,0.736045,0.589963
17098258.693127,0.739830,0.586291
17098289.017496,0.741722,0.592411
17098302.404753,0.741722,0.591187
17098317.797421,0.741722,0.587515
17098332.976786,0.743614,0.583843
17098348.429251,0.736045,0.583843
17098377.503250,0.721854,0.560588
17098393.833026,0.717124,0.569155
17098408.932067,0.628193,0.489596
17098438.389388,0.567644,0.436965
17098468.405850,0.554399,0.427173
17098482.975648,0.512772,0.406365
17098497.530720,0.507096,0.403917
17098512.465098,0.473037,0.397797
17098527.542720,0.439924,0.392901
17098543.660978,0.421949,0.390453
17098557.718044,0.417219,0.389229
17098589.881376,0.408704,0.385557
17098602.880849,0.410596,0.389229
17098617.976766,0.407758,0.391677
17098632.521575,0.407758,0.392901
17098647.088249,0.385998,0.399021
17098662.199339,0.333018,0.400245
17098677.513915,0.324503,0.400245
17098695.071749,0.324503,0.399021
17098711.647851,0.317881,0.399021
17098739.881576,0.309366,0.397797
17098752.526287,0.309366,0.401469
17098767.642285,0.309366,0.400245
17098782.053221,0.318827,0.395349
17098797.241957,0.318827,0.395349
17098812.678804,0.317881,0.395349
17098828.019262,0.318827,0.394125
17098845.210731,0.317881,0.396573
17098859.771158,0.317881,0.396573
17098889.547542,0.315043,0.396573
17098902.450627,0.315989,0.397797
17098917.309590,0.297067,0.388005
17098932.311350,0.297067,0.390453
17098947.398789,0.291391,0.397797
17098962.538884,0.287606,0.401469
17098978.175647,0.282876,0.394125
17098994.373336,0.281930,0.397797
17099007.832884,0.280984,0.400245
17099039.625389,0.280038,0.397797
17099052.234400,0.279092,0.396573
17099067.155837,0.278146,0.401469
17099082.823390,0.277200,0.395349
17099097.951884,0.277200,0.395349
17099113.464145,0.277200,0.397797
17099127.658207,0.276254,0.389229
17099144.219583,0.276254,0.386781
17099158.937087,0.276254,0.390453
17099188.989249,0.279092,0.394125
17099202.509040,0.279092,0.400245
17099218.013715,0.278146,0.400245
17099233.069470,0.277200,0.403917
17099248.178775,0.277200,0.401469
17099262.737864,0.274361,0.389229
17099276.503534,0.275307,0.390453
17099293.431721,0.272469,0.390453
17099308.756114,0.272469,0.390453
17099339.506198,0.275307,0.394125
17099353.449026,0.274361,0.391677
17099367.398994,0.273415,0.392901
17099383.018800,0.274361,0.390453
17099397.394929,0.276254,0.392901
17099412.153934,0.275307,0.395349
17099427.696986,0.274361,0.395349
17099443.266812,0.274361,0.395349
17099457.934337,0.275307,0.395349
17099490.486346,0.274361,0.390453
17099502.769154,0.273415,0.386781
17099517.547794,0.273415,0.386781
17099532.649512,0.273415,0.384333
17099547.972121,0.276254,0.379437
17099562.234012,0.277200,0.379437
17099578.186268,0.276254,0.375765
17099594.092560,0.276254,0.376989
17099609.761452,0.278146,0.376989
17099640.043428,0.278146,0.376989
17099652.917954,0.279092,0.379437
17099667.640813,0.273415,0.386781
17099681.735363,0.273415,0.388005
17099697.306975,0.275307,0.384333
17099712.895543,0.278146,0.379437
17099727.646962,0.275307,0.376989
17099744.090976,0.276254,0.374541
17099759.476505,0.277200,0.375765
17099790.120383,0.275307,0.375765
17099802.535279,0.275307,0.376989
17099817.610669,0.277200,0.388005
17099832.153693,0.277200,0.388005
17099847.832402,0.280038,0.381885
17099862.279930,0.281930,0.379437
17099878.472710,0.281930,0.379437
17099893.913127,0.282876,0.381885
17099907.798390,0.287606,0.385557
17099939.866672,0.335856,0.418605
17099951.958935,0.419111,0.472460
17099967.629166,0.438978,0.485924
17099983.215949,0.497635,0.523868
17099997.694714,0.675497,0.632803
17100012.513069,0.693472,0.646267
17100027.521970,0.704825,0.659731
17100043.567044,0.720908,0.632803
17100058.665639,0.718070,0.627907
17100088.681208,0.725639,0.613219
17100102.897136,0.724693,0.603427
17100118.083195,0.728477,0.589963
17100132.949298,0.734153,0.581395
17100148.254502,0.747398,0.575275
17100162.530227,0.745506,0.577723
17100177.710931,0.743614,0.585067
17100193.436496,0.746452,0.583843
17100208.286087,0.749290,0.592411
17100240.004070,0.749290,0.596083
17100253.294492,0.749290,0.597307
17100267.479184,0.749290,0.593635
17100282.630435,0.749290,0.597307
17100297.607653,0.742668,0.605875
17100311.989137,0.742668,0.613219
17100327.496489,0.741722,0.609547
17100343.770932,0.737938,0.603427
17100358.504054,0.736991,0.602203
17100392.927155,0.741722,0.600979
17100403.935497,0.740776,0.593635
17100417.782829,0.741722,0.588739
17100432.651163,0.743614,0.570379
17100447.038895,0.742668,0.576499
17100462.481542,0.743614,0.576499
17100477.978185,0.743614,0.574051
17100493.984882,0.743614,0.576499
17100510.022816,0.743614,0.572827
17100539.726463,0.744560,0.578947
17100552.762081,0.746452,0.581395
17100567.970452,0.747398,0.581395
17100581.682573,0.746452,0.580171
17100597.181893,0.746452,0.578947
17100615.146254,0.740776,0.581395
17100627.892261,0.742668,0.581395
17100644.192139,0.745506,0.587515
17100658.626280,0.746452,0.585067
17100689.941752,0.745506,0.586291
17100702.428939,0.747398,0.582619
17100716.801052,0.751183,0.583843
17100732.654689,0.744560,0.594859
17100748.068330,0.741722,0.597307
17100762.529692,0.746452,0.592411
17100777.933070,0.745506,0.585067
17100793.085660,0.744560,0.585067
17100808.202997,0.739830,0.592411
17100840.024954,0.731315,0.570379
17100851.631706,0.733207,0.570379
17100867.869110,0.722800,0.554468
17100883.339871,0.705771,0.531212
17100897.295194,0.699149,0.521420
17100915.883847,0.682119,0.478580
17100927.591003,0.677389,0.471236
17100942.478972,0.674551,0.483476
17100958.400437,0.673605,0.487148
17100988.887684,0.678335,0.485924
17101003.138866,0.677389,0.487148
17101018.473076,0.701041,0.496940
17101032.525680,0.709555,0.499388
17101047.659528,0.707663,0.503060
17101062.657719,0.712394,0.499388
17101077.303378,0.713340,0.503060
17101092.755397,0.712394,0.495716
17101108.088268,0.708609,0.507956
17101140.370300,0.620624,0.594859
17101153.514356,0.600757,0.620563
17101166.887333,0.594134,0.626683
17101182.718657,0.582781,0.632803
17101197.968082,0.572375,0.623011
17101212.544574,0.572375,0.623011
17101227.462887,0.571429,0.630355
17101244.352697,0.570482,0.625459
17101259.086266,0.563860,0.623011
17101290.239306,0.558184,0.619339
17101302.413232,0.552507,0.613219
17101317.599736,0.549669,0.615667
17101332.538130,0.522233,0.599755
17101346.920953,0.515610,0.602203
17101362.797794,0.514664,0.604651
17101378.111924,0.511826,0.608323
17101393.380983,0.511826,0.611995
17101409.249345,0.529801,0.615667
17101439.553187,0.525071,0.620563
17101452.518299,0.528855,0.616891
17101467.790482,0.541154,0.614443
17101481.675745,0.551561,0.602203
17101497.653437,0.557237,0.604651
17101513.127768,0.558184,0.603427
17101527.843487,0.559130,0.603427
17101543.950589,0.558184,0.605875
17101558.728336,0.560076,0.607099
17101589.652900,0.557237,0.604651
17101602.618905,0.555345,0.600979
17101616.505060,0.555345,0.599755
17101632.845546,0.555345,0.600979
17101649.025385,0.549669,0.607099
17101662.804889,0.552507,0.604651
17101678.131960,0.549669,0.607099
17101693.190393,0.555345,0.604651
17101707.854348,0.559130,0.603427
17101739.732532,0.559130,0.602203
17101752.054609,0.557237,0.604651
17101768.079602,0.557237,0.599755
17101783.071992,0.560076,0.600979
17101797.154048,0.559130,0.600979
17101812.439618,0.558184,0.600979
17101827.200408,0.557237,0.600979
17101842.448494,0.558184,0.598531
17101858.216451,0.557237,0.597307
17101888.946454,0.552507,0.593635
17101903.196297,0.553453,0.589963
17101918.531400,0.551561,0.587515
17101932.500110,0.552507,0.587515
17101947.488037,0.551561,0.586291
17101962.642413,0.537370,0.594859
17101976.855664,0.529801,0.587515
17101993.159558,0.450331,0.500612
17102010.226972,0.443709,0.492044
17102041.521917,0.433302,0.476132
17102053.277714,0.427625,0.468788
17102067.529342,0.430464,0.450428
17102082.753777,0.431410,0.446756
17102097.840769,0.432356,0.451652
17102112.169597,0.430464,0.457772
17102129.329829,0.427625,0.451652
17102144.220922,0.414380,0.422277
17102158.929501,0.411542,0.414933
17102190.614908,0.399243,0.381885
17102201.673675,0.397351,0.373317
17102217.127032,0.398297,0.376989
17102232.550937,0.404920,0.391677
17102246.814167,0.398297,0.391677
17102262.619163,0.383160,0.386781
17102277.961406,0.350047,0.385557
17102293.498657,0.341533,0.385557
17102308.273727,0.340587,0.385557
17102339.314314,0.330180,0.384333
17102352.361088,0.333018,0.390453
17102367.340537,0.337748,0.399021
17102381.683198,0.336802,0.394125
17102397.673384,0.337748,0.394125
17102412.848286,0.339640,0.374541
17102427.723760,0.340587,0.374541
17102443.181580,0.342479,0.375765
