tstamp,gaze_x,gaze_y
17123202.726806,0.187323,0.390453
17123217.142204,0.188269,0.384333
17123232.526394,0.189215,0.381885
17123246.897615,0.192999,0.381885
17123260.932815,0.200568,0.383109
17123275.999727,0.199622,0.386781
17123291.470934,0.199622,0.388005
17123306.498130,0.198675,0.390453
17123338.150068,0.193945,0.388005
17123351.834077,0.192053,0.385557
17123367.336967,0.193945,0.385557
17123382.829147,0.191107,0.385557
17123395.622902,0.192053,0.384333
17123410.911150,0.193945,0.385557
17123426.686248,0.220435,0.403917
17123440.869601,0.368969,0.507956
17123457.438563,0.378430,0.512852
17123487.102047,0.393567,0.520196
17123501.961010,0.392621,0.521420
17123517.366619,0.387890,0.520196
17123532.441117,0.393567,0.527540
17123546.765036,0.396405,0.528764
17123562.053284,0.396405,0.532436
17123576.826569,0.393567,0.526316
17123591.774334,0.403027,0.521420
17123606.388756,0.420057,0.521420
17123637.457010,0.433302,0.514076
17123651.929081,0.458846,0.514076
17123666.072719,0.487228,0.510404
17123683.451610,0.485336,0.503060
17123698.567162,0.485336,0.505508
17123711.221690,0.486282,0.501836
17123726.671923,0.485336,0.499388
17123741.422450,0.491012,0.499388
17123755.338057,0.537370,0.494492
17123787.102449,0.558184,0.493268
17123802.232281,0.569536,0.493268
17123818.623192,0.568590,0.498164
17123833.649496,0.564806,0.500612
17123846.358019,0.565752,0.500612
17123861.549432,0.565752,0.500612
17123876.582430,0.568590,0.498164
17123891.688611,0.570482,0.501836
17123905.958088,0.570482,0.504284
17123937.090601,0.569536,0.501836
17123953.638143,0.569536,0.504284
17123968.425708,0.565752,0.506732
17123982.504640,0.564806,0.506732
17123997.667494,0.569536,0.500612
17124011.595596,0.572375,0.495716
17124025.898542,0.573321,0.492044
17124041.561186,0.573321,0.489596
17124056.092608,0.581835,0.490820
17124088.063609,0.591296,0.470012
17124103.018960,0.596026,0.462668
17124116.763211,0.598865,0.461444
17124132.805608,0.599811,0.468788
17124145.769381,0.600757,0.463892
17124160.992478,0.599811,0.471236
17124176.106245,0.600757,0.466340
17124191.683657,0.604541,0.472460
17124206.469883,0.603595,0.473684
17124238.526117,0.604541,0.473684
17124251.897309,0.604541,0.473684
17124267.189127,0.601703,0.477356
17124282.855788,0.597919,0.483476
17124296.118543,0.597919,0.485924
17124311.093529,0.598865,0.487148
17124326.717351,0.599811,0.488372
17124341.688321,0.599811,0.489596
17124356.954702,0.599811,0.492044
17124387.566451,0.602649,0.494492
17124402.330811,0.642384,0.517748
17124417.253586,0.623463,0.500612
17124432.047398,0.621570,0.499388
17124450.202750,0.617786,0.490820
17124462.041548,0.606433,0.477356
17124476.730046,0.606433,0.477356
17124491.939756,0.608325,0.487148
17124506.428784,0.609272,0.487148
17124537.552818,0.609272,0.488372
17124551.415323,0.607379,0.487148
17124567.386767,0.606433,0.496940
17124583.252898,0.605487,0.498164
17124599.222557,0.605487,0.495716
17124611.468774,0.605487,0.478580
17124626.450007,0.605487,0.478580
17124641.525844,0.606433,0.477356
17124655.694917,0.605487,0.471236
17124687.092497,0.622517,0.461444
17124702.099613,0.614948,0.462668
17124718.835916,0.688742,0.399021
17124733.478897,0.698202,0.390453
17124746.342267,0.706717,0.385557
17124761.453356,0.713340,0.362301
17124776.317228,0.717124,0.358629
17124791.380570,0.717124,0.359853
17124806.123510,0.721854,0.359853
17124837.193995,0.724693,0.359853
17124852.853516,0.722800,0.362301
17124868.066795,0.715232,0.357405
17124882.299235,0.712394,0.358629
17124897.087691,0.717124,0.359853
17124911.337088,0.717124,0.361077
17124926.344203,0.716178,0.365973
17124941.173714,0.714286,0.370869
17124956.514619,0.714286,0.370869
17124988.215644,0.712394,0.388005
17125002.365975,0.709555,0.390453
17125016.970580,0.713340,0.385557
17125033.118736,0.713340,0.388005
17125047.490402,0.713340,0.388005
17125060.376084,0.715232,0.386781
17125076.282823,0.722800,0.378213
17125091.517521,0.720908,0.378213
17125106.289021,0.721854,0.378213
17125137.741043,0.724693,0.380661
17125151.249232,0.729423,0.376989
17125166.941329,0.728477,0.374541
17125182.854315,0.732261,0.365973
17125198.244306,0.737938,0.361077
17125211.626654,0.738884,0.363525
17125227.090275,0.740776,0.358629
17125241.857759,0.743614,0.356181
17125256.755545,0.742668,0.361077
17125286.883121,0.747398,0.357405
17125301.872833,0.747398,0.364749
17125316.842464,0.749290,0.365973
17125331.546581,0.750237,0.365973
17125347.501960,0.749290,0.361077
17125361.978494,0.748344,0.358629
17125376.590685,0.749290,0.359853
17125391.580397,0.751183,0.362301
17125406.161797,0.749290,0.361077
17125437.433984,0.748344,0.354957
17125452.056439,0.751183,0.364749
17125467.337547,0.771050,0.381885
17125483.930160,0.787133,0.401469
17125498.408924,0.817408,0.446756
17125511.346370,0.822138,0.451652
17125526.388292,0.833491,0.470012
17125541.710900,0.840114,0.471236
17125555.379736,0.854305,0.477356
17125587.443110,0.853359,0.484700
17125602.685395,0.854305,0.474908
17125618.225323,0.853359,0.481028
17125633.053495,0.855251,0.478580
17125646.060108,0.855251,0.477356
17125661.425109,0.854305,0.476132
17125675.596413,0.854305,0.481028
17125691.037722,0.855251,0.485924
17125705.894008,0.855251,0.478580
17125737.121570,0.860927,0.482252
17125752.611965,0.862819,0.479804
17125767.354459,0.857143,0.483476
17125781.602963,0.856197,0.482252
17125796.204445,0.857143,0.479804
17125811.002719,0.857143,0.474908
17125825.909876,0.858089,0.477356
17125841.738523,0.858089,0.482252
17125858.274463,0.859035,0.490820
17125889.467218,0.864711,0.487148
17125902.335943,0.865658,0.487148
17125916.897262,0.866604,0.487148
17125932.664327,0.867550,0.482252
17125946.959687,0.870388,0.474908
17125960.845843,0.879849,0.455324
17125978.107818,0.880795,0.452876
17125991.944441,0.884579,0.445532
17126006.607504,0.884579,0.450428
17126036.920717,0.882687,0.460220
17126051.726131,0.877957,0.474908
17126067.353076,0.881741,0.468788
17126082.698443,0.883633,0.466340
17126097.870667,0.883633,0.466340
17126114.602062,0.881741,0.470012
17126131.520877,0.877957,0.471236
17126140.625997,0.872280,0.472460
17126156.796911,0.834437,0.471236
17126186.961972,0.721854,0.446756
17126202.579100,0.340587,0.400245
17126218.843725,0.318827,0.396573
17126231.234078,0.251656,0.385557
17126246.926174,0.248817,0.378213
17126261.230012,0.246925,0.361077
17126275.198276,0.246925,0.357405
17126291.152317,0.248817,0.356181
17126306.581577,0.249763,0.357405
17126337.153164,0.246925,0.346389
17126354.679761,0.239357,0.323133
17126369.751582,0.234626,0.305998
17126382.521686,0.235572,0.304774
17126399.863539,0.234626,0.297430
17126410.690707,0.234626,0.292534
17126427.003080,0.236518,0.293758
17126441.260955,0.238411,0.294982
17126456.686199,0.244087,0.303550
17126489.071759,0.244087,0.312118
17126503.380952,0.245033,0.310894
17126519.001204,0.244087,0.317013
17126533.667836,0.245979,0.329253
17126546.230885,0.246925,0.335373
17126561.138042,0.245979,0.336597
17126576.426290,0.247871,0.336597
17126591.595837,0.250710,0.342717
17126606.913090,0.250710,0.342717
17126636.818438,0.244087,0.342717
17126651.987539,0.245979,0.345165
17126667.763083,0.243141,0.350061
17126682.050856,0.245033,0.356181
17126697.824169,0.244087,0.353733
17126711.163678,0.247871,0.362301
17126726.461297,0.248817,0.363525
17126741.423788,0.251656,0.367197
17126756.718283,0.251656,0.368421
17126788.137284,0.254494,0.376989
17126801.380405,0.252602,0.378213
17126816.409832,0.252602,0.374541
17126832.499977,0.253548,0.369645
17126846.659232,0.255440,0.367197
17126860.533339,0.261116,0.367197
17126876.697114,0.263009,0.369645
17126892.162520,0.262062,0.365973
17126907.109392,0.268685,0.364749
17126937.374857,0.270577,0.365973
17126950.688484,0.274361,0.361077
17126966.777736,0.274361,0.361077
17126982.414499,0.274361,0.361077
17126996.722353,0.274361,0.359853
17127011.836120,0.276254,0.359853
17127026.959259,0.279092,0.358629
17127041.322447,0.280038,0.353733
17127056.059586,0.278146,0.358629
17127087.791848,0.276254,0.353733
17127101.193831,0.275307,0.353733
17127118.262138,0.269631,0.351285
17127132.321435,0.268685,0.351285
17127148.352229,0.268685,0.351285
17127161.572146,0.268685,0.347613
17127176.329812,0.266793,0.343941
17127191.265082,0.264901,0.343941
17127206.124045,0.264901,0.345165
17127236.891086,0.268685,0.361077
17127252.409148,0.271523,0.362301
17127268.405582,0.279092,0.364749
17127283.668840,0.279092,0.359853
17127298.159654,0.280038,0.362301
17127310.876209,0.278146,0.359853
17127326.319749,0.277200,0.356181
17127341.349623,0.276254,0.357405
17127355.645429,0.276254,0.356181
17127387.517811,0.272469,0.345165
17127401.590495,0.272469,0.345165
17127417.804249,0.272469,0.346389
17127432.687309,0.275307,0.354957
17127446.707337,0.273415,0.359853
17127461.375755,0.273415,0.357405
17127476.283804,0.275307,0.365973
17127490.865205,0.280038,0.367197
17127507.341795,0.277200,0.365973
17127537.363165,0.276254,0.365973
17127551.445221,0.272469,0.362301
17127567.315369,0.268685,0.363525
17127581.889183,0.267739,0.363525
17127597.438482,0.271523,0.375765
17127610.773975,0.269631,0.374541
17127625.363854,0.269631,0.373317
17127641.483451,0.269631,0.364749
17127657.134493,0.270577,0.361077
17127687.533831,0.270577,0.353733
