tstamp,gaze_x,gaze_y
17136655.943920,0.185430,0.376989
17136686.914001,0.187323,0.384333
17136701.829190,0.192999,0.384333
17136715.971042,0.190161,0.386781
17136731.795227,0.189215,0.385557
17136746.864370,0.189215,0.386781
17136761.228897,0.188269,0.388005
17136775.577359,0.186377,0.388005
17136790.899967,0.185430,0.383109
17136805.715199,0.185430,0.384333
17136837.466203,0.182592,0.386781
17136850.826685,0.183538,0.386781
17136865.800779,0.186377,0.390453
17136881.250120,0.186377,0.392901
17136895.782880,0.187323,0.395349
17136911.830632,0.187323,0.395349
17136925.685104,0.186377,0.396573
17136940.527556,0.185430,0.399021
17136956.226793,0.185430,0.401469
17136986.806412,0.182592,0.400245
17137000.714433,0.183538,0.402693
17137015.832217,0.188269,0.411261
17137030.696088,0.191107,0.416157
17137046.223075,0.189215,0.414933
17137061.895091,0.192053,0.416157
17137075.833457,0.188269,0.395349
17137091.232373,0.187323,0.391677
17137106.160057,0.187323,0.391677
17137136.898985,0.185430,0.386781
17137150.461615,0.185430,0.379437
17137165.136726,0.185430,0.380661
17137181.805646,0.188269,0.381885
17137197.931044,0.189215,0.386781
17137211.603896,0.192053,0.386781
17137227.537856,0.193945,0.384333
17137240.935823,0.193945,0.379437
17137255.548014,0.193945,0.380661
17137286.223129,0.193945,0.383109
17137300.215490,0.195837,0.399021
17137316.055739,0.199622,0.395349
17137332.017366,0.203406,0.400245
17137347.080708,0.204352,0.402693
17137362.497027,0.204352,0.402693
17137376.583991,0.206244,0.405141
17137390.464792,0.206244,0.408813
17137405.852106,0.207190,0.414933
17137436.047064,0.207190,0.418605
17137451.015803,0.207190,0.418605
17137466.505306,0.203406,0.369645
17137481.133115,0.204352,0.367197
17137497.286626,0.204352,0.375765
17137512.250456,0.203406,0.383109
17137526.569912,0.202460,0.383109
17137541.159792,0.202460,0.388005
17137555.626508,0.201514,0.395349
17137588.818874,0.203406,0.399021
17137601.674657,0.203406,0.399021
17137615.475134,0.206244,0.394125
17137631.275221,0.208136,0.395349
17137646.754460,0.210974,0.397797
17137661.229655,0.211921,0.399021
17137676.565205,0.207190,0.400245
17137690.505356,0.208136,0.401469
17137705.716403,0.211921,0.402693
17137737.430370,0.219489,0.401469
17137750.440552,0.212867,0.402693
17137765.815371,0.213813,0.407589
17137781.140657,0.212867,0.401469
17137795.675648,0.212867,0.401469
17137812.259336,0.208136,0.394125
17137827.463244,0.207190,0.394125
17137840.541256,0.206244,0.392901
17137856.293149,0.208136,0.397797
17137887.059743,0.207190,0.399021
17137900.656288,0.209082,0.405141
17137915.604499,0.209082,0.405141
17137930.990028,0.210028,0.396573
17137946.706668,0.211921,0.392901
17137962.445174,0.210974,0.392901
17137977.307707,0.212867,0.397797
17137991.227777,0.228950,0.396573
17138005.915383,0.235572,0.395349
17138036.916700,0.241249,0.392901
17138050.560101,0.253548,0.389229
17138066.908173,0.259224,0.386781
17138081.733221,0.259224,0.384333
17138098.564127,0.258278,0.376989
17138111.949153,0.259224,0.375765
17138127.658654,0.259224,0.375765
17138140.739343,0.259224,0.374541
17138155.255146,0.260170,0.372093
17138186.529563,0.259224,0.367197
17138200.518801,0.258278,0.367197
17138215.950292,0.258278,0.378213
17138231.652652,0.258278,0.376989
17138246.957857,0.258278,0.378213
17138262.662449,0.260170,0.375765
17138276.938620,0.260170,0.375765
17138290.212978,0.259224,0.375765
17138305.862235,0.256386,0.372093
17138335.952773,0.257332,0.374541
17138351.411485,0.257332,0.373317
17138366.457424,0.259224,0.372093
17138381.167342,0.262062,0.369645
17138396.190076,0.266793,0.370869
17138412.200789,0.274361,0.379437
17138424.971786,0.276254,0.384333
17138440.238614,0.271523,0.383109
17138455.459480,0.263955,0.380661
17138487.242613,0.257332,0.378213
17138501.337164,0.250710,0.374541
17138515.148797,0.248817,0.378213
17138530.928357,0.248817,0.378213
17138546.873919,0.248817,0.378213
17138560.843522,0.246925,0.357405
17138576.725272,0.246925,0.357405
17138591.252231,0.246925,0.361077
17138605.496272,0.248817,0.374541
17138637.432467,0.251656,0.367197
17138650.486828,0.254494,0.369645
17138665.406033,0.260170,0.372093
17138680.649211,0.260170,0.373317
17138696.513557,0.262062,0.376989
17138711.360917,0.263955,0.381885
17138726.806688,0.266793,0.385557
17138740.949879,0.266793,0.383109
17138756.002511,0.268685,0.386781
