tstamp,gaze_x,gaze_y
17291030.606394,0.863765,0.504284
17291046.052611,0.862819,0.506732
17291059.768302,0.852412,0.528764
17291073.970843,0.855251,0.520196
17291089.998960,0.855251,0.514076
17291103.375508,0.864711,0.474908
17291118.536130,0.866604,0.477356
17291133.227752,0.865658,0.481028
17291148.284847,0.865658,0.487148
17291180.759655,0.865658,0.488372
17291194.975584,0.866604,0.488372
17291210.122373,0.867550,0.487148
17291223.451172,0.871334,0.490820
17291238.139671,0.868496,0.489596
17291253.589458,0.868496,0.490820
17291268.142299,0.867550,0.493268
17291283.072661,0.866604,0.494492
17291298.993234,0.868496,0.492044
17291330.022665,0.868496,0.490820
17291344.768728,0.867550,0.494492
17291359.774059,0.868496,0.496940
17291372.872597,0.869442,0.494492
17291388.864122,0.872280,0.478580
17291403.075142,0.872280,0.474908
17291418.406229,0.873226,0.473684
17291434.401770,0.877010,0.470012
17291449.420488,0.875118,0.466340
17291479.628834,0.868496,0.472460
17291494.582400,0.866604,0.474908
17291509.592639,0.866604,0.476132
17291523.269507,0.871334,0.472460
17291538.549723,0.867550,0.488372
17291553.291324,0.867550,0.496940
17291569.224391,0.877957,0.482252
17291583.749119,0.876064,0.483476
17291597.946752,0.874172,0.483476
17291629.779864,0.878903,0.477356
17291643.463872,0.870388,0.485924
17291659.348299,0.865658,0.490820
17291674.052416,0.866604,0.490820
17291689.333078,0.872280,0.484700
17291704.216138,0.879849,0.481028
17291718.233935,0.869442,0.481028
17291733.407945,0.782403,0.467564
17291748.506094,0.406812,0.434517
17291779.449400,0.372753,0.417381
17291810.455626,0.323557,0.422277
17291824.135172,0.322611,0.413709
17291853.052986,0.320719,0.417381
17291868.033327,0.318827,0.414933
17291883.749075,0.320719,0.411261
17291898.127435,0.318827,0.408813
17291930.512103,0.298013,0.412485
17291945.328673,0.293283,0.412485
17291959.885530,0.274361,0.396573
17291973.396842,0.272469,0.396573
17291988.517303,0.267739,0.397797
17292003.087994,0.258278,0.388005
17292019.096922,0.257332,0.384333
17292033.121859,0.247871,0.383109
17292048.295869,0.230842,0.388005
17292080.070970,0.221381,0.388005
17292094.243613,0.194891,0.399021
17292109.422532,0.165563,0.392901
17292126.229341,0.162725,0.394125
17292137.923110,0.164617,0.389229
17292153.449205,0.164617,0.391677
17292168.126101,0.164617,0.396573
17292183.363477,0.165563,0.401469
17292199.104214,0.164617,0.399021
17292230.115349,0.162725,0.395349
17292244.685594,0.163671,0.392901
17292259.831490,0.159886,0.412485
17292273.366453,0.151372,0.465116
17292287.982215,0.145695,0.472460
17292305.846171,0.143803,0.490820
17292318.926860,0.142857,0.493268
17292334.034379,0.145695,0.514076
17292348.960279,0.144749,0.503060
17292379.641195,0.146641,0.503060
17292394.737558,0.144749,0.512852
17292409.263625,0.144749,0.516524
17292423.099355,0.144749,0.511628
17292438.759323,0.145695,0.510404
17292454.030167,0.149480,0.506732
17292469.493788,0.149480,0.506732
17292483.997096,0.149480,0.504284
17292498.382596,0.149480,0.495716
17292529.628008,0.148534,0.484700
17292543.866249,0.147588,0.479804
17292559.143340,0.149480,0.492044
17292574.847486,0.145695,0.500612
17292589.082603,0.147588,0.498164
17292603.830898,0.145695,0.501836
17292618.555988,0.143803,0.501836
17292632.854025,0.141911,0.499388
17292648.571111,0.141911,0.498164
17292679.218559,0.137181,0.495716
17292695.456856,0.137181,0.493268
17292710.139553,0.136235,0.488372
17292723.451842,0.133396,0.482252
17292738.549098,0.133396,0.482252
