tstamp,mouse_x,mouse_y
1429908120976,0.479659,0.73317
1429908121041,0.477767,0.73317
1429908121120,0.478713,0.729498
1429908121212,0.481552,0.730722
1429908121309,0.481552,0.73317
1429908121407,0.481552,0.735618
1429908121517,0.480605,0.735618
1429908121614,0.478713,0.738066
1429908121707,0.473983,0.740514
1429908121805,0.46736,0.72093
1429908121919,0.454115,0.662179
1429908122012,0.443709,0.603427
1429908122109,0.445601,0.542228
1429908122207,0.448439,0.487148
1429908122302,0.448439,0.444308
1429908122382,0.447493,0.421053
1429908122479,0.444655,0.396573
1429908122571,0.443709,0.375765
1429908122672,0.439924,0.352509
1429908122752,0.437086,0.342717
1429908122843,0.438032,0.330477
1429908122941,0.441816,0.308446
1429908123006,0.446547,0.293758
1429908123100,0.455061,0.277846
1429908123183,0.460738,0.274174
1429908123279,0.465468,0.277846
1429908123370,0.46263,0.281518
1429908123468,0.4579,0.283966
1429908123584,0.454115,0.286414
1429908123674,0.451277,0.283966
1429908123772,0.448439,0.282742
1429908123872,0.446547,0.28519
1429908123981,0.446547,0.286414
