tstamp,mouse_x,mouse_y
1429908227053,0.535478,0.270502
1429908227149,0.533586,0.270502
1429908227217,0.53264,0.270502
1429908227422,0.533586,0.271726
1429908227521,0.534532,0.27295
1429908227611,0.53737,0.275398
1429908227691,0.539262,0.27907
1429908227786,0.544939,0.292534
1429908227888,0.557237,0.310894
1429908227981,0.572375,0.336597
1429908228074,0.59035,0.367197
1429908228155,0.599811,0.388005
1429908228253,0.611164,0.422277
1429908228348,0.623463,0.452876
1429908228448,0.6386,0.47246
1429908228527,0.647114,0.477356
1429908228620,0.653737,0.482252
1429908228719,0.658467,0.485924
1429908228816,0.662252,0.489596
1429908228924,0.66509,0.494492
1429908229020,0.668874,0.499388
1429908229086,0.670766,0.504284
1429908229179,0.673605,0.507956
1429908229359,0.671712,0.506732
1429908229451,0.667928,0.501836
1429908229549,0.66036,0.495716
1429908229648,0.651845,0.487148
1429908229754,0.6386,0.473684
1429908229820,0.628193,0.463892
1429908229919,0.611164,0.44798
1429908230011,0.594134,0.428397
1429908230109,0.580889,0.405141
1429908230190,0.575213,0.388005
1429908230283,0.567644,0.362301
1429908230349,0.56386,0.346389
1429908230447,0.562914,0.326805
1429908230538,0.562914,0.312118
1429908230622,0.561968,0.30355
1429908230717,0.55913,0.294982
1429908230811,0.557237,0.287638
1429908230907,0.555345,0.280294
1429908230988,0.555345,0.275398
1429908231081,0.555345,0.274174
1429908231180,0.554399,0.276622
1429908231278,0.555345,0.277846
1429908231387,0.557237,0.281518
1429908231485,0.557237,0.286414
1429908231582,0.556291,0.287638
1429908231674,0.554399,0.288862
1429908231773,0.554399,0.29131
1429908231855,0.553453,0.292534
1429908231947,0.553453,0.293758
1429908232046,0.555345,0.293758
1429908232138,0.556291,0.299878
1429908232218,0.558184,0.312118
1429908232287,0.560076,0.330477
1429908232382,0.569536,0.363525
1429908232474,0.579943,0.400245
1429908232572,0.591296,0.445532
1429908232655,0.600757,0.476132
1429908232748,0.620624,0.516524
1429908232812,0.632923,0.53366
1429908232912,0.642384,0.55202
1429908233002,0.645222,0.564259
1429908233084,0.647114,0.571603
1429908233183,0.648061,0.585067
1429908233275,0.649007,0.600979
1429908233371,0.650899,0.618115
1429908233454,0.651845,0.627907
1429908233547,0.650899,0.643819
1429908233647,0.649953,0.652387
1429908233744,0.649007,0.654835
1429908233835,0.649953,0.656059
1429908233918,0.649953,0.653611
1429908234015,0.649007,0.648715
1429908234109,0.647114,0.645043
1429908234173,0.645222,0.642595
1429908234286,0.637654,0.638923
1429908234379,0.626301,0.635251
1429908234478,0.610218,0.631579
1429908234576,0.578997,0.626683
1429908234683,0.544939,0.625459
1429908234749,0.528855,0.626683
1429908234849,0.519395,0.630355
1429908234938,0.516556,0.631579
1429908235036,0.518448,0.632803
1429908235119,0.520341,0.634027
1429908235214,0.521287,0.638923
1429908235309,0.522233,0.642595
1429908235402,0.517502,0.647491
1429908235466,0.514664,0.649939
1429908235549,0.512772,0.651163
1429908235671,0.507096,0.651163
1429908235770,0.499527,0.649939
1429908235868,0.497635,0.649939
1429908235947,0.497635,0.651163
1429908236013,0.496689,0.652387
1429908236110,0.494797,0.651163
1429908236209,0.493851,0.649939
1429908236300,0.491958,0.651163
1429908236482,0.491012,0.649939
1429908236570,0.491012,0.647491
1429908236636,0.491012,0.646267
1429908236750,0.491958,0.646267
1429908236940,0.491958,0.643819
1429908237034,0.475875,0.635251
1429908237149,0.426679,0.616891
1429908237248,0.380322,0.600979
1429908237338,0.349101,0.589963
1429908237435,0.333018,0.582619
1429908237534,0.322611,0.572827
1429908237612,0.317881,0.565483
1429908237709,0.31315,0.549572
1429908237776,0.310312,0.537332
1429908237867,0.30842,0.522644
1429908237931,0.30842,0.517748
1429908238015,0.309366,0.5153
1429908238114,0.310312,0.5153
1429908238203,0.31315,0.518972
1429908238302,0.315989,0.520196
1429908238419,0.319773,0.52142
1429908238511,0.333018,0.522644
1429908238607,0.344371,0.52142
1429908238700,0.352886,0.518972
1429908238814,0.373699,0.520196
1429908238913,0.394513,0.52142
1429908239003,0.405866,0.52142
1429908239100,0.40965,0.52142
1429908239218,0.411542,0.522644
1429908239309,0.411542,0.525092
1429908239405,0.412488,0.522644
1429908239499,0.412488,0.518972
1429908239597,0.410596,0.518972
1429908239834,0.408704,0.520196
1429908239934,0.406812,0.52142
1429908240044,0.402081,0.52142
1429908240142,0.399243,0.52142
1429908240238,0.396405,0.520196
