tstamp,mouse_x,mouse_y
1429908333568,0.385998,0.50918
1429908333660,0.384106,0.510404
1429908333757,0.385052,0.507956
1429908333867,0.385052,0.50918
1429908333965,0.385052,0.511628
1429908334064,0.384106,0.511628
1429908334155,0.384106,0.507956
1429908334252,0.384106,0.506732
1429908334335,0.384106,0.507956
1429908334525,0.38316,0.506732
1429908334700,0.384106,0.506732
1429908334798,0.384106,0.507956
1429908334894,0.385052,0.507956
1429908334986,0.385998,0.505508
1429908335104,0.386944,0.506732
1429908335199,0.38789,0.507956
1429908335261,0.388836,0.50918
1429908335367,0.400189,0.510404
1429908335454,0.417219,0.514076
1429908335533,0.430464,0.518972
1429908335630,0.459792,0.528764
1429908335727,0.493851,0.53366
1429908335819,0.528855,0.536108
1429908335885,0.553453,0.538556
1429908335966,0.577105,0.542228
1429908336059,0.607379,0.55202
1429908336155,0.631031,0.564259
1429908336253,0.648061,0.575275
1429908336337,0.654683,0.585067
1429908336398,0.659413,0.596083
1429908336496,0.658467,0.614443
1429908336593,0.655629,0.625459
1429908336704,0.652791,0.630355
1429908336799,0.649953,0.631579
1429908336890,0.648061,0.627907
1429908336987,0.645222,0.625459
1429908337053,0.644276,0.624235
1429908337163,0.642384,0.623011
1429908337261,0.641438,0.621787
1429908337358,0.641438,0.619339
1429908337452,0.639546,0.619339
1429908337565,0.629139,0.626683
1429908337664,0.609272,0.645043
1429908337753,0.58562,0.668299
1429908337823,0.565752,0.682987
1429908337917,0.531693,0.706242
1429908337995,0.511826,0.718482
1429908338093,0.490066,0.735618
1429908338189,0.477767,0.744186
1429908338281,0.473037,0.750306
1429908338349,0.472091,0.75153
1429908338430,0.473037,0.750306
1429908338521,0.473983,0.750306
1429908338618,0.476821,0.75153
1429908338719,0.477767,0.750306
1429908338826,0.478713,0.744186
1429908338925,0.481552,0.719706
1429908338989,0.48439,0.695226
1429908339082,0.491958,0.652387
1429908339181,0.509934,0.599755
1429908339263,0.529801,0.560588
1429908339354,0.561968,0.506732
1429908339453,0.586566,0.458996
1429908339551,0.605487,0.412485
1429908339628,0.617786,0.390453
1429908339726,0.631977,0.372093
1429908339823,0.636708,0.372093
1429908339915,0.637654,0.380661
1429908340013,0.640492,0.396573
1429908340095,0.647114,0.407589
1429908340186,0.684011,0.418605
1429908340253,0.708609,0.424725
1429908340349,0.721854,0.428397
1429908340460,0.719016,0.428397
1429908340555,0.711447,0.429621
1429908340655,0.700095,0.433293
1429908340746,0.688742,0.434517
1429908340814,0.684011,0.433293
1429908340895,0.679281,0.432069
1429908340986,0.673605,0.430845
1429908341084,0.671712,0.432069
1429908341185,0.671712,0.433293
1429908341291,0.672658,0.434517
1429908341389,0.673605,0.436965
1429908341481,0.672658,0.439412
1429908341548,0.66982,0.440636
1429908341645,0.664144,0.44186
1429908341727,0.659413,0.443084
1429908341817,0.646168,0.444308
1429908341918,0.618732,0.444308
1429908342015,0.579943,0.44186
1429908342092,0.552507,0.440636
1429908342188,0.513718,0.444308
1429908342288,0.476821,0.451652
1429908342380,0.438032,0.465116
1429908342477,0.396405,0.47858
1429908342553,0.368023,0.487148
1429908342651,0.329234,0.498164
1429908342749,0.302744,0.50306
1429908342848,0.289499,0.506732
1429908342924,0.287606,0.50918
1429908343022,0.290445,0.510404
1429908343115,0.294229,0.512852
1429908343213,0.298959,0.516524
1429908343278,0.302744,0.516524
1429908343387,0.305582,0.518972
1429908343484,0.306528,0.520196
