tstamp,mouse_x,mouse_y
1429908347615,0.433302,0.629131
1429908347712,0.432356,0.627907
1429908347885,0.43141,0.629131
1429908347983,0.430464,0.629131
1429908348078,0.429518,0.629131
1429908348176,0.430464,0.631579
1429908348283,0.428571,0.636475
1429908348347,0.425733,0.643819
1429908348446,0.422895,0.656059
1429908348545,0.420057,0.669523
1429908348635,0.418165,0.684211
1429908348719,0.415326,0.692778
1429908348818,0.413434,0.707466
1429908348908,0.411542,0.723378
1429908348973,0.411542,0.730722
1429908349070,0.411542,0.738066
1429908349147,0.411542,0.73929
1429908349246,0.411542,0.738066
1429908349434,0.412488,0.729498
1429908349517,0.413434,0.722154
1429908349616,0.417219,0.713586
1429908349677,0.421003,0.709914
1429908349775,0.432356,0.703794
1429908349872,0.451277,0.692778
1429908349947,0.470199,0.684211
1429908350046,0.503311,0.670747
1429908350144,0.526963,0.660955
1429908350234,0.53737,0.653611
1429908350300,0.5421,0.649939
1429908350381,0.549669,0.646267
1429908350483,0.561968,0.641371
1429908350575,0.56859,0.636475
1429908350670,0.566698,0.635251
1429908350748,0.56386,0.635251
1429908350813,0.561022,0.635251
1429908350911,0.557237,0.636475
1429908351003,0.557237,0.635251
1429908351180,0.558184,0.634027
1429908351275,0.564806,0.631579
1429908351371,0.580889,0.627907
1429908351439,0.596973,0.625459
1429908351531,0.620624,0.621787
1429908351610,0.632923,0.619339
1429908351710,0.646168,0.615667
1429908351802,0.657521,0.613219
1429908351898,0.662252,0.614443
1429908351980,0.66036,0.616891
1429908352047,0.658467,0.616891
1429908352140,0.656575,0.615667
1429908352238,0.654683,0.615667
1429908352335,0.652791,0.618115
1429908352411,0.651845,0.618115
1429908352509,0.649953,0.615667
1429908352608,0.646168,0.602203
1429908352698,0.640492,0.570379
1429908352764,0.635762,0.5459
1429908352844,0.629139,0.523868
1429908352939,0.62157,0.487148
1429908353034,0.614948,0.445532
1429908353138,0.613056,0.408813
1429908353242,0.614002,0.378213
1429908353309,0.61684,0.361077
1429908353408,0.620624,0.341493
1429908353498,0.62157,0.334149
1429908353597,0.620624,0.336597
1429908353678,0.620624,0.337821
1429908353771,0.62157,0.340269
1429908353871,0.622517,0.342717
1429908353967,0.622517,0.345165
1429908354142,0.620624,0.347613
1429908354240,0.618732,0.350061
1429908354330,0.615894,0.351285
1429908354446,0.61684,0.353733
1429908354544,0.617786,0.364749
1429908354604,0.618732,0.379437
1429908354700,0.629139,0.411261
1429908354799,0.649007,0.436965
1429908354876,0.661306,0.446756
1429908354972,0.671712,0.4541
1429908355057,0.673605,0.4541
1429908355130,0.673605,0.450428
1429908355195,0.672658,0.44798
1429908355279,0.66982,0.446756
1429908355371,0.666982,0.445532
1429908355466,0.66509,0.444308
1429908355565,0.664144,0.443084
1429908355676,0.666036,0.444308
1429908355741,0.666982,0.445532
1429908355838,0.666982,0.446756
1429908355995,0.666036,0.446756
