tstamp,mouse_x,mouse_y
1429908412670,0.306528,0.50918
1429908412878,0.305582,0.507956
1429908412975,0.30369,0.506732
1429908413068,0.304636,0.506732
1429908413308,0.305582,0.507956
1429908413406,0.30842,0.507956
1429908413503,0.324503,0.50918
1429908413595,0.354778,0.514076
1429908413710,0.393567,0.518972
1429908413775,0.421949,0.52142
1429908413868,0.473983,0.523868
1429908413931,0.508988,0.526316
1429908414029,0.552507,0.53366
1429908414140,0.584674,0.550796
1429908414238,0.609272,0.564259
1429908414335,0.628193,0.575275
1429908414427,0.641438,0.586291
1429908414494,0.648061,0.592411
1429908414574,0.650899,0.598531
1429908414668,0.651845,0.604651
1429908414763,0.649953,0.609547
1429908414862,0.648061,0.610771
1429908415038,0.645222,0.614443
1429908415104,0.641438,0.619339
1429908415195,0.637654,0.623011
1429908415292,0.636708,0.621787
1429908415374,0.635762,0.619339
1429908415467,0.634816,0.618115
1429908415563,0.633869,0.616891
1429908415660,0.631977,0.613219
1429908415772,0.631031,0.610771
1429908415968,0.630085,0.610771
1429908416059,0.630085,0.608323
1429908416176,0.629139,0.604651
1429908416274,0.625355,0.599755
1429908416362,0.618732,0.582619
1429908416429,0.61211,0.565483
1429908416527,0.597919,0.538556
1429908416604,0.588458,0.516524
1429908416705,0.576159,0.481028
1429908416801,0.564806,0.443084
1429908416891,0.557237,0.408813
1429908416957,0.553453,0.390453
1429908417040,0.552507,0.375765
1429908417132,0.553453,0.359853
1429908417229,0.555345,0.351285
1429908417326,0.556291,0.350061
1429908417405,0.556291,0.352509
1429908417502,0.557237,0.359853
1429908417601,0.557237,0.365973
1429908417660,0.558184,0.372093
1429908417756,0.561022,0.379437
1429908417839,0.56386,0.380661
1429908417931,0.569536,0.381885
1429908418027,0.572375,0.383109
1429908418126,0.572375,0.381885
1429908418194,0.572375,0.383109
1429908418268,0.572375,0.385557
1429908418364,0.570482,0.385557
1429908418459,0.572375,0.384333
1429908418557,0.574267,0.385557
1429908418672,0.583728,0.390453
1429908418763,0.607379,0.395349
1429908418861,0.634816,0.400245
1429908418959,0.651845,0.412485
1429908419067,0.661306,0.427173
1429908419163,0.679281,0.435741
1429908419258,0.688742,0.439412
1429908419337,0.687796,0.439412
1429908419422,0.684011,0.438188
1429908419504,0.682119,0.438188
1429908419594,0.676443,0.439412
1429908419693,0.674551,0.439412
1429908419792,0.673605,0.439412
1429908419900,0.671712,0.436965
1429908419997,0.670766,0.434517
1429908420091,0.66982,0.436965
