tstamp,mouse_x,mouse_y
1429908440299,0.522233,0.359853
1429908440398,0.523179,0.359853
1429908440480,0.524125,0.359853
1429908440570,0.523179,0.362301
1429908440735,0.522233,0.362301
1429908440828,0.519395,0.365973
1429908440910,0.516556,0.368421
1429908441007,0.512772,0.373317
1429908441098,0.508042,0.383109
1429908441200,0.499527,0.403917
1429908441306,0.48912,0.430845
1429908441370,0.479659,0.450428
1429908441469,0.464522,0.482252
1429908441567,0.448439,0.512852
1429908441660,0.434248,0.541004
1429908441740,0.425733,0.559364
1429908441840,0.417219,0.580171
1429908441932,0.411542,0.596083
1429908441996,0.40965,0.605875
1429908442113,0.406812,0.621787
1429908442203,0.405866,0.636475
1429908442299,0.403974,0.647491
1429908442394,0.403027,0.659731
1429908442506,0.403027,0.668299
1429908442571,0.403974,0.674419
1429908442666,0.40492,0.680539
1429908442764,0.40492,0.684211
1429908442864,0.405866,0.690331
1429908442939,0.405866,0.697674
1429908443036,0.40492,0.712362
1429908443134,0.405866,0.717258
1429908443227,0.406812,0.716034
1429908443345,0.406812,0.712362
1429908443437,0.405866,0.707466
1429908443529,0.403974,0.701346
1429908443630,0.403974,0.694002
1429908443728,0.40492,0.684211
1429908443802,0.405866,0.671971
1429908443868,0.408704,0.658507
1429908443966,0.411542,0.636475
1429908444059,0.411542,0.611995
1429908444172,0.407758,0.587515
1429908444271,0.403027,0.569155
1429908444364,0.398297,0.553244
1429908444430,0.394513,0.5459
1429908444527,0.386944,0.537332
1429908444603,0.384106,0.53366
1429908444701,0.384106,0.529988
1429908444799,0.38316,0.526316
1429908444891,0.38316,0.52754
1429908445005,0.38316,0.529988
1429908445163,0.382214,0.528764
1429908445262,0.381268,0.529988
1429908445360,0.381268,0.532436
1429908445434,0.381268,0.53366
1429908445533,0.382214,0.53366
1429908445691,0.38316,0.532436
1429908445804,0.386944,0.531212
1429908445901,0.393567,0.528764
1429908445995,0.405866,0.525092
1429908446092,0.416272,0.523868
1429908446192,0.426679,0.522644
1429908446267,0.438032,0.522644
1429908446332,0.454115,0.523868
1429908446430,0.481552,0.52142
1429908446521,0.506149,0.516524
1429908446635,0.526017,0.5153
1429908446729,0.545885,0.5153
1429908446828,0.564806,0.516524
1429908446894,0.577105,0.517748
1429908446978,0.586566,0.518972
1429908447065,0.59508,0.520196
1429908447165,0.598865,0.520196
1429908447263,0.596973,0.520196
1429908447354,0.59508,0.52142
1429908447469,0.593188,0.522644
1429908447562,0.602649,0.517748
1429908447627,0.628193,0.511628
1429908447724,0.657521,0.507956
1429908447818,0.658467,0.50918
1429908447900,0.655629,0.50918
1429908447999,0.650899,0.511628
1429908448097,0.64333,0.5153
1429908448187,0.637654,0.512852
1429908448251,0.633869,0.510404
1429908448335,0.630085,0.50918
1429908448428,0.627247,0.507956
1429908448529,0.628193,0.507956
1429908448624,0.629139,0.507956
1429908448699,0.629139,0.510404
