tstamp,mouse_x,mouse_y
1429908796283,0.488174,0.735618
1429908796382,0.48912,0.734394
1429908796555,0.490066,0.734394
1429908796735,0.491012,0.735618
1429908796890,0.48912,0.735618
1429908796987,0.487228,0.73317
1429908797088,0.485336,0.731946
1429908797180,0.481552,0.730722
1429908797268,0.477767,0.729498
1429908797353,0.470199,0.728274
1429908797452,0.456008,0.72705
1429908797551,0.43614,0.723378
1429908797643,0.415326,0.72093
1429908797723,0.40492,0.719706
1429908797798,0.397351,0.718482
1429908797888,0.395459,0.71481
1429908797981,0.397351,0.712362
1429908798094,0.401135,0.712362
1429908798188,0.403974,0.712362
1429908798284,0.405866,0.712362
1429908798359,0.406812,0.711138
1429908798450,0.407758,0.711138
1429908798524,0.405866,0.711138
1429908798621,0.405866,0.706242
1429908798722,0.406812,0.673195
1429908798827,0.406812,0.627907
1429908798926,0.411542,0.592411
1429908799020,0.415326,0.574051
1429908799118,0.416272,0.574051
1429908799215,0.41438,0.586291
1429908799323,0.410596,0.599755
1429908799425,0.408704,0.599755
1429908799521,0.407758,0.598531
1429908799611,0.407758,0.597307
1429908799677,0.408704,0.596083
1429908799882,0.408704,0.597307
1429908800049,0.410596,0.594859
1429908800154,0.432356,0.575275
1429908800221,0.464522,0.55202
1429908800320,0.518448,0.514076
1429908800428,0.567644,0.467564
1429908800511,0.609272,0.425949
1429908800592,0.629139,0.403917
1429908800682,0.644276,0.384333
1429908800781,0.644276,0.378213
1429908800881,0.641438,0.381885
1429908800956,0.641438,0.389229
1429908801053,0.644276,0.403917
1429908801153,0.652791,0.414933
1429908801245,0.661306,0.422277
1429908801343,0.66509,0.423501
1429908801425,0.666982,0.422277
1429908801584,0.666036,0.424725
1429908801681,0.664144,0.428397
1429908801786,0.662252,0.428397
1429908801884,0.661306,0.427173
1429908801955,0.662252,0.427173
1429908802043,0.663198,0.427173
