tstamp,mouse_x,mouse_y
1429907514814,0.190161,0.395349
1429907514890,0.191107,0.395349
1429907514987,0.192053,0.394125
1429907515053,0.192999,0.395349
1429907515152,0.194891,0.395349
1429907515243,0.197729,0.396573
1429907515326,0.201514,0.399021
1429907515419,0.214759,0.406365
1429907515516,0.249763,0.416157
1429907515584,0.28193,0.423501
1429907515679,0.332072,0.434517
1429907515754,0.365184,0.44186
1429907515852,0.415326,0.452876
1429907515952,0.456008,0.457772
1429907516045,0.492904,0.46022
1429907516127,0.513718,0.462668
1429907516225,0.543992,0.468788
1429907516316,0.566698,0.471236
1429907516415,0.572375,0.473684
1429907516514,0.570482,0.477356
1429907516587,0.569536,0.47858
1429907516683,0.569536,0.481028
1429907516784,0.569536,0.482252
1429907516957,0.570482,0.483476
1429907517050,0.569536,0.483476
1429907517146,0.56859,0.483476
1429907517246,0.565752,0.485924
1429907517337,0.548723,0.4847
1429907517418,0.526963,0.4847
1429907517487,0.498581,0.4847
1429907517584,0.455061,0.485924
1429907517675,0.403027,0.49082
1429907517788,0.344371,0.49694
1429907517882,0.290445,0.504284
1429907517981,0.244087,0.507956
1429907518078,0.209082,0.511628
1429907518186,0.187323,0.517748
1429907518250,0.177862,0.523868
1429907518348,0.167455,0.532436
1429907518444,0.159886,0.53978
1429907518541,0.156102,0.5459
1429907518621,0.156102,0.549572
1429907518714,0.153264,0.55202
1429907518781,0.151372,0.55202
1429907518879,0.150426,0.548348
1429907518970,0.145695,0.53978
1429907519052,0.140965,0.529988
1429907519150,0.138127,0.516524
1429907519243,0.138127,0.511628
1429907519340,0.139073,0.512852
1429907519420,0.140965,0.512852
1429907519514,0.142857,0.514076
1429907519612,0.146641,0.512852
1429907519710,0.163671,0.512852
1429907519787,0.181646,0.510404
1429907519885,0.213813,0.504284
1429907519981,0.256386,0.49082
1429907520048,0.291391,0.482252
1429907520141,0.340587,0.46634
1429907520253,0.373699,0.457772
1429907520347,0.405866,0.446756
1429907520444,0.438032,0.427173
1429907520543,0.461684,0.406365
1429907520651,0.474929,0.389229
1429907520715,0.477767,0.381885
1429907520814,0.473983,0.379437
1429907520906,0.469253,0.384333
1429907521003,0.466414,0.390453
1429907521084,0.463576,0.394125
1429907521178,0.461684,0.394125
1429907521246,0.460738,0.395349
1429907521344,0.461684,0.396573
1429907521435,0.461684,0.399021
1429907521516,0.461684,0.400245
1429907521616,0.459792,0.400245
1429907521709,0.4579,0.401469
1429907521805,0.456008,0.402693
