tstamp,mouse_x,mouse_y
1429907800414,0.854305,0.507956
1429907800522,0.853359,0.505508
1429907800620,0.854305,0.506732
1429907800719,0.852412,0.507956
1429907800809,0.842952,0.510404
1429907800923,0.8193,0.507956
1429907801025,0.781457,0.507956
1429907801114,0.725639,0.510404
1429907801218,0.650899,0.511628
1429907801324,0.557237,0.5153
1429907801422,0.463576,0.516524
1429907801487,0.408704,0.516524
1429907801580,0.343425,0.514076
1429907801677,0.287606,0.510404
1429907801758,0.259224,0.506732
1429907801858,0.237465,0.501836
1429907801950,0.231788,0.498164
1429907802046,0.223273,0.492044
1429907802155,0.198675,0.485924
1429907802222,0.174078,0.483476
1429907802319,0.148534,0.479804
1429907802412,0.142857,0.483476
1429907802509,0.144749,0.488372
1429907802590,0.142857,0.49082
1429907802683,0.140019,0.494492
1429907802780,0.142857,0.49694
1429907802846,0.147588,0.498164
1429907802939,0.157048,0.498164
1429907803020,0.166509,0.495716
1429907803118,0.188269,0.489596
1429907803210,0.231788,0.4847
1429907803308,0.28666,0.47858
1429907803391,0.321665,0.473684
1429907803484,0.371807,0.471236
1429907803582,0.421949,0.474908
1429907803678,0.452223,0.471236
1429907803771,0.463576,0.457772
1429907803854,0.471145,0.435741
1429907803952,0.482498,0.406365
1429907804043,0.488174,0.391677
1429907804109,0.487228,0.388005
1429907804222,0.483444,0.388005
1429907804317,0.478713,0.390453
1429907804413,0.473037,0.394125
1429907804510,0.46263,0.394125
1429907804587,0.456008,0.390453
1429907804653,0.451277,0.386781
1429907804750,0.444655,0.384333
1429907804844,0.44087,0.386781
1429907804940,0.437086,0.385557
1429907805055,0.428571,0.386781
1429907805146,0.411542,0.391677
1429907805245,0.379376,0.405141
1429907805344,0.33491,0.418605
1429907805452,0.294229,0.425949
1429907805552,0.263009,0.433293
1429907805642,0.243141,0.435741
1429907805740,0.23368,0.425949
1429907805807,0.230842,0.414933
1429907805916,0.230842,0.396573
1429907805978,0.23368,0.388005
1429907806077,0.240303,0.379437
1429907806171,0.25071,0.378213
1429907806285,0.261116,0.380661
1429907806382,0.265847,0.383109
1429907806474,0.266793,0.384333
1429907806573,0.265847,0.383109
1429907806687,0.264901,0.384333
1429907806778,0.266793,0.381885
1429907806876,0.271523,0.376989
1429907806976,0.280984,0.375765
1429907807084,0.312204,0.378213
1429907807180,0.371807,0.384333
1429907807274,0.422895,0.392901
1429907807373,0.459792,0.397797
1429907807470,0.475875,0.396573
1429907807547,0.474929,0.396573
1429907807643,0.461684,0.395349
1429907807742,0.442763,0.391677
1429907807809,0.429518,0.389229
1429907807917,0.412488,0.381885
1429907808015,0.395459,0.376989
1429907808108,0.38789,0.374541
1429907808207,0.389782,0.373317
1429907808271,0.390728,0.374541
1429907808354,0.390728,0.375765
1429907808445,0.388836,0.375765
1429907808541,0.375591,0.375765
1429907808642,0.352886,0.373317
1429907808749,0.336802,0.372093
1429907808845,0.335856,0.374541
1429907808938,0.338694,0.374541
1429907809039,0.342479,0.375765
1429907809153,0.344371,0.376989
1429907809243,0.346263,0.378213
1429907809340,0.347209,0.379437
