tstamp,mouse_x,mouse_y
1429907995199,0.546831,0.597307
1429907995292,0.543992,0.597307
1429907995390,0.544939,0.596083
1429907995483,0.545885,0.598531
1429907995597,0.545885,0.600979
1429907995662,0.545885,0.602203
1429907995760,0.546831,0.599755
1429907995850,0.550615,0.596083
1429907995949,0.556291,0.589963
1429907996026,0.561022,0.585067
1429907996124,0.569536,0.572827
1429907996191,0.58562,0.564259
1429907996289,0.640492,0.544676
1429907996347,0.684957,0.529988
1429907996430,0.719016,0.518972
1429907996526,0.743614,0.501836
1429907996620,0.754021,0.4847
1429907996717,0.768212,0.462668
1429907996830,0.790918,0.438188
1429907996925,0.816462,0.416157
1429907997022,0.834437,0.399021
1429907997121,0.837275,0.391677
1429907997229,0.834437,0.391677
1429907997327,0.831599,0.395349
1429907997420,0.827815,0.401469
1429907997515,0.824976,0.405141
1429907997581,0.823084,0.405141
1429907997664,0.821192,0.406365
1429907997756,0.820246,0.410037
1429907997855,0.817408,0.411261
1429907997946,0.808893,0.412485
1429907998060,0.791864,0.412485
1429907998128,0.77105,0.414933
1429907998219,0.725639,0.425949
1429907998314,0.670766,0.435741
1429907998412,0.614948,0.440636
1429907998491,0.579943,0.443084
1429907998588,0.528855,0.445532
1429907998687,0.481552,0.445532
1429907998778,0.446547,0.445532
1429907998843,0.432356,0.444308
1429907998928,0.426679,0.443084
1429907999025,0.430464,0.440636
1429907999115,0.44087,0.427173
1429907999212,0.448439,0.412485
1429907999296,0.451277,0.407589
1429907999388,0.454115,0.400245
1429907999453,0.454115,0.396573
1429907999553,0.454115,0.395349
1429907999643,0.455061,0.396573
1429907999725,0.455061,0.399021
1429907999914,0.455061,0.397797
1429908000013,0.456954,0.402693
1429908000079,0.458846,0.403917
1429908000156,0.46263,0.405141
1429908000253,0.473983,0.412485
1429908000352,0.499527,0.429621
1429908000442,0.538316,0.452876
1429908000525,0.562914,0.47246
1429908000592,0.583728,0.488372
1429908000682,0.604541,0.504284
1429908000747,0.609272,0.50918
1429908000844,0.608325,0.50918
1429908000928,0.606433,0.507956
1429908001021,0.601703,0.505508
1429908001118,0.59508,0.50306
1429908001211,0.591296,0.500612
1429908001308,0.589404,0.500612
1429908001390,0.589404,0.498164
1429908001490,0.589404,0.495716
