tstamp,gaze_x,gaze_y
20954188.516232,0.414380,0.758874
20954204.846455,0.414380,0.758874
20954219.702740,0.415326,0.758874
20954232.826269,0.416272,0.753978
20954249.185497,0.416272,0.752754
20954263.320656,0.417219,0.752754
20954278.421035,0.417219,0.755202
20954294.954744,0.417219,0.758874
20954309.967215,0.417219,0.758874
20954340.557990,0.418165,0.760098
20954354.395059,0.417219,0.761322
20954367.673433,0.417219,0.761322
20954387.275948,0.414380,0.760098
20954403.462926,0.410596,0.761322
20954415.914414,0.409650,0.762546
20954431.538682,0.410596,0.762546
20954445.502038,0.413434,0.764994
20954460.524772,0.413434,0.763770
20954492.278899,0.420057,0.758874
20954502.580840,0.417219,0.761322
20954519.165867,0.423841,0.749082
20954533.626782,0.525071,0.563035
20954547.057325,0.529801,0.553244
20954565.789221,0.532640,0.547124
20954580.296099,0.537370,0.539780
20954593.914956,0.537370,0.541004
20954610.728012,0.536424,0.543452
20954638.601621,0.540208,0.548348
20954654.396353,0.542100,0.550796
20954681.717067,0.543992,0.554468
20954698.768417,0.542100,0.558140
20954714.628747,0.541154,0.561812
20954729.122684,0.540208,0.570379
20954745.440858,0.540208,0.581395
20954759.938365,0.543992,0.604651
20954789.858439,0.544939,0.605875
20954803.582162,0.545885,0.610771
20954817.481705,0.549669,0.621787
20954835.539330,0.549669,0.623011
20954849.402728,0.551561,0.623011
20954864.238932,0.547777,0.620563
20954893.867610,0.548723,0.619339
20954899.298820,0.548723,0.615667
20954913.031022,0.517502,0.635251
20954939.368220,0.495743,0.647491
20954952.754584,0.474929,0.660955
20954969.520339,0.468307,0.662179
20954984.546197,0.468307,0.660955
20954997.476502,0.462630,0.658507
20955013.519791,0.457900,0.657283
20955029.536306,0.447493,0.653611
20955043.231023,0.445601,0.649939
20955059.472890,0.440870,0.647491
20955088.641939,0.408704,0.621787
20955103.796314,0.406812,0.621787
20955119.346059,0.404920,0.621787
20955132.458431,0.404920,0.623011
20955148.758756,0.404920,0.625459
20955163.862259,0.403974,0.632803
20955178.273196,0.403027,0.631579
20955195.777927,0.400189,0.630355
20955209.760917,0.400189,0.630355
20955240.678341,0.398297,0.627907
20955254.067383,0.399243,0.630355
20955267.326569,0.395459,0.614443
