tstamp,gaze_x,gaze_y
20964852.895463,0.533586,0.263158
20964867.612075,0.535478,0.268054
20964882.836510,0.537370,0.264382
20964897.637461,0.534532,0.265606
20964913.864156,0.539262,0.268054
20964929.342056,0.540208,0.268054
20964954.813098,0.540208,0.269278
20964963.142650,0.539262,0.271726
20964988.299091,0.539262,0.274174
20965002.959476,0.536424,0.274174
20965019.838576,0.537370,0.272950
20965033.566316,0.538316,0.268054
20965049.857716,0.538316,0.266830
20965063.462739,0.538316,0.264382
20965076.982084,0.539262,0.264382
20965093.003953,0.538316,0.266830
20965109.058845,0.538316,0.275398
20965140.275251,0.539262,0.279070
20965153.792811,0.539262,0.277846
20965167.495115,0.535478,0.291310
20965183.475930,0.535478,0.292534
20965197.974329,0.543992,0.309670
20965211.645397,0.543992,0.319461
20965227.844870,0.561022,0.413709
20965243.333927,0.571429,0.476132
20965257.544500,0.581835,0.536108
20965290.833254,0.593188,0.598531
20965302.060701,0.593188,0.598531
20965322.808718,0.592242,0.600979
20965332.559104,0.592242,0.604651
20965347.331049,0.591296,0.604651
20965362.706314,0.589404,0.594859
20965377.986084,0.588458,0.591187
20965392.872267,0.589404,0.591187
20965409.637129,0.589404,0.586291
20965448.266953,0.588458,0.580171
20965468.742763,0.589404,0.581395
20965483.879288,0.587512,0.586291
20965498.226412,0.588458,0.587515
20965512.963551,0.484390,0.626683
20965527.132177,0.466414,0.635251
20965543.907303,0.449385,0.641371
20965590.801080,0.425733,0.652387
20965603.277558,0.428571,0.648715
20965616.046323,0.425733,0.656059
20965633.028952,0.419111,0.667075
20965648.525594,0.417219,0.673195
20965661.831636,0.417219,0.675643
20965678.735725,0.417219,0.675643
20965693.367997,0.418165,0.675643
20965707.331353,0.444655,0.681763
20965740.415282,0.459792,0.684211
20965751.453075,0.465468,0.687882
20965768.469618,0.465468,0.689106
20965783.926545,0.466414,0.690331
20965797.080864,0.464522,0.687882
20965813.879641,0.463576,0.687882
20965828.680592,0.465468,0.685435
20965842.102656,0.465468,0.686659
20965858.921514,0.468307,0.685435
20965888.958949,0.473037,0.682987
20965902.926767,0.479659,0.684211
20965918.542110,0.493851,0.685435
20965932.857550,0.503311,0.685435
20965951.088317,0.516556,0.685435
20965964.724131,0.531693,0.679315
20965977.127871,0.533586,0.678091
20965997.613945,0.534532,0.678091
20966011.635758,0.539262,0.681763
20966040.890931,0.539262,0.678091
20966055.048848,0.539262,0.679315
20966067.469099,0.539262,0.679315
20966083.771654,0.539262,0.681763
20966098.484250,0.539262,0.690331
20966111.913900,0.539262,0.690331
20966128.373087,0.536424,0.690331
20966143.800116,0.536424,0.690331
20966159.668478,0.535478,0.686659
20966193.301284,0.533586,0.686659
20966206.534588,0.533586,0.685435
20966219.347532,0.531693,0.689106
20966234.106983,0.528855,0.690331
20966246.525449,0.527909,0.689106
20966262.983297,0.527909,0.690331
20966278.466998,0.530747,0.690331
20966292.445526,0.533586,0.687882
20966311.483545,0.534532,0.687882
20966339.268797,0.536424,0.691554
20966354.183540,0.537370,0.696450
20966369.843061,0.535478,0.697674
20966381.700155,0.536424,0.696450
20966398.412807,0.536424,0.696450
20966413.057574,0.536424,0.696450
20966433.007711,0.537370,0.694002
20966444.606876,0.537370,0.691554
20966462.381138,0.537370,0.690331
20966492.103526,0.538316,0.686659
20966509.152198,0.539262,0.689106
20966519.592028,0.539262,0.689106
20966534.380485,0.542100,0.701346
20966548.408099,0.542100,0.706242
20966683.380657,0.581835,0.742962
20966697.313222,0.519395,0.577723
20966713.675574,0.498581,0.532436
20966728.066429,0.483444,0.500612
20966741.640216,0.484390,0.505508
20966758.873632,0.485336,0.511628
20966788.114972,0.487228,0.518972
20966805.197112,0.487228,0.518972
20966819.001159,0.489120,0.525092
20966832.194301,0.491958,0.527540
20966848.744967,0.491012,0.528764
20966863.300932,0.508042,0.585067
20966877.085344,0.517502,0.614443
20966893.131311,0.522233,0.630355
20966908.432053,0.524125,0.669523
20966947.446983,0.534532,0.668299
20966962.180998,0.536424,0.669523
20966972.089354,0.540208,0.664627
20966982.832181,0.541154,0.664627
20966998.285092,0.541154,0.664627
20967011.544278,0.541154,0.667075
20967027.872716,0.540208,0.667075
20967043.505462,0.539262,0.668299
20967059.663882,0.539262,0.670747
20967092.270332,0.540208,0.673195
20967102.154590,0.539262,0.673195
20967118.394672,0.539262,0.673195
20967133.188037,0.540208,0.673195
20967147.977832,0.540208,0.671971
20967164.119295,0.540208,0.671971
20967178.547188,0.542100,0.676867
20967192.349004,0.542100,0.678091
20967209.696658,0.542100,0.678091
20967240.116523,0.545885,0.676867
20967254.120040,0.546831,0.674419
20967268.173090,0.546831,0.671971
20967281.687080,0.546831,0.670747
20967297.949028,0.543992,0.669523
20967313.699582,0.542100,0.668299
20967327.925774,0.541154,0.669523
20967344.036445,0.540208,0.669523
20967360.059207,0.538316,0.670747
20967390.442034,0.537370,0.670747
20967404.218860,0.537370,0.676867
20967416.381630,0.532640,0.675643
