tstamp,gaze_x,gaze_y
21028587.066482,0.540208,0.676867
21028603.580110,0.538316,0.678091
21028621.780532,0.536424,0.678091
21028637.224072,0.535478,0.678091
21028646.469312,0.533586,0.676867
21028658.353180,0.529801,0.679315
21028675.543311,0.530747,0.678091
21028690.283573,0.533586,0.684211
21028704.002388,0.533586,0.685435
21028736.842669,0.537370,0.679315
21028749.119676,0.536424,0.668299
21028765.794398,0.535478,0.663403
21028780.724759,0.529801,0.658507
21028793.678269,0.531693,0.659731
21028810.129870,0.454115,0.517748
21028825.251223,0.424787,0.461444
21028838.047210,0.421949,0.452876
21028855.525166,0.417219,0.440636
21028885.874079,0.406812,0.413709
21028916.015488,0.403027,0.423501
21028928.868148,0.405866,0.413709
21028945.103767,0.407758,0.419829
21028960.200131,0.408704,0.428397
21028973.354003,0.408704,0.428397
21028990.364299,0.408704,0.428397
21029005.841753,0.408704,0.429621
21029037.737786,0.408704,0.432069
21029051.806008,0.409650,0.432069
21029063.360550,0.407758,0.434517
21029080.106670,0.404920,0.439412
21029098.026852,0.401135,0.447980
21029114.289692,0.393567,0.460220
21029130.761820,0.393567,0.462668
21029144.018774,0.389782,0.470012
21029157.068226,0.383160,0.483476
21029243.362040,0.401135,0.545900
21029260.122440,0.401135,0.545900
21029275.897984,0.338694,0.522644
21029289.038915,0.341533,0.514076
21029305.289707,0.341533,0.514076
21029335.333836,0.342479,0.504284
21029351.147310,0.343425,0.506732
21029364.258344,0.355724,0.523868
21029378.562182,0.396405,0.575275
21029395.486352,0.407758,0.603427
21029411.219503,0.421949,0.626683
21029423.554076,0.422895,0.627907
21029440.051193,0.421949,0.629131
21029454.877580,0.421003,0.636475
21029487.351943,0.421003,0.636475
21029501.079236,0.420057,0.637699
21029513.919401,0.420057,0.634027
21029531.012697,0.420057,0.634027
21029545.718599,0.420057,0.635251
21029558.681034,0.420057,0.632803
21029575.000100,0.422895,0.640147
21029590.743069,0.424787,0.643819
21029608.768564,0.426679,0.647491
21029637.821590,0.426679,0.652387
21029651.366370,0.428571,0.659731
21029666.082090,0.430464,0.642595
21029680.494811,0.476821,0.364749
21029693.799067,0.477767,0.361077
21029710.505918,0.480605,0.357405
21029725.072146,0.482498,0.347613
21029738.306789,0.482498,0.350061
21029755.602232,0.486282,0.359853
21029785.729362,0.490066,0.361077
21029802.262625,0.490066,0.364749
21029815.944848,0.493851,0.359853
21029828.677022,0.512772,0.336597
21029845.060794,0.525071,0.319461
21029859.422643,0.523179,0.321909
21029873.219104,0.526963,0.314565
21029890.342299,0.525071,0.317013
21029905.586815,0.540208,0.296206
21029937.499805,0.541154,0.291310
21029951.477886,0.542100,0.292534
21029965.276132,0.542100,0.290086
21029980.089132,0.541154,0.290086
21029995.458596,0.541154,0.292534
21030008.198356,0.541154,0.294982
21030025.211775,0.541154,0.296206
21030040.911904,0.540208,0.293758
21030055.960520,0.541154,0.287638
21030087.461183,0.545885,0.285190
21030101.161255,0.545885,0.283966
21030121.578161,0.544939,0.279070
21030134.159506,0.542100,0.279070
21030150.887776,0.542100,0.281518
21030161.943865,0.541154,0.280294
21030175.863489,0.538316,0.277846
21030189.193181,0.538316,0.277846
21030205.007548,0.533586,0.275398
21030235.277029,0.533586,0.271726
21030251.025352,0.532640,0.269278
21030264.602262,0.531693,0.271726
21030278.944477,0.528855,0.275398
21030297.287251,0.529801,0.275398
21030311.659364,0.523179,0.285190
21030323.436134,0.522233,0.286414
21030340.341562,0.507096,0.305998
21030354.929657,0.507096,0.318237
21030387.257652,0.467360,0.484700
21030400.920240,0.445601,0.587515
21030414.505629,0.433302,0.652387
21030430.817109,0.433302,0.657283
21030445.523011,0.432356,0.659731
21030458.759885,0.426679,0.658507
21030475.025849,0.425733,0.656059
21030490.344887,0.425733,0.654835
21030503.629509,0.427625,0.658507
21030537.409128,0.424787,0.646267
21030551.048066,0.425733,0.646267
21030566.587548,0.425733,0.646267
21030580.322428,0.425733,0.647491
21030594.350934,0.425733,0.646267
21030613.567896,0.424787,0.642595
21030630.258682,0.424787,0.640147
21030642.037683,0.424787,0.640147
21030655.190664,0.423841,0.641371
21030686.769418,0.422895,0.640147
21030702.185291,0.419111,0.635251
21030716.318665,0.399243,0.600979
21030728.879482,0.385052,0.578947
21030747.054915,0.384106,0.577723
21030760.063313,0.382214,0.571603
21030773.496979,0.382214,0.571603
21030790.299326,0.382214,0.569155
21030805.630859,0.382214,0.563035
21030838.306923,0.386944,0.538556
21030851.366638,0.388836,0.485924
21030863.891756,0.389782,0.478580
21030880.103278,0.390728,0.476132
21030894.661474,0.394513,0.450428
21030909.059916,0.400189,0.435741
21030925.597194,0.400189,0.429621
21030940.749338,0.400189,0.428397
21030953.538631,0.400189,0.432069
21030986.576597,0.400189,0.429621
21031000.162432,0.400189,0.427173
21031016.319513,0.412488,0.422277
21031029.823685,0.430464,0.428397
21031044.121722,0.544939,0.450428
21031061.170841,0.552507,0.449204
21031075.807575,0.556291,0.449204
21031088.849887,0.559130,0.450428
21031106.812909,0.571429,0.454100
21031143.812611,0.569536,0.460220
21031157.152120,0.571429,0.463892
21031168.147074,0.574267,0.467564
21031178.794406,0.574267,0.467564
21031196.289766,0.573321,0.468788
21031210.357989,0.574267,0.467564
21031223.655105,0.576159,0.462668
21031239.950074,0.578051,0.458996
21031254.972808,0.615894,0.467564
21031286.698823,0.619678,0.468788
21031301.568049,0.631977,0.472460
21031314.103877,0.634816,0.473684
21031330.962450,0.631977,0.477356
21031345.271643,0.630085,0.478580
21031358.442919,0.630085,0.479804
21031375.076140,0.631031,0.478580
21031389.223793,0.631977,0.479804
21031404.149693,0.633869,0.481028
21031438.781188,0.635762,0.481028
21031449.773465,0.635762,0.483476
21031466.895321,0.625355,0.493268
21031482.674435,0.463576,0.676867
21031494.277617,0.457900,0.686659
21031510.604270,0.453169,0.692778
21031525.131229,0.449385,0.697674
21031538.695644,0.444655,0.703794
21031555.786709,0.437086,0.717258
21031585.751407,0.424787,0.719706
21031601.667963,0.425733,0.719706
21031627.975708,0.425733,0.718482
21031645.297927,0.425733,0.718482
21031652.302586,0.425733,0.716034
21031664.830827,0.425733,0.712362
21031673.694530,0.419111,0.711138
21031690.484828,0.415326,0.713586
21031705.779770,0.412488,0.716034
21031737.741846,0.405866,0.722154
21031751.349101,0.405866,0.718482
21031763.814422,0.397351,0.723378
21031780.038886,0.397351,0.720930
21031794.912128,0.400189,0.724602
21031808.991060,0.397351,0.720930
21031825.808133,0.397351,0.719706
21031842.327116,0.393567,0.719706
21031853.907093,0.392621,0.720930
21031887.005302,0.384106,0.707466
21031899.160039,0.376537,0.695226
21031914.654897,0.374645,0.689106
21031929.990446,0.372753,0.678091
21031943.947108,0.374645,0.680539
21031960.869940,0.374645,0.680539
21031975.394221,0.374645,0.679315
21031988.359780,0.378430,0.676867
21032005.392833,0.383160,0.669523
21032034.901918,0.383160,0.664627
