tstamp,gaze_x,gaze_y
21102698.292723,0.280984,0.454100
21102712.451979,0.280038,0.452876
21102726.884781,0.279092,0.457772
21102741.029311,0.280038,0.457772
21102755.886042,0.280038,0.461444
21102769.511593,0.279092,0.457772
21102846.681991,0.274361,0.436965
21102860.353058,0.273415,0.434517
21102877.644932,0.273415,0.434517
21102894.262534,0.250710,0.424725
21102904.453807,0.258278,0.449204
21102920.583667,0.274361,0.488372
21102939.208911,0.279092,0.494492
21102950.642075,0.279092,0.495716
21103039.652163,0.295175,0.667075
21103058.345683,0.296121,0.607099
21103076.440346,0.293283,0.515300
21103087.809251,0.287606,0.516524
21103101.603927,0.288552,0.525092
21103131.104980,0.292337,0.552020
21103146.485600,0.294229,0.548348
21103161.901026,0.294229,0.560588
21103175.820650,0.294229,0.564259
21103193.408382,0.293283,0.560588
21103208.650667,0.294229,0.569155
21103220.676886,0.294229,0.567931
21103236.457785,0.308420,0.587515
21103251.161456,0.297067,0.567931
21103282.332792,0.299905,0.581395
21103297.041818,0.300851,0.581395
21103310.998033,0.295175,0.572827
21103329.811146,0.295175,0.574051
21103344.219405,0.291391,0.574051
21103355.006410,0.290445,0.572827
21103371.424096,0.289499,0.576499
21103386.445045,0.286660,0.576499
21103399.504761,0.286660,0.576499
21103432.334332,0.290445,0.582619
21103446.818451,0.288552,0.580171
21103534.743279,0.290445,0.576499
21103550.775412,0.290445,0.576499
21103581.093980,0.280038,0.552020
21103597.953445,0.279092,0.556916
21103612.069862,0.282876,0.566707
21103626.263924,0.290445,0.565483
21103640.512429,0.298959,0.564259
21103656.104567,0.302744,0.563035
21103669.713160,0.312204,0.556916
21103685.643104,0.322611,0.550796
21103701.565015,0.315043,0.555692
21103733.049166,0.310312,0.554468
21103746.246325,0.310312,0.560588
21103760.529636,0.292337,0.575275
21103777.224438,0.293283,0.575275
21103791.746488,0.302744,0.583843
21103804.739268,0.302744,0.583843
21103821.133303,0.302744,0.583843
21103836.978907,0.302744,0.583843
21103850.534397,0.302744,0.581395
21103882.091732,0.302744,0.578947
21103895.986366,0.304636,0.581395
21103912.208598,0.303690,0.581395
21103927.465163,0.302744,0.582619
21103942.854261,0.298959,0.591187
21103956.779686,0.298959,0.593635
21103972.163876,0.301798,0.597307
21104000.876865,0.302744,0.597307
21104007.968542,0.302744,0.597307
21104030.837547,0.301798,0.594859
