tstamp,gaze_x,gaze_y
20574468.665116,0.757805,0.558140
20574481.779274,0.758751,0.558140
20574496.374508,0.757805,0.564259
20574513.473159,0.755913,0.570379
20574529.138481,0.755913,0.571603
20574558.702900,0.754967,0.571603
20574573.220934,0.755913,0.569155
20574586.169535,0.755913,0.567931
20574603.387779,0.755913,0.570379
20574618.319480,0.754967,0.571603
20574630.950803,0.753075,0.575275
20574648.253833,0.748344,0.576499
20574662.724566,0.749290,0.575275
20574675.461202,0.752129,0.571603
20574708.524158,0.749290,0.572827
20574721.532109,0.752129,0.567931
20574737.744524,0.752129,0.567931
20574753.822173,0.751183,0.566707
20574766.566842,0.751183,0.566707
20574782.916253,0.752129,0.567931
20574797.319603,0.754021,0.566707
20574810.215102,0.753075,0.566707
20574827.721172,0.753075,0.566707
20574858.025014,0.753075,0.565483
20574874.028587,0.753075,0.564259
20574908.155829,0.752129,0.565483
20574918.183778,0.749290,0.570379
20574925.788632,0.747398,0.556916
20574933.402412,0.748344,0.553244
20574945.190338,0.715232,0.441860
20574962.037308,0.705771,0.401469
20574976.762399,0.700095,0.383109
20575008.550441,0.698202,0.378213
20575025.378223,0.692526,0.386781
20575036.591390,0.691580,0.384333
20575053.546798,0.690634,0.380661
20575067.515508,0.689688,0.379437
20575080.304801,0.687796,0.370869
20575097.246375,0.687796,0.364749
20575111.947368,0.684011,0.358629
20575125.509999,0.677389,0.343941
20575158.615347,0.669820,0.330477
20575171.554131,0.666036,0.321909
20575187.889262,0.666982,0.321909
20575203.118160,0.666982,0.320685
20575215.292978,0.665090,0.319461
20575231.466123,0.662252,0.321909
20575246.738306,0.597919,0.334149
20575260.607505,0.577105,0.340269
20575277.590133,0.561022,0.334149
20575305.927833,0.553453,0.334149
20575322.626205,0.557237,0.342717
20575337.984959,0.560076,0.352509
20575349.881768,0.573321,0.413709
20575373.374173,0.590350,0.458996
20575388.033220,0.607379,0.493268
20575396.973677,0.622517,0.529988
20575414.178980,0.627247,0.536108
20575426.999956,0.647114,0.592411
20575458.269465,0.648061,0.594859
20575472.956625,0.647114,0.596083
20575486.294349,0.646168,0.598531
20575503.069029,0.645222,0.599755
20575517.986003,0.644276,0.600979
20575531.072940,0.646168,0.610771
20575548.835599,0.646168,0.610771
20575562.192958,0.644276,0.610771
20575575.826094,0.643330,0.614443
20575607.980055,0.643330,0.615667
20575622.263366,0.643330,0.610771
20575638.736832,0.666982,0.684211
20575654.884095,0.672658,0.697674
20575666.300748,0.673605,0.700122
20575684.075456,0.671712,0.695226
20575697.182027,0.671712,0.696450
20575710.620156,0.670766,0.695226
20575727.177962,0.669820,0.695226
20575756.894549,0.670766,0.679315
20575773.936974,0.670766,0.686659
20575789.140435,0.667928,0.598531
20575803.239002,0.666982,0.594859
20575818.581245,0.666982,0.594859
20575832.034546,0.666036,0.593635
20575845.412879,0.664144,0.589963
20575865.413887,0.662252,0.589963
20575897.410324,0.659413,0.594859
20575910.100552,0.660360,0.596083
20575925.848875,0.659413,0.593635
20575936.267285,0.660360,0.585067
20575953.278472,0.659413,0.585067
20575968.511832,0.659413,0.583843
20575980.591601,0.659413,0.583843
20575996.858903,0.659413,0.582619
20576012.053440,0.658467,0.589963
20576025.852132,0.656575,0.589963
20576059.251108,0.655629,0.589963
20576071.171568,0.650899,0.588739
20576088.047544,0.649953,0.587515
20576103.772217,0.650899,0.588739
20576115.151832,0.653737,0.587515
20576131.972474,0.655629,0.587515
20576147.731507,0.660360,0.587515
20576160.888503,0.660360,0.585067
20576179.384338,0.640492,0.554468
20576206.457834,0.618732,0.522644
20576222.973247,0.616840,0.520196
20576238.120483,0.610218,0.516524
20576250.425603,0.605487,0.517748
20576267.930781,0.599811,0.523868
20576282.771448,0.572375,0.578947
20576296.193512,0.572375,0.578947
20576313.098048,0.566698,0.592411
20576327.947194,0.556291,0.619339
20576359.470168,0.497635,0.771114
20576377.161875,0.502365,0.766218
20576398.981765,0.500473,0.762546
20576407.918206,0.504257,0.752754
20576419.943533,0.503311,0.749082
20576430.648430,0.499527,0.747858
20576447.428910,0.500473,0.747858
20576462.724298,0.501419,0.746634
20576475.252986,0.499527,0.745410
20576507.998217,0.495743,0.751530
20576522.650570,0.495743,0.750306
20576539.110203,0.481552,0.742962
20576554.844692,0.306528,0.658507
20576565.576810,0.304636,0.658507
20576582.219848,0.298959,0.653611
20576597.402337,0.293283,0.649939
20576610.086317,0.293283,0.651163
20576626.834222,0.293283,0.649939
20576657.877040,0.295175,0.654835
20576673.855178,0.295175,0.654835
20576688.981439,0.293283,0.653611
20576701.087982,0.293283,0.654835
20576718.539165,0.293283,0.652387
20576732.193721,0.294229,0.648715
20576746.352530,0.296121,0.638923
20576762.136999,0.315989,0.589963
20576777.146345,0.318827,0.577723
20576808.790698,0.325449,0.558140
20576823.771039,0.326395,0.560588
20576835.907034,0.326395,0.565483
20576853.107428,0.328288,0.566707
20576869.840161,0.329234,0.572827
20576885.921826,0.328288,0.572827
20576904.948689,0.327342,0.571603
20576918.601906,0.327342,0.571603
20576927.914975,0.327342,0.570379
20576959.087649,0.327342,0.572827
20576971.463723,0.327342,0.575275
20576988.305338,0.327342,0.575275
20577003.021504,0.327342,0.574051
20577014.982572,0.328288,0.572827
20577033.152650,0.329234,0.571603
20577047.862568,0.329234,0.569155
20577060.862487,0.329234,0.569155
20577077.816556,0.329234,0.570379
20577106.375592,0.333018,0.575275
20577122.981146,0.332072,0.580171
20577137.987815,0.340587,0.563035
20577150.823071,0.405866,0.443084
20577168.714248,0.417219,0.418605
20577183.051108,0.437086,0.380661
20577195.501703,0.436140,0.383109
20577212.703436,0.436140,0.380661
20577227.101431,0.435194,0.379437
20577258.219218,0.434248,0.383109
20577272.745731,0.433302,0.378213
20577287.384250,0.437086,0.400245
20577304.225420,0.444655,0.427173
20577319.183895,0.469253,0.525092
20577331.213238,0.475875,0.565483
20577347.149429,0.481552,0.626683
20577363.196734,0.492904,0.718482
20577378.065068,0.508988,0.847001
20577412.715306,0.505203,0.858017
20577423.465720,0.504257,0.854345
20577440.976252,0.504257,0.854345
20577455.028856,0.505203,0.853121
20577465.730630,0.504257,0.854345
20577482.528960,0.500473,0.854345
20577497.161232,0.488174,0.850673
20577509.934460,0.482498,0.843329
20577527.132624,0.476821,0.838433
20577556.445362,0.470199,0.833537
20577575.003670,0.471145,0.834761
20577589.245035,0.470199,0.833537
20577601.509547,0.468307,0.835985
20577632.144500,0.482498,0.838433
20577644.807953,0.485336,0.837209
20577661.873582,0.569536,0.810282
20577678.774548,0.630085,0.788250
20577722.867711,0.681173,0.773562
20577736.098784,0.681173,0.772338
20577754.126957,0.681173,0.773562
20577768.111286,0.681173,0.773562
20577780.107607,0.680227,0.776010
20577797.194209,0.681173,0.774786
20577812.562781,0.679281,0.777234
20577826.146831,0.682119,0.778458
20577859.549376,0.685903,0.777234
20577878.092512,0.699149,0.772338
20577904.650599,0.697256,0.773562
20577914.921749,0.700095,0.779682
20577920.016047,0.698202,0.783354
20577932.906637,0.694418,0.785802
20577948.067259,0.685903,0.806610
20577961.154642,0.686850,0.802938
20577977.323325,0.685903,0.805386
20578006.641865,0.682119,0.804162
20578022.443290,0.681173,0.807834
20578039.009575,0.680227,0.810282
20578052.104098,0.680227,0.812729
20578069.161694,0.680227,0.812729
20578082.855520,0.679281,0.812729
20578096.153975,0.683065,0.811505
20578112.232963,0.684011,0.810282
20578127.201702,0.683065,0.811505
20578158.069593,0.684957,0.809058
20578173.062429,0.684957,0.810282
20578186.692888,0.684011,0.805386
20578204.745604,0.683065,0.805386
20578219.235525,0.682119,0.805386
20578229.866792,0.681173,0.805386
