tstamp,gaze_x,gaze_y
21373944.438420,0.177862,0.388005
21373977.320201,0.179754,0.395349
21373987.899258,0.180700,0.399021
21373996.497001,0.180700,0.400245
21374018.239245,0.179754,0.403917
21374033.409239,0.176916,0.401469
21374049.228515,0.175970,0.400245
21374062.497964,0.176916,0.400245
21374078.828633,0.177862,0.401469
21374093.332834,0.176916,0.402693
21374106.882077,0.177862,0.401469
21374124.467578,0.177862,0.401469
21374138.655393,0.178808,0.406365
21374171.330564,0.176916,0.406365
21374186.614796,0.177862,0.406365
21374197.182250,0.177862,0.408813
21374213.802976,0.178808,0.410037
21374228.417399,0.180700,0.408813
21374242.075078,0.181646,0.408813
21374258.184857,0.181646,0.410037
21374274.117925,0.181646,0.410037
21374288.644438,0.182592,0.411261
21374321.645812,0.182592,0.416157
21374332.350262,0.182592,0.416157
21374348.474767,0.183538,0.417381
21374363.434581,0.183538,0.418605
21374376.480910,0.183538,0.417381
21374393.079770,0.184484,0.410037
21374408.584445,0.184484,0.410037
21374422.317539,0.185430,0.407589
21374441.345294,0.186377,0.405141
21374490.291338,0.181646,0.380661
21374501.700405,0.192999,0.381885
21374511.481581,0.450331,0.504284
21374528.148716,0.451277,0.495716
21374543.877405,0.552507,0.548348
21374558.305744,0.554399,0.543452
21374575.254012,0.557237,0.542228
21374589.425316,0.560076,0.542228
21374620.676083,0.561968,0.542228
21374633.207448,0.560076,0.537332
21374646.693771,0.559130,0.538556
21374663.019085,0.559130,0.538556
21374678.745096,0.559130,0.538556
21374693.544709,0.557237,0.537332
21374710.023084,0.557237,0.534884
21374723.275130,0.556291,0.533660
21374737.808336,0.557237,0.531212
21374770.621396,0.557237,0.531212
21374781.781460,0.555345,0.528764
21374799.042543,0.556291,0.529988
21374814.210306,0.557237,0.529988
21374827.615413,0.560076,0.529988
21374843.968394,0.561022,0.532436
21374858.332474,0.561968,0.533660
21374872.189624,0.561968,0.534884
21374889.002681,0.562914,0.536108
21374918.949082,0.562914,0.541004
21374933.705856,0.559130,0.541004
21374949.261849,0.560076,0.541004
21374963.216726,0.561022,0.539780
21374978.805294,0.561968,0.538556
21374994.637511,0.561968,0.536108
21375006.854276,0.561968,0.537332
21375023.197886,0.561022,0.538556
21375039.642346,0.561968,0.538556
21375071.086336,0.561968,0.538556
21375085.802501,0.562914,0.541004
21375097.189702,0.524125,0.523868
21375113.386499,0.343425,0.449204
21375128.993809,0.318827,0.438188
21375142.045046,0.284768,0.423501
21375173.655931,0.283822,0.423501
21375188.729536,0.281930,0.421053
21375222.081656,0.278146,0.424725
21375232.251955,0.275307,0.428397
21375263.171611,0.277200,0.433293
21375276.430350,0.277200,0.439412
21375292.686943,0.277200,0.444308
21375308.526746,0.280038,0.446756
21375322.627098,0.280038,0.446756
21375339.467821,0.280038,0.446756
21375368.870700,0.280038,0.445532
21375383.096892,0.279092,0.445532
21375398.408791,0.280038,0.446756
21375411.947770,0.275307,0.446756
21375428.650158,0.275307,0.446756
21375452.325077,0.273415,0.449204
21375473.543879,0.275307,0.452876
21375481.709660,0.274361,0.454100
21375493.065624,0.272469,0.454100
21375520.593841,0.273415,0.456548
21375533.097093,0.279092,0.456548
21375546.611083,0.449385,0.571603
21375563.770869,0.507096,0.611995
21375579.296071,0.550615,0.637699
21375592.485643,0.598865,0.668299
21375608.529379,0.596973,0.665851
21375623.518198,0.596026,0.670747
21375637.785890,0.595080,0.667075
21375670.704263,0.593188,0.669523
21375683.220010,0.590350,0.670747
21375699.207519,0.590350,0.670747
21375713.870582,0.591296,0.670747
21375727.098531,0.592242,0.671971
21375743.528265,0.595080,0.674419
21375758.331894,0.593188,0.675643
21375771.827588,0.593188,0.675643
21375788.889647,0.593188,0.679315
21375818.701731,0.594134,0.679315
21375834.869521,0.594134,0.679315
21375849.188978,0.595080,0.680539
21375862.170155,0.595080,0.681763
21375878.539200,0.595080,0.682987
21375893.377636,0.589404,0.689106
21375906.861728,0.590350,0.689106
21375923.058524,0.594134,0.689106
21375940.569503,0.603595,0.695226
21376089.409921,0.608325,0.720930
21376120.840523,0.595080,0.702570
21376132.112148,0.607379,0.653611
21376148.147404,0.609272,0.649939
21376163.197805,0.614002,0.643819
21376176.767129,0.614002,0.645043
21376192.987576,0.612110,0.646267
21376209.589114,0.611164,0.646267
21376223.672955,0.610218,0.648715
21376239.470811,0.612110,0.648715
21376268.904034,0.611164,0.652387
21376284.751869,0.613056,0.649939
21376298.489873,0.616840,0.642595
21376311.848570,0.619678,0.637699
21376328.915985,0.620624,0.636475
21376344.160947,0.620624,0.632803
21376357.626743,0.625355,0.624235
21376373.521879,0.625355,0.625459
21376388.978807,0.626301,0.624235
21376421.638359,0.628193,0.624235
21376433.227708,0.628193,0.627907
21376452.213070,0.628193,0.636475
21376469.071643,0.628193,0.643819
21376487.014584,0.628193,0.651163
21376496.193780,0.626301,0.652387
21376508.575654,0.625355,0.648715
21376523.582323,0.624409,0.649939
21376538.149890,0.623463,0.645043
21376570.039229,0.625355,0.645043
21376582.525078,0.624409,0.643819
21376599.340365,0.625355,0.643819
21376614.165414,0.624409,0.643819
21376626.882862,0.625355,0.643819
21376643.889141,0.625355,0.645043
21376658.520521,0.625355,0.643819
21376672.072887,0.624409,0.646267
