tstamp,gaze_x,gaze_y
21404693.349701,0.228004,0.539780
21404705.725775,0.227058,0.538556
21404721.240713,0.227058,0.537332
21404736.550827,0.225166,0.533660
21404768.247389,0.225166,0.532436
21404782.693132,0.226112,0.533660
21404795.510092,0.225166,0.533660
21404812.578399,0.227058,0.534884
21404828.393659,0.228004,0.536108
21404841.283356,0.228004,0.538556
21404856.482802,0.227058,0.538556
21404872.124027,0.227058,0.537332
21404887.210127,0.227058,0.537332
21404918.904458,0.227058,0.533660
21404930.649991,0.228004,0.534884
21404946.949870,0.225166,0.538556
21404964.612124,0.224219,0.538556
21404976.978826,0.224219,0.538556
21404994.796819,0.224219,0.536108
21405009.087716,0.225166,0.538556
21405022.190718,0.225166,0.538556
21405038.490149,0.225166,0.539780
21405066.124572,0.227058,0.541004
21405083.137545,0.229896,0.543452
21405097.904582,0.237465,0.549572
21405111.923271,0.237465,0.550796
21405128.527933,0.237465,0.552020
21405144.758197,0.236518,0.555692
21405155.591612,0.236518,0.555692
21405172.258747,0.233680,0.554468
21405187.353772,0.193945,0.544676
21405217.852621,0.175970,0.544676
21405232.175202,0.174078,0.547124
21405246.394254,0.169347,0.556916
21405263.381345,0.167455,0.555692
21405281.034228,0.167455,0.554468
21405292.611974,0.165563,0.549572
21405308.272388,0.163671,0.548348
21405322.278583,0.163671,0.548348
21405335.426208,0.162725,0.543452
21405367.549378,0.158940,0.539780
21405380.679600,0.158940,0.539780
21405516.945367,0.177862,0.533660
21405532.542414,0.146641,0.515300
21405549.874004,0.152318,0.548348
21405565.345657,0.150426,0.537332
21405577.736456,0.150426,0.531212
21405592.949735,0.150426,0.533660
21405604.878227,0.151372,0.537332
21405621.459684,0.150426,0.515300
21405636.910364,0.147588,0.481028
21405669.850603,0.146641,0.489596
21405682.311015,0.145695,0.490820
21405695.463103,0.145695,0.495716
21405712.485447,0.144749,0.494492
21405727.490777,0.145695,0.495716
21405741.239937,0.145695,0.495716
21405756.405022,0.143803,0.493268
21405772.309529,0.143803,0.494492
21405786.113577,0.143803,0.494492
21405818.450943,0.142857,0.496940
21405830.576228,0.143803,0.501836
21405847.013995,0.143803,0.501836
21405861.759166,0.145695,0.505508
21405877.555237,0.147588,0.509180
21405894.457095,0.148534,0.510404
21405909.256262,0.149480,0.511628
21405920.964311,0.149480,0.510404
21405937.452057,0.152318,0.510404
21405966.286870,0.156102,0.514076
21405981.659458,0.155156,0.510404
21405996.539394,0.154210,0.511628
21406011.708049,0.151372,0.518972
21406028.534046,0.151372,0.518972
21406045.618418,0.149480,0.514076
21406066.660509,0.149480,0.512852
21406088.093061,0.151372,0.517748
21406117.440160,0.151372,0.514076
21406131.604771,0.207190,0.501836
21406146.788598,0.377483,0.454100
21406163.451717,0.391675,0.447980
21406179.712326,0.425733,0.435741
21406192.066087,0.445601,0.421053
21406207.513643,0.454115,0.427173
21406222.223115,0.456954,0.428397
21406235.654996,0.452223,0.427173
21406267.559061,0.465468,0.430845
21406280.416629,0.471145,0.434517
21406297.226116,0.470199,0.433293
21406313.890573,0.491012,0.419829
21406326.066730,0.498581,0.416157
21406343.196618,0.505203,0.414933
21406357.690109,0.514664,0.410037
21406370.638711,0.514664,0.410037
21406386.479406,0.519395,0.407589
21406416.731037,0.521287,0.413709
21406432.317821,0.521287,0.413709
21406447.046481,0.522233,0.414933
21406461.100870,0.526017,0.418605
21406477.614498,0.525071,0.418605
21406493.068301,0.525071,0.417381
21406505.137806,0.526017,0.414933
21406521.387705,0.526017,0.413709
21406537.063291,0.524125,0.418605
21406569.082933,0.523179,0.418605
21406592.099644,0.522233,0.414933
21406598.412628,0.522233,0.416157
21406613.752640,0.522233,0.414933
21406627.600865,0.522233,0.414933
21406640.687355,0.523179,0.410037
21406658.008681,0.524125,0.405141
21406672.323229,0.523179,0.402693
21406686.835462,0.523179,0.399021
21406717.766720,0.523179,0.405141
21406730.493539,0.520341,0.408813
21406746.416343,0.518448,0.417381
21406762.573424,0.518448,0.418605
21406776.430127,0.519395,0.417381
21406793.279775,0.521287,0.419829
21406809.782247,0.521287,0.421053
21406820.786573,0.522233,0.424725
21406836.687511,0.523179,0.429621
21406866.438012,0.526017,0.430845
21406881.304561,0.525071,0.430845
21406897.181402,0.517502,0.432069
21406912.051968,0.239357,0.489596
21406928.462960,0.189215,0.531212
21406944.490630,0.176916,0.537332
21406955.673453,0.164617,0.542228
21406971.905056,0.175970,0.564259
21406987.093345,0.172185,0.567931
21407018.316892,0.174078,0.571603
21407031.686745,0.161779,0.576499
21407047.549753,0.161779,0.577723
21407064.130317,0.169347,0.581395
21407078.398009,0.164617,0.578947
21407092.922291,0.167455,0.583843
21407110.514039,0.167455,0.583843
21407121.489359,0.168401,0.585067
21407134.831992,0.167455,0.585067
21407167.493776,0.171239,0.582619
21407180.408909,0.175024,0.580171
21407198.670467,0.182592,0.580171
21407213.167081,0.203406,0.580171
21407225.673903,0.207190,0.580171
21407242.887685,0.207190,0.578947
21407257.912650,0.214759,0.575275
21407269.689866,0.214759,0.575275
21407286.844298,0.213813,0.571603
21407316.314113,0.214759,0.570379
21407332.404258,0.213813,0.570379
21407346.854463,0.215705,0.572827
21407360.688855,0.236518,0.587515
21407377.285484,0.239357,0.583843
21407393.192223,0.240303,0.583843
21407404.892239,0.239357,0.580171
21407421.489761,0.237465,0.575275
21407437.182304,0.236518,0.569155
21407468.611121,0.232734,0.564259
21407481.757408,0.230842,0.561812
21407495.018378,0.229896,0.560588
21407512.216542,0.229896,0.559364
21407527.498988,0.228950,0.556916
21407541.077237,0.228950,0.555692
21407557.401658,0.228950,0.555692
21407582.288569,0.227058,0.555692
21407594.225540,0.227058,0.555692
21407620.921516,0.226112,0.561812
21407633.071345,0.226112,0.561812
21407646.383633,0.226112,0.561812
21407781.010354,0.224219,0.561812
21407796.584643,0.208136,0.543452
21407811.751959,0.206244,0.505508
21407828.629721,0.209082,0.499388
21407843.860849,0.209082,0.501836
21407854.970934,0.209082,0.498164
21407871.359614,0.210028,0.477356
21407886.322552,0.210028,0.468788
21407917.762079,0.210028,0.479804
21407932.099831,0.208136,0.479804
21407946.043552,0.208136,0.481028
21407962.850807,0.209082,0.482252
21407978.658927,0.210974,0.484700
21407991.387531,0.213813,0.485924
21408008.109554,0.212867,0.487148
21408021.807396,0.212867,0.489596
21408035.788155,0.211921,0.494492
21408072.466562,0.211921,0.494492
21408101.775284,0.210974,0.496940
