tstamp,gaze_x,gaze_y
21410931.652251,0.540208,0.641371
21410946.896321,0.540208,0.640147
21410959.844030,0.540208,0.636475
21410977.890498,0.540208,0.632803
21410993.084589,0.540208,0.634027
21411006.860077,0.540208,0.637699
21411023.623600,0.540208,0.641371
21411037.144730,0.543046,0.642595
21411067.881873,0.543992,0.645043
21411082.775196,0.544939,0.645043
21411112.694824,0.544939,0.645043
21411120.797238,0.543046,0.643819
21411133.743608,0.536424,0.642595
21411145.736359,0.536424,0.643819
21411158.732262,0.535478,0.643819
21411171.205616,0.535478,0.643819
21411185.313108,0.536424,0.642595
21411217.482241,0.537370,0.641371
21411229.900707,0.538316,0.641371
21411246.983293,0.539262,0.642595
21411262.842284,0.543046,0.642595
21411276.907383,0.543992,0.641371
21411292.874811,0.543992,0.641371
21411307.998842,0.542100,0.641371
21411320.406598,0.541154,0.636475
21411336.465059,0.536424,0.619339
21411365.956294,0.503311,0.493268
21411381.491314,0.499527,0.481028
21411396.915665,0.498581,0.476132
21411410.417160,0.488174,0.440636
21411427.592565,0.480605,0.433293
21411442.032507,0.477767,0.428397
21411456.409975,0.438032,0.405141
21411472.322069,0.405866,0.402693
21411486.102465,0.403027,0.401469
21411517.847222,0.389782,0.390453
21411532.258158,0.388836,0.390453
21411547.454034,0.385998,0.380661
21411561.395077,0.385052,0.381885
21411576.802471,0.384106,0.380661
21411595.744994,0.384106,0.380661
21411629.318004,0.385998,0.375765
21411640.739119,0.380322,0.376989
21411647.156078,0.377483,0.380661
21411668.064743,0.374645,0.384333
21411680.076236,0.376537,0.384333
21411696.465809,0.380322,0.391677
21411711.690690,0.380322,0.388005
21411726.146250,0.382214,0.391677
21411741.486262,0.385052,0.395349
21411757.105175,0.385052,0.394125
21411770.558476,0.384106,0.394125
21411787.164923,0.384106,0.395349
21411816.344235,0.384106,0.397797
21411831.344656,0.384106,0.396573
21411847.796257,0.381268,0.402693
21411859.882719,0.380322,0.402693
21411877.910892,0.382214,0.399021
21411895.078710,0.381268,0.400245
21411906.815319,0.381268,0.400245
21411923.279860,0.379376,0.399021
21411936.216859,0.377483,0.400245
21411968.188307,0.376537,0.401469
21411980.623284,0.378430,0.401469
