tstamp,gaze_x,gaze_y
21461165.210802,0.716178,0.634027
21461177.659167,0.716178,0.632803
21461194.352630,0.717124,0.632803
21461210.414215,0.718070,0.632803
21461224.278951,0.720908,0.629131
21461241.683724,0.721854,0.627907
21461254.677842,0.718070,0.629131
21461268.046357,0.719016,0.627907
21461284.313660,0.719962,0.627907
21461313.704491,0.719016,0.627907
21461329.491191,0.718070,0.629131
21461344.839681,0.718070,0.631579
21461359.982900,0.719016,0.631579
21461376.471538,0.719016,0.631579
21461390.068529,0.719016,0.632803
21461403.057739,0.715232,0.632803
21461419.968076,0.717124,0.634027
21461442.966937,0.719962,0.630355
21461466.940391,0.715232,0.630355
21461481.423619,0.740776,0.549572
21461495.021056,0.749290,0.526316
21461511.532006,0.760643,0.498164
21461525.639052,0.768212,0.479804
21461538.896453,0.789972,0.427173
21461554.222185,0.788079,0.425949
21461569.259645,0.788079,0.425949
21461582.563008,0.788079,0.428397
21461615.341708,0.788079,0.428397
21461628.557162,0.791864,0.423501
21461644.012304,0.792810,0.422277
21461660.521023,0.796594,0.424725
21461673.606621,0.795648,0.428397
21461690.487060,0.796594,0.428397
21461706.620936,0.797540,0.432069
21461718.044729,0.798486,0.433293
21461734.545416,0.797540,0.430845
21461763.894300,0.796594,0.429621
21461778.653304,0.795648,0.424725
21461793.849180,0.797540,0.423501
21461809.048626,0.795648,0.424725
21461825.365907,0.795648,0.427173
21461840.071363,0.795648,0.428397
21461853.164101,0.795648,0.429621
21461869.946366,0.794702,0.432069
21461884.691538,0.793756,0.433293
21461915.172091,0.794702,0.435741
21461930.088173,0.794702,0.435741
21461947.962393,0.794702,0.440636
21461968.271308,0.794702,0.439412
21461979.864226,0.795648,0.435741
21461990.303163,0.796594,0.428397
21462005.561067,0.796594,0.429621
21462019.701134,0.797540,0.429621
21462032.812614,0.799432,0.428397
21462065.280729,0.799432,0.430845
21462095.869719,0.799432,0.430845
21462110.691197,0.799432,0.432069
21462123.931195,0.355724,0.439412
21462141.053943,0.286660,0.440636
21462153.876258,0.226112,0.438188
21462167.473249,0.224219,0.432069
21462184.259531,0.218543,0.424725
21462214.070721,0.220435,0.424725
21462229.244731,0.215705,0.416157
21462246.164885,0.208136,0.392901
21462259.628896,0.210028,0.388005
21462275.916280,0.209082,0.392901
21462290.012169,0.214759,0.392901
21462303.140606,0.237465,0.395349
21462319.259756,0.244087,0.399021
21462333.804119,0.253548,0.405141
21462365.370825,0.258278,0.416157
21462380.300294,0.258278,0.417381
21462392.781234,0.260170,0.423501
21462409.545204,0.267739,0.430845
21462425.435878,0.280984,0.438188
21462444.397143,0.280984,0.438188
21462457.013740,0.315989,0.441860
21462470.676329,0.320719,0.440636
21462484.399606,0.325449,0.440636
21462515.165308,0.333018,0.440636
21462528.024661,0.339640,0.435741
21462543.818501,0.339640,0.435741
21462559.644024,0.340587,0.434517
21462573.639955,0.341533,0.433293
21462589.905026,0.341533,0.433293
21462603.542625,0.343425,0.429621
21462617.782651,0.343425,0.430845
21462634.768403,0.344371,0.430845
21462663.142248,0.349101,0.435741
21462678.586680,0.353832,0.434517
21462694.184174,0.350993,0.434517
21462711.032037,0.350047,0.435741
21462725.054296,0.349101,0.438188
21462739.857926,0.349101,0.434517
21462753.046605,0.348155,0.436965
21462773.054307,0.347209,0.428397
21462784.295141,0.347209,0.428397
21462814.959992,0.346263,0.425949
21462829.088903,0.349101,0.432069
21462843.256638,0.349101,0.432069
21462859.743491,0.349101,0.433293
21462876.231237,0.350047,0.434517
21462889.135214,0.352886,0.440636
21462904.948689,0.354778,0.445532
21462919.625139,0.354778,0.446756
21462933.356449,0.353832,0.451652
21462965.264976,0.350047,0.449204
21462979.718752,0.351939,0.457772
21462994.870896,0.303690,0.436965
21463010.899905,0.293283,0.430845
21463023.992642,0.291391,0.429621
21463040.734300,0.293283,0.416157
21463054.229101,0.293283,0.416157
21463067.901061,0.293283,0.417381
21463083.994775,0.291391,0.427173
21463113.429338,0.292337,0.428397
21463129.104477,0.290445,0.430845
21463144.706433,0.289499,0.434517
21463265.031101,0.274361,0.368421
21463279.723616,0.262062,0.368421
21463292.244717,0.263955,0.381885
21463309.475010,0.265847,0.394125
21463325.191204,0.265847,0.392901
21463338.353555,0.267739,0.396573
21463354.085813,0.267739,0.392901
21463368.598939,0.267739,0.391677
21463382.790770,0.269631,0.395349
21463415.959485,0.270577,0.408813
21463430.875567,0.271523,0.412485
21463447.578401,0.271523,0.417381
21463460.779576,0.272469,0.414933
21463475.740282,0.272469,0.418605
21463492.439100,0.272469,0.418605
21463508.384662,0.274361,0.418605
21463519.978027,0.274361,0.417381
21463534.381823,0.273415,0.414933
21463563.802998,0.270577,0.397797
21463579.071165,0.273415,0.396573
21463594.072033,0.274361,0.396573
21463608.193805,0.272469,0.394125
21463625.206777,0.271523,0.390453
21463640.618188,0.271523,0.389229
21463656.286187,0.271523,0.385557
21463669.950115,0.272469,0.384333
21463684.133914,0.271523,0.386781
21463715.023225,0.271523,0.383109
21463728.424315,0.269631,0.391677
21463743.016426,0.268685,0.396573
21463760.440833,0.267739,0.396573
21463776.053053,0.266793,0.397797
21463789.642011,0.265847,0.402693
21463805.524653,0.265847,0.401469
21463819.010530,0.265847,0.400245
21463832.658839,0.267739,0.396573
21463864.930607,0.268685,0.394125
21463877.897504,0.269631,0.394125
21463894.394622,0.267739,0.396573
21463910.499938,0.270577,0.396573
