tstamp,gaze_x,gaze_y
21483155.217215,0.192053,0.411261
21483191.926413,0.193945,0.406365
21483213.739610,0.199622,0.392901
21483226.688211,0.198675,0.390453
21483242.208951,0.193945,0.396573
21483257.452128,0.191107,0.394125
21483271.859941,0.194891,0.384333
21483288.360181,0.190161,0.394125
21483303.688145,0.190161,0.391677
21483317.300308,0.195837,0.388005
21483333.861684,0.189215,0.394125
21483362.205631,0.190161,0.391677
21483378.339061,0.187323,0.397797
21483394.707214,0.210974,0.401469
21483408.272522,0.325449,0.441860
21483423.168077,0.371807,0.450428
21483439.716958,0.393567,0.457772
21483452.680731,0.444655,0.466340
21483468.862355,0.489120,0.465116
21483484.293400,0.519395,0.466340
21483516.285375,0.516556,0.468788
21483528.134437,0.511826,0.471236
21483543.845722,0.510880,0.468788
21483559.701589,0.513718,0.466340
21483572.613152,0.501419,0.471236
21483587.494428,0.502365,0.471236
21483602.696997,0.505203,0.472460
21483619.838487,0.499527,0.474908
21483633.363633,0.499527,0.477356
21483668.800595,0.507096,0.488372
21483680.777282,0.508042,0.494492
21483711.396617,0.503311,0.488372
21483724.392966,0.503311,0.488372
21483754.935993,0.510880,0.485924
21483769.192976,0.519395,0.488372
21483813.739074,0.536424,0.489596
21483828.691748,0.537370,0.490820
21483843.527507,0.558184,0.504284
21483857.510497,0.560076,0.504284
21483872.695663,0.566698,0.506732
21483887.910727,0.567644,0.506732
21483904.532791,0.569536,0.507956
21483921.199927,0.565752,0.506732
21483936.228462,0.561968,0.512852
21483966.453318,0.562914,0.512852
21483977.766443,0.564806,0.517748
21483992.411210,0.564806,0.521420
21484007.842255,0.568590,0.529988
21484023.793172,0.567644,0.527540
21484039.023409,0.567644,0.528764
21484054.139407,0.566698,0.526316
21484069.812315,0.566698,0.526316
21484082.719862,0.565752,0.526316
21484114.627944,0.567644,0.521420
21484126.689416,0.568590,0.522644
21484142.596601,0.568590,0.523868
21484158.107524,0.567644,0.526316
21484172.969164,0.566698,0.534884
21484189.374802,0.566698,0.539780
21484207.806377,0.569536,0.533660
21484220.024481,0.570482,0.531212
21484234.347061,0.568590,0.533660
21484262.516081,0.571429,0.527540
21484278.227813,0.571429,0.527540
21484294.168020,0.568590,0.528764
21484307.011754,0.565752,0.529988
21484323.109931,0.564806,0.533660
21484337.943012,0.555345,0.534884
21484352.350825,0.555345,0.533660
21484368.947454,0.559130,0.532436
21484414.110705,0.566698,0.527540
21484431.464160,0.566698,0.527540
21484441.786628,0.321665,0.510404
21484458.070887,0.234626,0.504284
21484486.778075,0.137181,0.499388
21484502.674551,0.151372,0.509180
21484519.231911,0.154210,0.523868
21484533.498711,0.157994,0.525092
21484566.013235,0.160833,0.528764
21484576.231728,0.161779,0.516524
21484592.793996,0.156102,0.507956
21484607.856892,0.154210,0.511628
21484620.867521,0.151372,0.510404
21484637.371778,0.151372,0.510404
21484653.037993,0.150426,0.517748
21484667.173151,0.150426,0.517748
21484692.222941,0.137181,0.495716
21484716.589980,0.140965,0.509180
21484729.426575,0.140965,0.498164
21484742.320288,0.134342,0.494492
21484756.690170,0.130558,0.499388
21484820.171651,0.131504,0.510404
21484835.105137,0.133396,0.529988
21484864.508016,0.164617,0.483476
21484877.662781,0.190161,0.455324
21484891.621674,0.226112,0.425949
21484907.671657,0.270577,0.400245
21484923.005421,0.329234,0.399021
21484937.471245,0.355724,0.395349
21484953.737209,0.356670,0.400245
21484969.383789,0.356670,0.403917
21484982.626910,0.359508,0.419829
21485015.137418,0.362346,0.438188
21485025.585280,0.362346,0.435741
21485043.083764,0.375591,0.433293
21485071.208606,0.398297,0.430845
21485088.396952,0.406812,0.429621
21485103.011374,0.427625,0.418605
21485116.904224,0.422895,0.422277
21485134.157274,0.438978,0.435741
21485161.729669,0.442763,0.439412
21485185.499191,0.443709,0.434517
21485199.271555,0.447493,0.430845
21485216.241242,0.450331,0.429621
21485226.734620,0.451277,0.427173
21485239.348987,0.451277,0.425949
21485251.909358,0.452223,0.423501
21485268.619332,0.452223,0.423501
21485284.331956,0.453169,0.423501
21485314.961108,0.451277,0.424725
21485328.548281,0.452223,0.423501
21485341.180051,0.452223,0.422277
21485357.965887,0.453169,0.421053
21485373.009148,0.450331,0.413709
21485386.001034,0.448439,0.410037
21485402.540991,0.449385,0.408813
21485419.082286,0.450331,0.408813
21485432.602969,0.452223,0.407589
21485466.385267,0.456008,0.412485
21485476.089243,0.456008,0.417381
21485492.876417,0.454115,0.417381
21485507.637207,0.453169,0.416157
21485521.479185,0.449385,0.414933
21485537.770584,0.450331,0.413709
21485553.206984,0.448439,0.413709
21485568.065501,0.448439,0.413709
21485584.923182,0.446547,0.408813
21485612.253714,0.446547,0.407589
21485627.799889,0.450331,0.411261
21485643.526793,0.453169,0.410037
21485656.131788,0.454115,0.410037
21485679.529143,0.451277,0.410037
21485696.042325,0.454115,0.411261
21485704.980551,0.454115,0.412485
21485726.548314,0.454115,0.413709
21485739.442474,0.453169,0.412485
21485765.716752,0.452223,0.406365
21485777.793842,0.454115,0.397797
