tstamp,gaze_x,gaze_y
21500866.255499,0.629139,0.427173
21500882.948963,0.629139,0.427173
21500912.581210,0.628193,0.421053
21500928.423691,0.631977,0.417381
21500943.583421,0.631977,0.416157
21500955.172769,0.631977,0.416157
21500971.778323,0.630085,0.416157
21500989.375426,0.625355,0.417381
21501001.703752,0.623463,0.424725
21501017.439134,0.624409,0.427173
21501031.813478,0.624409,0.427173
21501063.780017,0.625355,0.433293
21501079.552883,0.628193,0.432069
21501090.353723,0.637654,0.425949
21501107.519756,0.638600,0.424725
21501123.073072,0.635762,0.427173
21501136.520572,0.636708,0.421053
21501152.498263,0.637654,0.423501
21501167.865942,0.635762,0.425949
21501184.420178,0.614948,0.447980
21501216.348786,0.493851,0.468788
21501260.867218,0.485336,0.471236
21501270.550667,0.471145,0.473684
21501302.120051,0.313150,0.517748
21501315.453313,0.280984,0.522644
21501363.266794,0.254494,0.528764
21501378.796013,0.255440,0.528764
21501394.737558,0.256386,0.522644
21501405.668700,0.256386,0.518972
21501421.996692,0.251656,0.520196
21501437.290294,0.247871,0.522644
21501449.965796,0.245979,0.525092
21501466.520478,0.245033,0.527540
21501482.358496,0.240303,0.532436
21501514.691399,0.238411,0.536108
21501529.808736,0.238411,0.536108
21501543.642235,0.239357,0.537332
21501557.144623,0.243141,0.542228
21501572.217782,0.242195,0.544676
21501584.944155,0.240303,0.544676
21501601.824594,0.243141,0.543452
21501617.614864,0.243141,0.543452
21501631.092708,0.242195,0.543452
21501664.625110,0.242195,0.542228
21501675.824443,0.249763,0.532436
21501694.042715,0.252602,0.522644
21501717.783231,0.263955,0.470012
21501723.853460,0.264901,0.462668
21501737.479902,0.269631,0.455324
21501752.544583,0.267739,0.444308
21501766.192445,0.269631,0.446756
21501783.739123,0.268685,0.444308
21501812.050049,0.269631,0.445532
21501827.818006,0.270577,0.443084
21501842.924188,0.263009,0.443084
21501854.949068,0.266793,0.446756
21501872.309217,0.267739,0.445532
21501887.718843,0.267739,0.444308
21501900.592922,0.269631,0.440636
21501917.184196,0.270577,0.440636
21501932.126606,0.269631,0.440636
21501963.999880,0.267739,0.435741
21501978.197959,0.263009,0.430845
21501990.885509,0.264901,0.423501
21502007.545951,0.264901,0.424725
21502022.871236,0.262062,0.425949
21502035.702476,0.263009,0.425949
21502051.904627,0.261116,0.427173
21502067.034905,0.261116,0.428397
21502080.616278,0.261116,0.430845
21502113.980000,0.262062,0.434517
21502127.029452,0.263009,0.433293
21502143.914354,0.265847,0.419829
21502157.816128,0.264901,0.427173
21502170.738401,0.263955,0.427173
21502187.824557,0.263009,0.428397
21502217.421998,0.259224,0.427173
21502229.558439,0.263009,0.424725
21502238.585020,0.262062,0.424725
21502262.812386,0.267739,0.423501
21502278.736082,0.263009,0.423501
21502294.335361,0.266793,0.419829
21502305.581549,0.270577,0.423501
21502322.143818,0.275307,0.428397
21502337.094706,0.267739,0.432069
21502350.519002,0.268685,0.432069
21502366.678314,0.265847,0.427173
21502382.278484,0.264901,0.430845
21502414.015209,0.263009,0.429621
21502428.392231,0.262062,0.428397
21502440.689765,0.262062,0.427173
21502457.186882,0.262062,0.418605
21502472.160976,0.261116,0.412485
21502485.478173,0.263009,0.421053
21502502.090866,0.263009,0.416157
21502517.471040,0.264901,0.418605
21502531.420562,0.269631,0.416157
21502564.208632,0.265847,0.432069
21502576.648072,0.266793,0.428397
21502593.155452,0.267739,0.429621
