tstamp,gaze_x,gaze_y
21511858.722044,0.408704,0.499388
21511866.476389,0.403027,0.503060
21511878.042087,0.405866,0.504284
21511891.107157,0.404920,0.501836
21511908.159399,0.407758,0.503060
21511922.232977,0.407758,0.504284
21511935.626927,0.408704,0.507956
21511952.452479,0.411542,0.510404
21511968.686313,0.412488,0.509180
21511980.274769,0.411542,0.507956
21512012.465768,0.493851,0.494492
21512026.336305,0.485336,0.499388
21512042.610301,0.517502,0.489596
21512056.945822,0.564806,0.465116
21512072.064498,0.666982,0.425949
21512087.060457,0.669820,0.424725
21512102.981476,0.703879,0.378213
21512117.378132,0.705771,0.380661
21512131.623513,0.707663,0.412485
21512160.778282,0.713340,0.394125
21512177.027288,0.713340,0.392901
21512193.106277,0.714286,0.392901
21512207.291861,0.714286,0.399021
21512223.242331,0.714286,0.397797
21512236.966501,0.714286,0.395349
21512250.492540,0.714286,0.396573
21512266.426053,0.714286,0.397797
21512281.405948,0.711447,0.406365
21512313.908869,0.712394,0.405141
21512337.918469,0.711447,0.407589
21512346.370737,0.714286,0.395349
21512362.778606,0.739830,0.385557
21512379.350691,0.770104,0.379437
21512387.338421,0.779565,0.378213
21512401.129974,0.769158,0.378213
21512417.880556,0.785241,0.378213
21512430.098660,0.783349,0.379437
21512462.500731,0.794702,0.378213
21512476.787165,0.789972,0.380661
21512493.888048,0.789972,0.384333
21512508.054890,0.785241,0.389229
21512520.466216,0.789026,0.386781
21512536.418471,0.787133,0.388005
21512551.216745,0.785241,0.390453
21512564.887366,0.782403,0.395349
21512581.520141,0.776727,0.405141
21512611.948930,0.779565,0.407589
21512627.052434,0.779565,0.407589
21512642.512485,0.779565,0.412485
21512656.616406,0.780511,0.417381
21512672.883709,0.779565,0.414933
21512685.906833,0.779565,0.407589
21512700.960803,0.779565,0.403917
21512716.598459,0.782403,0.399021
21512732.120537,0.784295,0.396573
21512763.415928,0.787133,0.400245
21512776.673329,0.786187,0.402693
21512791.310510,0.784295,0.403917
21512807.394407,0.781457,0.403917
21512826.051781,0.779565,0.403917
21512845.736404,0.774834,0.403917
21512858.330689,0.774834,0.403917
21512870.084255,0.776727,0.403917
21512879.774844,0.779565,0.399021
21512912.619141,0.784295,0.391677
21512925.729282,0.729423,0.428397
21512941.495009,0.720908,0.423501
21512957.218788,0.707663,0.427173
21512970.358381,0.682119,0.427173
21512989.816760,0.649007,0.423501
21513002.037541,0.616840,0.419829
21513015.256565,0.616840,0.422277
21513031.395796,0.614002,0.423501
21513060.717013,0.612110,0.424725
21513077.360497,0.613056,0.424725
21513094.558660,0.614948,0.423501
21513106.824958,0.624409,0.413709
21513123.490308,0.629139,0.416157
21513136.731644,0.627247,0.417381
21513150.055535,0.623463,0.434517
21513166.198336,0.623463,0.435741
21513181.376362,0.624409,0.443084
21513212.361615,0.622517,0.449204
21513227.614609,0.621570,0.446756
21513241.768956,0.619678,0.445532
21513258.828338,0.618732,0.444308
21513273.269173,0.621570,0.444308
21513284.406478,0.618732,0.447980
21513301.714863,0.620624,0.447980
21513322.258948,0.621570,0.450428
21513343.913283,0.622517,0.451652
21513367.452097,0.622517,0.457772
21513378.499708,0.623463,0.460220
21513392.983382,0.625355,0.465116
21513407.402350,0.617786,0.623011
21513420.166207,0.617786,0.625459
21513436.783363,0.618732,0.618115
21513451.348253,0.619678,0.629131
21513465.370959,0.620624,0.629131
21513481.927426,0.620624,0.641371
21513512.175487,0.621570,0.643819
21513526.816684,0.622517,0.645043
21513542.805086,0.617786,0.646267
21513556.315952,0.617786,0.648715
21513572.836273,0.620624,0.648715
21513587.339582,0.621570,0.649939
21513600.572439,0.620624,0.648715
21513617.321683,0.620624,0.647491
21513632.360928,0.614948,0.646267
21513662.629070,0.619678,0.649939
21513676.684351,0.619678,0.649939
21513690.800321,0.617786,0.651163
21513707.428634,0.615894,0.654835
21513722.520089,0.610218,0.656059
21513735.446378,0.630085,0.673195
21513753.693210,0.641438,0.682987
21513766.932761,0.594134,0.670747
21513780.369997,0.520341,0.656059
21513813.204923,0.413434,0.632803
21513831.720838,0.353832,0.626683
21513852.267601,0.353832,0.631579
21513860.465511,0.352886,0.631579
