tstamp,gaze_x,gaze_y
21600715.909015,0.812677,0.425949
21600732.103134,0.814570,0.425949
21600747.321321,0.816462,0.425949
21600762.024992,0.816462,0.427173
21600779.045105,0.814570,0.430845
21600810.727834,0.814570,0.430845
21600822.719246,0.816462,0.432069
21600837.260485,0.814570,0.434517
21600851.712476,0.809839,0.438188
21600867.508100,0.809839,0.438188
21600882.265320,0.811731,0.436965
21600897.491987,0.811731,0.436965
21600913.927076,0.812677,0.435741
21600928.569165,0.813623,0.434517
21600971.743516,0.813623,0.434517
21600989.076444,0.813623,0.433293
21600997.503723,0.808893,0.439412
21601005.455307,0.805109,0.445532
21601019.137530,0.804163,0.450428
21601031.867473,0.804163,0.451652
21601048.055345,0.804163,0.456548
21601064.172264,0.803217,0.454100
21601077.532300,0.803217,0.481028
21601108.898644,0.804163,0.510404
21601121.269808,0.800378,0.536108
21601137.332732,0.795648,0.543452
21601151.844519,0.795648,0.548348
21601166.787375,0.794702,0.548348
21601183.123399,0.798486,0.542228
21601198.965433,0.798486,0.541004
21601212.891304,0.800378,0.538556
21601228.453990,0.803217,0.532436
21601257.575291,0.803217,0.532436
21601272.047362,0.802271,0.532436
21601287.317314,0.800378,0.532436
21601301.969667,0.800378,0.531212
21601318.010725,0.792810,0.529988
21601332.958044,0.773888,0.526316
21601346.415361,0.543992,0.484700
21601363.243590,0.390728,0.450428
21601378.571553,0.369915,0.446756
21601409.371616,0.344371,0.441860
21601422.778061,0.338694,0.438188
21601437.166685,0.321665,0.421053
21601452.759270,0.323557,0.423501
21601479.996983,0.332072,0.423501
21601487.774980,0.332072,0.423501
21601500.683419,0.331126,0.424725
21601513.952869,0.331126,0.416157
21601527.085322,0.329234,0.422277
21601559.343703,0.332072,0.417381
21601572.231169,0.332072,0.416157
21601588.296771,0.330180,0.421053
21601602.123130,0.326395,0.428397
21601616.478286,0.322611,0.439412
21601632.318981,0.321665,0.441860
21601649.429681,0.320719,0.447980
21601663.499242,0.319773,0.452876
21601679.117708,0.301798,0.507956
21601709.174332,0.294229,0.528764
21601722.299645,0.285714,0.534884
21601737.421891,0.277200,0.545900
21601751.532506,0.278146,0.541004
21601767.046552,0.278146,0.542228
21601782.344617,0.279092,0.547124
21601796.965734,0.279092,0.548348
21601814.428518,0.285714,0.558140
21601829.637335,0.284768,0.558140
21601860.216061,0.290445,0.567931
21601872.598382,0.302744,0.581395
21601886.518898,0.305582,0.577723
21601901.675058,0.306528,0.578947
21601917.412225,0.315043,0.585067
21601931.791032,0.325449,0.586291
21601955.714061,0.329234,0.591187
21601989.241108,0.328288,0.594859
21601998.160591,0.325449,0.594859
21602015.236037,0.327342,0.593635
21602022.727100,0.322611,0.593635
21602036.786398,0.318827,0.588739
21602052.647174,0.318827,0.587515
21602066.424447,0.318827,0.585067
21602083.063469,0.319773,0.585067
21602097.919754,0.325449,0.582619
21602112.132559,0.326395,0.582619
21602128.334710,0.327342,0.582619
21602158.592589,0.329234,0.585067
21602174.125823,0.329234,0.585067
21602187.838391,0.328288,0.585067
21602201.863328,0.324503,0.583843
21602218.628190,0.323557,0.583843
21602233.073487,0.322611,0.582619
21602246.584353,0.328288,0.576499
21602263.017211,0.326395,0.575275
21602279.111372,0.326395,0.575275
21602309.144345,0.322611,0.575275
21602323.134921,0.322611,0.572827
21602337.408414,0.320719,0.570379
21602352.959945,0.321665,0.570379
21602367.590432,0.322611,0.567931
21602381.502023,0.321665,0.561812
21602397.632776,0.321665,0.560588
21602416.164310,0.325449,0.561812
21602428.091464,0.328288,0.561812
21602468.358548,0.329234,0.567931
21602486.628584,0.329234,0.566707
21602562.720416,0.358562,0.547124
21602579.124268,0.361400,0.545900
21602606.887208,0.326395,0.589963
21602621.574368,0.333018,0.544676
21602637.258433,0.332072,0.547124
21602650.656846,0.331126,0.509180
21602666.837577,0.330180,0.503060
21602682.411866,0.330180,0.517748
21602696.487228,0.330180,0.527540
21602713.861657,0.329234,0.531212
21602730.369484,0.323557,0.538556
21602876.515493,0.343425,0.577723
21602909.506157,0.331126,0.538556
21602921.236518,0.315043,0.484700
21602936.635880,0.318827,0.482252
21602960.144350,0.318827,0.481028
21602981.366723,0.319773,0.479804
21602987.035334,0.317881,0.468788
21603002.166058,0.318827,0.463892
21603012.213195,0.317881,0.466340
21603028.692908,0.315989,0.465116
21603058.225644,0.315043,0.465116
21603072.448266,0.315989,0.466340
21603087.897161,0.320719,0.477356
21603102.191628,0.316935,0.495716
21603117.580280,0.315989,0.496940
21603132.529830,0.316935,0.499388
21603146.345033,0.316935,0.500612
21603163.132208,0.319773,0.509180
21603178.777003,0.318827,0.509180
21603209.485139,0.318827,0.516524
21603223.824231,0.319773,0.521420
21603236.927678,0.319773,0.523868
21603252.331502,0.322611,0.526316
21603267.299348,0.322611,0.526316
21603281.318484,0.321665,0.525092
21603296.701335,0.320719,0.523868
21603313.779459,0.320719,0.523868
