tstamp,mouse_x,mouse_y
1429914889686,0.40492,0.458996
1429914889780,0.405866,0.462668
1429914889845,0.407758,0.465116
1429914889961,0.413434,0.46634
1429914890051,0.434248,0.468788
1429914890149,0.461684,0.468788
1429914890248,0.529801,0.465116
1429914890357,0.578997,0.455324
1429914890422,0.614002,0.443084
1429914890519,0.66509,0.432069
1429914890614,0.697256,0.421053
1429914890710,0.704825,0.413709
1429914890792,0.705771,0.411261
1429914890883,0.701041,0.413709
1429914890981,0.689688,0.417381
1429914891048,0.680227,0.419829
1429914891141,0.671712,0.430845
1429914891220,0.667928,0.435741
1429914891316,0.654683,0.449204
1429914891418,0.617786,0.483476
1429914891508,0.548723,0.525092
1429914891592,0.507096,0.53978
1429914891684,0.463576,0.555692
1429914891748,0.448439,0.564259
1429914891848,0.442763,0.576499
1429914891946,0.443709,0.585067
1429914892020,0.444655,0.587515
1429914892118,0.443709,0.592411
1429914892218,0.437086,0.599755
1429914892310,0.422895,0.605875
1429914892421,0.40492,0.605875
1429914892524,0.394513,0.603427
1429914892614,0.390728,0.598531
1429914892711,0.392621,0.593635
1429914892805,0.396405,0.589963
1429914892884,0.398297,0.589963
1429914892949,0.400189,0.589963
1429914893045,0.402081,0.589963
1429914893142,0.40492,0.588739
1429914893256,0.407758,0.588739
1429914893347,0.410596,0.589963
1429914893447,0.40965,0.589963
1429914893545,0.408704,0.587515
1429914893651,0.405866,0.587515
1429914893754,0.40492,0.585067
1429914893849,0.406812,0.583843
1429914893941,0.408704,0.585067
1429914894009,0.410596,0.582619
1429914894115,0.435194,0.52754
1429914894212,0.473983,0.416157
1429914894312,0.477767,0.370869
1429914894403,0.469253,0.372093
1429914894484,0.465468,0.372093
1429914894582,0.459792,0.354957
1429914894676,0.453169,0.298654
1429914894775,0.451277,0.232558
1429914894888,0.451277,0.187271
1429914894980,0.450331,0.164015
1429914895080,0.450331,0.162791
1429914895178,0.451277,0.177479
1429914895268,0.452223,0.206854
1429914895349,0.453169,0.23623
1429914895414,0.454115,0.264382
1429914895514,0.455061,0.28519
1429914895606,0.456008,0.286414
1429914895720,0.455061,0.282742
1429914895812,0.454115,0.27907
1429914895909,0.456008,0.271726
