tstamp,mouse_x,mouse_y
1429915954997,0.764428,0.287638
1429915955131,0.761589,0.288862
1429915955236,0.757805,0.288862
1429915955336,0.74929,0.296206
1429915955451,0.725639,0.30355
1429915955561,0.676443,0.319461
1429915955644,0.61684,0.346389
1429915955738,0.556291,0.396573
1429915955799,0.523179,0.428397
1429915955881,0.496689,0.461444
1429915955976,0.468307,0.516524
1429915956100,0.4579,0.575275
1429915956199,0.460738,0.646267
1429915956277,0.461684,0.671971
1429915956374,0.464522,0.691554
1429915956476,0.471145,0.697674
1429915956577,0.480605,0.694002
1429915956683,0.48912,0.685435
1429915956779,0.491958,0.684211
