tstamp,mouse_x,mouse_y
1429915974293,0.254494,0.679315
1429915974458,0.253548,0.675643
1429915974549,0.258278,0.668299
1429915974614,0.270577,0.664627
1429915974712,0.310312,0.649939
1429915974788,0.349101,0.636475
1429915974888,0.394513,0.624235
1429915974983,0.496689,0.599755
1429915975087,0.567644,0.578947
1429915975193,0.608325,0.553244
1429915975292,0.633869,0.544676
1429915975379,0.652791,0.5459
1429915975464,0.679281,0.542228
1429915975544,0.699149,0.531212
1429915975620,0.710501,0.52754
1429915975717,0.726585,0.528764
1429915975783,0.735099,0.532436
1429915975892,0.745506,0.534884
1429915975973,0.746452,0.542228
1429915976053,0.741722,0.548348
1429915976148,0.719962,0.565483
1429915976245,0.690634,0.596083
1429915976345,0.661306,0.641371
1429915976430,0.649007,0.670747
1429915976517,0.641438,0.701346
1429915976614,0.644276,0.718482
1429915976708,0.650899,0.725826
1429915976804,0.655629,0.725826
1429915976886,0.656575,0.72093
1429915976973,0.650899,0.709914
1429915977045,0.626301,0.681763
1429915977111,0.600757,0.658507
1429915977210,0.557237,0.611995
1429915977282,0.524125,0.572827
1429915977381,0.472091,0.499388
1429915977470,0.444655,0.450428
1429915977541,0.425733,0.394125
1429915977652,0.425733,0.358629
1429915977719,0.429518,0.339045
1429915977812,0.43141,0.314565
1429915977911,0.433302,0.299878
1429915977997,0.438032,0.294982
1429915978094,0.449385,0.290086
1429915978181,0.449385,0.30355
1429915978246,0.448439,0.308446
1429915978347,0.444655,0.323133
1429915978436,0.438978,0.348837
1429915978521,0.433302,0.369645
1429915978613,0.422895,0.414933
1429915978710,0.40965,0.470012
1429915978808,0.38789,0.525092
1429915978916,0.360454,0.575275
1429915978981,0.33964,0.608323
1429915979079,0.30842,0.656059
1429915979171,0.28193,0.698898
1429915979269,0.263955,0.735618
1429915979351,0.25544,0.760098
1429915979419,0.249763,0.78213
1429915979521,0.246925,0.80049
1429915979617,0.245979,0.821297
1429915979718,0.247871,0.833537
1429915979815,0.251656,0.837209
1429915979912,0.25544,0.831089
