tstamp,mouse_x,mouse_y
1429916017737,0.652791,0.70257
1429916017829,0.648061,0.700122
1429916017934,0.644276,0.697674
1429916018035,0.6386,0.692778
1429916018113,0.631977,0.686659
1429916018200,0.611164,0.674419
1429916018293,0.578997,0.647491
1429916018405,0.547777,0.608323
1429916018506,0.538316,0.556916
1429916018605,0.552507,0.489596
1429916018696,0.571429,0.439412
1429916018792,0.59035,0.403917
1429916018869,0.605487,0.379437
1429916018934,0.619678,0.350061
1429916019035,0.6386,0.305998
1429916019126,0.646168,0.282742
1429916019237,0.648061,0.27907
1429916019336,0.649953,0.282742
1429916019423,0.648061,0.290086
1429916019507,0.651845,0.304774
1429916019592,0.678335,0.324357
1429916019668,0.704825,0.324357
1429916019765,0.732261,0.313341
1429916019864,0.736991,0.305998
1429916019956,0.730369,0.302326
1429916020034,0.727531,0.29743
1429916020104,0.725639,0.292534
1429916020203,0.724693,0.290086
1429916020294,0.723746,0.298654
1429916020390,0.707663,0.334149
1429916020468,0.685903,0.378213
1429916020549,0.66036,0.419829
1429916020633,0.623463,0.467564
1429916020723,0.589404,0.500612
1429916020788,0.561968,0.514076
1429916020870,0.524125,0.52142
1429916020967,0.456954,0.52142
1429916021071,0.399243,0.511628
1429916021160,0.357616,0.512852
1429916021257,0.331126,0.525092
1429916021333,0.322611,0.53366
1429916021398,0.318827,0.541004
1429916021497,0.320719,0.548348
1429916021591,0.329234,0.548348
1429916021701,0.343425,0.541004
1429916021801,0.364238,0.512852
1429916021893,0.390728,0.471236
1429916021991,0.417219,0.425949
1429916022079,0.433302,0.396573
1429916022165,0.455061,0.357405
1429916022264,0.471145,0.325581
1429916022356,0.478713,0.299878
1429916022452,0.476821,0.277846
1429916022535,0.473037,0.26683
1429916022605,0.470199,0.261934
1429916022694,0.468307,0.264382
1429916022790,0.468307,0.269278
