tstamp,mouse_x,mouse_y
1429915248968,0.140965,0.52142
1429915249066,0.143803,0.523868
1429915249157,0.145695,0.52142
1429915249239,0.148534,0.517748
1429915249337,0.171239,0.5153
1429915249429,0.226112,0.516524
1429915249527,0.298959,0.516524
1429915249645,0.371807,0.516524
1429915249734,0.422895,0.517748
1429915249832,0.448439,0.520196
1429915249924,0.464522,0.52142
1429915249988,0.473983,0.518972
1429915250070,0.485336,0.517748
1429915250164,0.503311,0.516524
1429915250263,0.512772,0.517748
1429915250359,0.490066,0.516524
1429915250468,0.430464,0.512852
1429915250533,0.385998,0.511628
1429915250632,0.324503,0.507956
1429915250726,0.275307,0.504284
1429915250820,0.23368,0.501836
1429915250904,0.20719,0.499388
1429915250997,0.176916,0.494492
1429915251094,0.157048,0.49082
1429915251162,0.14948,0.49082
1429915251251,0.148534,0.492044
1429915251332,0.150426,0.494492
1429915251431,0.165563,0.495716
1429915251526,0.221381,0.501836
1429915251621,0.296121,0.494492
1429915251702,0.343425,0.479804
1429915251797,0.406812,0.461444
1429915251862,0.452223,0.46022
1429915251959,0.536424,0.465116
1429915252058,0.611164,0.457772
1429915252132,0.644276,0.44798
1429915252231,0.672658,0.435741
1429915252330,0.677389,0.418605
1429915252420,0.673605,0.386781
1429915252486,0.674551,0.361077
1429915252567,0.681173,0.339045
1429915252661,0.693472,0.324357
1429915252760,0.704825,0.324357
1429915252858,0.715232,0.328029
1429915252932,0.719016,0.331701
1429915252998,0.71807,0.337821
1429915253096,0.711447,0.350061
1429915253189,0.701041,0.376989
1429915253287,0.684011,0.423501
1429915253367,0.670766,0.457772
1429915253460,0.653737,0.504284
1429915253558,0.647114,0.541004
1429915253657,0.646168,0.572827
1429915253716,0.642384,0.593635
1429915253797,0.6386,0.611995
1429915253895,0.635762,0.630355
1429915253988,0.634816,0.640147
1429915254085,0.629139,0.642595
1429915254165,0.613056,0.635251
1429915254261,0.558184,0.611995
1429915254327,0.503311,0.593635
1429915254421,0.418165,0.571603
1429915254516,0.346263,0.55814
1429915254597,0.309366,0.553244
1429915254695,0.258278,0.553244
1429915254787,0.219489,0.548348
1429915254883,0.205298,0.53366
1429915254950,0.206244,0.528764
1429915255033,0.210028,0.528764
1429915255125,0.220435,0.532436
1429915255224,0.245033,0.537332
1429915255316,0.290445,0.536108
1429915255396,0.33018,0.526316
1429915255464,0.367077,0.504284
1429915255561,0.398297,0.455324
1429915255652,0.407758,0.405141
1429915255750,0.418165,0.370869
1429915255831,0.427625,0.356181
1429915255926,0.438032,0.335373
1429915256023,0.444655,0.324357
1429915256091,0.446547,0.325581
1429915256180,0.446547,0.329253
1429915256263,0.445601,0.332925
1429915256359,0.446547,0.341493
1429915256452,0.445601,0.348837
1429915256549,0.442763,0.356181
1429915256630,0.441816,0.361077
1429915256724,0.441816,0.369645
