tstamp,mouse_x,mouse_y
1429915358229,0.155156,0.499388
1429915358311,0.155156,0.498164
1429915358378,0.156102,0.49694
1429915358480,0.159886,0.495716
1429915358580,0.172185,0.501836
1429915358681,0.210028,0.507956
1429915358773,0.289499,0.500612
1429915358870,0.384106,0.500612
1429915358964,0.465468,0.52142
1429915359064,0.522233,0.553244
1429915359141,0.552507,0.576499
1429915359244,0.591296,0.602203
1429915359346,0.632923,0.614443
1429915359431,0.657521,0.626683
1429915359541,0.662252,0.634027
1429915359637,0.656575,0.631579
1429915359735,0.649953,0.627907
1429915359829,0.636708,0.623011
1429915359944,0.607379,0.605875
1429915360042,0.573321,0.569155
1429915360133,0.548723,0.522644
1429915360231,0.529801,0.476132
1429915360341,0.509934,0.432069
1429915360436,0.498581,0.391677
1429915360535,0.501419,0.362301
1429915360628,0.513718,0.347613
1429915360727,0.53264,0.348837
1429915360807,0.540208,0.354957
1429915360900,0.539262,0.363525
1429915360998,0.535478,0.369645
1429915361097,0.534532,0.374541
