tstamp,mouse_x,mouse_y
1429915482664,0.331126,0.517748
1429915482766,0.326395,0.514076
1429915482855,0.33018,0.512852
1429915482953,0.358562,0.512852
1429915483028,0.391675,0.50918
1429915483127,0.456008,0.483476
1429915483224,0.509934,0.422277
1429915483316,0.538316,0.347613
1429915483400,0.552507,0.308446
1429915483496,0.578051,0.276622
1429915483590,0.609272,0.280294
1429915483686,0.642384,0.301102
1429915483785,0.680227,0.334149
1429915483859,0.703879,0.346389
1429915483958,0.736991,0.351285
1429915484056,0.762535,0.348837
1429915484148,0.77578,0.347613
1429915484230,0.780511,0.347613
1429915484329,0.789972,0.348837
1429915484421,0.803217,0.359853
1429915484519,0.813623,0.376989
1429915484627,0.816462,0.385557
1429915484691,0.813623,0.386781
