tstamp,mouse_x,mouse_y
1429915497606,0.384106,0.629131
1429915497702,0.377483,0.625459
1429915497817,0.367077,0.615667
1429915497914,0.343425,0.603427
1429915498004,0.301798,0.588739
1429915498103,0.242195,0.574051
1429915498219,0.187323,0.560588
1429915498308,0.155156,0.549572
1429915498375,0.142857,0.543452
1429915498473,0.133396,0.53978
1429915498546,0.130558,0.538556
1429915498651,0.12772,0.543452
1429915498748,0.128666,0.544676
1429915498849,0.130558,0.541004
1429915498936,0.131504,0.523868
1429915499051,0.131504,0.489596
1429915499141,0.134342,0.467564
1429915499239,0.137181,0.471236
1429915499333,0.141911,0.4847
1429915499446,0.166509,0.50306
1429915499544,0.227058,0.526316
1429915499604,0.285714,0.53978
1429915499702,0.385998,0.55202
1429915499801,0.472091,0.55202
1429915499878,0.512772,0.555692
1429915499974,0.555345,0.567931
1429915500071,0.589404,0.574051
1429915500178,0.620624,0.577723
1429915500281,0.646168,0.585067
1429915500377,0.657521,0.594859
1429915500482,0.653737,0.609547
1429915500582,0.649007,0.620563
1429915500684,0.642384,0.620563
