tstamp,gaze_x,gaze_y
3601692.905627,0.451277,0.632803
3601706.201970,0.452223,0.632803
3601722.490391,0.452223,0.630355
3601734.906737,0.451277,0.631579
3601748.577480,0.449385,0.630355
3601769.399313,0.448439,0.630355
3601782.574723,0.447493,0.627907
3601794.804091,0.449385,0.627907
3601827.338540,0.452223,0.618115
3601840.562591,0.453169,0.610771
3601857.722084,0.452223,0.611995
3601870.044272,0.449385,0.611995
3601883.576679,0.449385,0.611995
3601899.543803,0.448439,0.613219
3601913.990567,0.449385,0.616891
3601928.560496,0.452223,0.616891
3601944.673988,0.455061,0.618115
3601975.680045,0.460738,0.620563
3601992.445950,0.460738,0.619339
3602005.777099,0.460738,0.621787
3602018.402288,0.459792,0.621787
3602034.595213,0.461684,0.623011
3602049.834510,0.451277,0.632803
3602063.285253,0.444655,0.636475
3602079.717812,0.443709,0.636475
3602095.477432,0.444655,0.637699
3602126.979268,0.445601,0.623011
3602140.929361,0.445601,0.623011
3602153.128384,0.446547,0.624235
3602169.468570,0.450331,0.630355
3602184.419146,0.455061,0.630355
3602199.009602,0.456008,0.631579
3602215.096320,0.454115,0.632803
3602230.580160,0.447493,0.632803
3602246.765052,0.433302,0.623011
3602283.815063,0.423841,0.616891
3602292.740427,0.423841,0.616891
3602305.653445,0.409650,0.600979
3602319.205040,0.396405,0.588739
3602333.841012,0.398297,0.594859
3602350.440913,0.397351,0.593635
3602366.366983,0.395459,0.591187
3602378.126008,0.393567,0.588739
3602394.629520,0.388836,0.585067
3602425.286166,0.362346,0.558140
3602440.995807,0.363292,0.554468
3602456.211453,0.368023,0.512852
3602468.693843,0.366131,0.500612
3602485.096057,0.362346,0.504284
3602499.939980,0.357616,0.509180
3602513.508532,0.361400,0.490820
3602529.559105,0.361400,0.488372
3602544.278972,0.360454,0.485924
3602576.298453,0.351939,0.461444
3602591.319089,0.350993,0.447980
3602605.056769,0.352886,0.450428
3602621.521904,0.352886,0.438188
3602634.849930,0.351939,0.428397
3602648.264081,0.353832,0.414933
3602664.734124,0.353832,0.414933
3602679.239347,0.357616,0.395349
3602693.384896,0.355724,0.390453
3602725.952813,0.361400,0.380661
3602739.998849,0.363292,0.378213
3602769.296676,0.365184,0.373317
3602789.653968,0.384106,0.332925
3602800.770399,0.389782,0.329253
3602810.003673,0.391675,0.325581
3602815.460367,0.392621,0.321909
3602829.675530,0.393567,0.317013
3602844.527932,0.395459,0.314565
3602875.610743,0.394513,0.319461
3602892.153525,0.394513,0.319461
3602905.413721,0.396405,0.318237
3602918.277652,0.397351,0.317013
3602934.241206,0.399243,0.317013
3602949.120382,0.398297,0.318237
3602963.684063,0.398297,0.320685
3602980.050131,0.399243,0.323133
3602995.625452,0.399243,0.324357
3603026.915321,0.402081,0.328029
3603040.323671,0.420057,0.329253
3603054.346502,0.518448,0.332925
3603069.326976,0.510880,0.331701
3603083.778650,0.540208,0.347613
3603098.037544,0.548723,0.351285
3603115.734764,0.548723,0.350061
3603130.097634,0.554399,0.357405
3603142.798238,0.561022,0.364749
3603175.622301,0.559130,0.359853
3603188.969069,0.570482,0.362301
3603205.220898,0.605487,0.380661
3603219.743971,0.619678,0.381885
3603233.361610,0.629139,0.378213
3603249.919564,0.631977,0.375765
3603278.620315,0.634816,0.376989
3603292.365581,0.637654,0.383109
3603304.936327,0.638600,0.383109
3603324.154799,0.672658,0.418605
3603341.312954,0.671712,0.418605
3603356.723609,0.672658,0.416157
3603368.768678,0.672658,0.414933
3603385.219979,0.677389,0.418605
3603399.963943,0.674551,0.414933
3603413.389697,0.675497,0.417381
3603429.736130,0.675497,0.419829
3603444.009751,0.676443,0.422277
3603477.636610,0.681173,0.428397
3603492.814326,0.680227,0.427173
3603505.520285,0.676443,0.428397
3603521.668139,0.676443,0.430845
3603534.400426,0.676443,0.430845
3603547.968533,0.674551,0.429621
3603564.361375,0.676443,0.428397
3603579.527488,0.676443,0.427173
3603593.568169,0.666982,0.435741
3603627.142817,0.569536,0.523868
3603639.554700,0.505203,0.580171
3603656.412977,0.489120,0.597307
3603672.242658,0.474929,0.603427
3603684.912471,0.470199,0.604651
3603699.578342,0.429518,0.592411
3603714.903765,0.412488,0.585067
3603728.393778,0.410596,0.583843
3603751.966717,0.391675,0.580171
3603786.683755,0.371807,0.570379
3603797.765379,0.371807,0.570379
3603808.291873,0.362346,0.572827
3603817.833949,0.360454,0.574051
3603834.501679,0.362346,0.572827
3603849.169782,0.365184,0.569155
3603863.316223,0.363292,0.566707
3603880.529712,0.362346,0.567931
3603895.861828,0.362346,0.569155
3603925.836611,0.366131,0.570379
3603940.420373,0.366131,0.570379
3603953.894321,0.367077,0.572827
3603971.931134,0.368023,0.574051
3603984.706261,0.368023,0.577723
3603998.593433,0.368969,0.577723
3604014.879623,0.368023,0.578947
3604029.936405,0.368023,0.578947
3604042.705285,0.370861,0.581395
3604075.819408,0.373699,0.580171
3604088.592304,0.373699,0.582619
3604105.083321,0.388836,0.585067
3604120.927281,0.392621,0.585067
3604133.415919,0.399243,0.580171
3604150.305433,0.398297,0.580171
3604164.810209,0.398297,0.578947
3604178.045416,0.398297,0.580171
3604194.653349,0.397351,0.581395
3604224.525496,0.392621,0.580171
3604241.188763,0.390728,0.582619
3604265.905431,0.389782,0.583843
3604284.256847,0.388836,0.581395
3604299.041865,0.388836,0.580171
3604309.384060,0.389782,0.582619
3604315.566797,0.390728,0.574051
3604329.462894,0.390728,0.577723
3604345.107829,0.399243,0.571603
