tstamp,gaze_x,gaze_y
3634974.294452,0.615894,0.282742
3634988.826895,0.614948,0.285190
3635001.879588,0.615894,0.291310
3635018.192552,0.615894,0.291310
3635033.081100,0.615894,0.291310
3635048.114232,0.614002,0.291310
3635063.775678,0.612110,0.286414
3635078.657978,0.611164,0.283966
3635092.189938,0.610218,0.280294
3635124.491893,0.608325,0.276622
3635136.914486,0.608325,0.275398
3635153.027087,0.605487,0.275398
3635168.101273,0.587512,0.274174
3635182.112501,0.567644,0.263158
3635199.509397,0.552507,0.249694
3635214.149386,0.549669,0.247246
3635228.343575,0.544939,0.241126
3635244.211187,0.542100,0.238678
3635273.529988,0.542100,0.235006
3635303.305299,0.541154,0.233782
3635314.415036,0.535478,0.235006
3635322.378294,0.532640,0.232558
3635334.069937,0.535478,0.221542
3635349.111993,0.529801,0.220318
3635364.060784,0.530747,0.222766
3635380.817317,0.531693,0.223990
3635393.486238,0.519395,0.221542
3635423.848362,0.522233,0.222766
3635437.747583,0.520341,0.225214
3635451.104615,0.516556,0.223990
3635468.756763,0.523179,0.227662
3635483.282960,0.513718,0.225214
3635498.124652,0.522233,0.228886
3635515.123496,0.524125,0.228886
3635529.402026,0.522233,0.232558
3635541.807662,0.523179,0.242350
3635573.831606,0.512772,0.345165
3635586.402352,0.516556,0.325581
3635603.076776,0.520341,0.313341
3635619.138951,0.513718,0.336597
3635632.234483,0.520341,0.368421
3635648.625540,0.516556,0.368421
3635663.239201,0.515610,0.370869
3635677.709616,0.512772,0.372093
3635693.998037,0.519395,0.384333
3635722.232907,0.552507,0.485924
3635738.247780,0.551561,0.473684
3635753.463872,0.568590,0.563035
3635768.547429,0.570482,0.563035
3635797.328504,0.589404,0.610771
3635815.904828,0.593188,0.618115
3635825.320170,0.591296,0.615667
3635832.104447,0.583728,0.602203
3635842.533659,0.575213,0.591187
3635874.358577,0.577105,0.591187
3635888.574186,0.580889,0.589963
3635901.826797,0.581835,0.593635
3635917.953231,0.582781,0.591187
3635932.859628,0.582781,0.592411
3635947.543349,0.583728,0.589963
3635963.323497,0.588458,0.587515
3635979.292406,0.586566,0.588739
3635993.259456,0.572375,0.611995
3636024.726038,0.577105,0.607099
3636036.855002,0.574267,0.611995
3636053.171983,0.565752,0.627907
3636067.873107,0.561968,0.638923
3636082.260967,0.563860,0.640147
3636099.905976,0.561968,0.640147
3636115.392493,0.552507,0.638923
3636128.914190,0.545885,0.636475
3636145.994251,0.526017,0.645043
3636172.684664,0.514664,0.648715
3636188.132358,0.512772,0.647491
3636202.875876,0.508042,0.648715
3636216.915218,0.493851,0.657283
3636233.303152,0.493851,0.657283
3636248.659812,0.495743,0.659731
3636264.625151,0.499527,0.659731
3636281.218358,0.501419,0.659731
3636300.047704,0.498581,0.658507
3636326.335157,0.499527,0.667075
3636338.832719,0.500473,0.665851
3636351.694864,0.504257,0.660955
3636368.122960,0.504257,0.660955
3636383.740674,0.505203,0.658507
3636398.114254,0.507096,0.653611
3636413.831481,0.506149,0.657283
3636429.093983,0.507096,0.657283
3636441.630368,0.505203,0.658507
3636473.890376,0.503311,0.663403
3636486.644084,0.502365,0.665851
3636503.486742,0.502365,0.665851
3636518.544417,0.502365,0.665851
3636531.094190,0.501419,0.663403
3636548.387111,0.504257,0.660955
