tstamp,gaze_x,gaze_y
3708951.086096,0.419111,0.653611
3708964.936675,0.415326,0.641371
3708978.233910,0.408704,0.621787
3708994.199696,0.403027,0.610771
3709010.001709,0.393567,0.604651
3709024.742996,0.393567,0.607099
3709041.142086,0.389782,0.609547
3709070.190016,0.388836,0.608323
3709085.629677,0.389782,0.609547
3709099.594943,0.391675,0.609547
3709112.784632,0.394513,0.602203
3709129.034676,0.394513,0.600979
3709145.414578,0.389782,0.586291
3709158.823821,0.384106,0.560588
3709175.156867,0.381268,0.505508
3709190.750929,0.379376,0.493268
3709221.752077,0.378430,0.476132
3709234.924810,0.378430,0.473684
3709247.928861,0.377483,0.470012
3709264.945556,0.377483,0.467564
3709280.004123,0.376537,0.465116
3709294.168414,0.377483,0.463892
3709310.113226,0.379376,0.449204
3709324.609524,0.399243,0.396573
3709339.416409,0.387890,0.423501
3709371.459541,0.404920,0.394125
3709391.273305,0.406812,0.379437
3709412.553432,0.405866,0.376989
3709422.473478,0.407758,0.372093
3709431.408660,0.407758,0.369645
3709443.827237,0.413434,0.373317
3709459.487344,0.411542,0.372093
3709473.409769,0.418165,0.373317
3709490.201110,0.415326,0.372093
3709520.915322,0.416272,0.375765
3709536.736523,0.412488,0.384333
3709550.263129,0.410596,0.380661
3709563.094929,0.401135,0.402693
3709579.485541,0.399243,0.405141
3709594.576238,0.395459,0.416157
3709607.810106,0.395459,0.417381
3709624.650980,0.398297,0.421053
3709640.569017,0.399243,0.424725
3709674.397133,0.400189,0.428397
3709686.871044,0.399243,0.425949
3709698.365000,0.397351,0.423501
3709714.399061,0.398297,0.419829
3709729.687445,0.397351,0.422277
3709742.947195,0.397351,0.417381
3709760.405227,0.397351,0.413709
3709775.639615,0.396405,0.408813
3709790.806174,0.394513,0.408813
3709822.661437,0.385998,0.407589
3709835.110805,0.363292,0.378213
3709849.407631,0.366131,0.374541
3709864.646928,0.409650,0.369645
3709883.879233,0.440870,0.353733
3709911.616539,0.442763,0.339045
3709921.716422,0.475875,0.319461
3709934.109563,0.482498,0.318237
3709947.104243,0.485336,0.314565
3709970.249679,0.485336,0.312118
3709985.477374,0.483444,0.314565
3709999.595701,0.484390,0.318237
3710012.671598,0.487228,0.312118
3710029.736041,0.491012,0.309670
3710044.992296,0.501419,0.302326
3710060.015163,0.520341,0.320685
3710075.162088,0.515610,0.315789
3710090.127390,0.543992,0.334149
3710121.603790,0.574267,0.358629
3710134.379810,0.581835,0.348837
3710148.451728,0.575213,0.352509
3710164.707573,0.575213,0.351285
3710180.643460,0.582781,0.348837
3710193.303009,0.581835,0.348837
3710210.173335,0.596973,0.357405
3710224.530404,0.601703,0.363525
3710238.994126,0.631031,0.410037
3710270.791823,0.632923,0.411261
3710283.117581,0.639546,0.424725
3710300.305188,0.638600,0.427173
3710315.326270,0.637654,0.425949
3710327.591339,0.638600,0.421053
3710344.047102,0.641438,0.414933
3710360.064206,0.639546,0.413709
3710374.227604,0.640492,0.412485
3710397.146347,0.643330,0.406365
3710422.801023,0.647114,0.399021
3710438.156344,0.650899,0.390453
3710450.156342,0.639546,0.399021
3710463.126033,0.605487,0.430845
3710479.804473,0.570482,0.463892
3710494.631885,0.506149,0.474908
3710508.170985,0.511826,0.485924
3710526.317128,0.509934,0.490820
3710541.190057,0.491958,0.490820
3710573.698178,0.485336,0.501836
3710586.619674,0.493851,0.517748
3710598.090425,0.504257,0.534884
3710614.520752,0.490066,0.553244
3710629.345487,0.481552,0.566707
3710642.856027,0.441816,0.631579
3710659.708057,0.435194,0.642595
3710675.099970,0.432356,0.648715
3710689.686856,0.422895,0.663403
3710722.409621,0.428571,0.662179
3710733.247595,0.426679,0.668299
3710749.441412,0.426679,0.670747
3710764.216613,0.425733,0.671971
3710777.659324,0.425733,0.669523
3710794.830420,0.425733,0.667075
3710809.999656,0.423841,0.662179
3710823.877904,0.423841,0.659731
3710840.734842,0.423841,0.659731
3710870.558347,0.422895,0.657283
3710886.889162,0.422895,0.659731
3710911.178772,0.421003,0.660955
3710919.861378,0.420057,0.662179
3710932.579832,0.415326,0.653611
3710946.008710,0.416272,0.654835
3710958.724040,0.377483,0.619339
3710974.160578,0.368023,0.553244
3710990.232124,0.360454,0.534884
3711021.352420,0.353832,0.529988
3711035.410950,0.382214,0.599755
3711048.525671,0.400189,0.565483
3711065.581635,0.399243,0.561812
3711080.494726,0.397351,0.556916
3711093.422023,0.402081,0.553244
3711109.620303,0.396405,0.547124
3711124.759195,0.367077,0.525092
3711139.299671,0.370861,0.518972
3711227.713030,0.356670,0.503060
3711244.023317,0.356670,0.503060
3711259.587928,0.405866,0.483476
3711273.262687,0.410596,0.510404
3711291.050494,0.411542,0.526316
3711321.411726,0.401135,0.518972
3711336.746519,0.394513,0.507956
3711350.241441,0.394513,0.515300
3711362.825575,0.381268,0.482252
3711379.928395,0.382214,0.488372
