tstamp,gaze_x,gaze_y
3799710.888444,0.485336,0.621787
3799726.052772,0.486282,0.621787
3799740.250531,0.487228,0.632803
3799756.619277,0.489120,0.635251
3799773.407940,0.487228,0.632803
3799784.911266,0.482498,0.630355
3799816.787503,0.463576,0.636475
3799829.161901,0.457900,0.637699
3799845.588212,0.451277,0.638923
3799861.112661,0.439924,0.643819
3799874.636589,0.438978,0.642595
3799892.335593,0.438978,0.642595
3799908.283975,0.436140,0.638923
3799919.743123,0.436140,0.640147
3799935.741931,0.436140,0.631579
3799965.282516,0.436140,0.632803
3799980.118407,0.435194,0.631579
3799995.568778,0.432356,0.631579
3800009.912906,0.428571,0.642595
3800030.608898,0.424787,0.642595
3800064.371416,0.421949,0.641371
3800075.247767,0.417219,0.634027
3800085.403431,0.421003,0.641371
3800094.763885,0.430464,0.662179
3800116.631718,0.431410,0.662179
3800130.274794,0.435194,0.648715
3800145.567640,0.433302,0.652387
3800163.076098,0.428571,0.649939
3800178.368498,0.413434,0.637699
3800190.590281,0.403027,0.627907
3800206.691279,0.409650,0.631579
3800220.603440,0.409650,0.629131
3800234.218849,0.406812,0.624235
3800265.900968,0.413434,0.629131
3800279.175891,0.402081,0.604651
3800298.084222,0.424787,0.630355
3800311.207867,0.402081,0.604651
3800325.795645,0.402081,0.610771
3800341.770802,0.418165,0.635251
3800356.748153,0.424787,0.641371
3800368.927542,0.414380,0.629131
3800385.138762,0.422895,0.632803
3800415.413869,0.418165,0.618115
3800431.319857,0.421003,0.620563
3800445.595709,0.417219,0.608323
3800460.224988,0.416272,0.600979
3800476.236291,0.423841,0.610771
3800491.459523,0.423841,0.599755
3800504.151202,0.421949,0.597307
3800520.348589,0.439924,0.616891
3800542.849200,0.437086,0.610771
3800584.694569,0.418165,0.593635
3800595.392422,0.415326,0.581395
3800610.546040,0.430464,0.591187
3800625.974991,0.423841,0.578947
3800639.708655,0.416272,0.569155
3800658.395202,0.424787,0.582619
3800672.388134,0.421003,0.575275
3800684.603669,0.420057,0.572827
3800716.393334,0.413434,0.560588
3800729.201037,0.414380,0.556916
3800760.521697,0.421003,0.563035
3800776.420099,0.420057,0.560588
3800808.270900,0.469253,0.481028
3800818.938408,0.486282,0.436965
3800864.951714,0.491958,0.432069
3800880.834498,0.513718,0.412485
3800895.739557,0.518448,0.400245
3800911.174309,0.541154,0.414933
3800928.299442,0.545885,0.417381
3800942.253997,0.551561,0.412485
3800955.594072,0.555345,0.406365
3800970.197468,0.557237,0.402693
3800985.156523,0.572375,0.378213
3801016.436575,0.572375,0.389229
3801032.103376,0.569536,0.391677
3801063.557017,0.567644,0.397797
3801080.212699,0.556291,0.401469
3801093.361780,0.554399,0.401469
3801107.103030,0.548723,0.395349
3801113.788239,0.548723,0.395349
3801122.034417,0.549669,0.394125
3801133.731414,0.554399,0.394125
3801166.341279,0.570482,0.392901
3801180.167315,0.595080,0.407589
3801196.411112,0.593188,0.402693
3801211.143920,0.642384,0.391677
3801224.907036,0.646168,0.394125
3801241.676956,0.647114,0.396573
3801256.392361,0.658467,0.410037
3801268.942580,0.659413,0.412485
3801285.599601,0.653737,0.407589
3801315.739494,0.656575,0.408813
3801330.802078,0.652791,0.408813
3801345.214481,0.646168,0.399021
3801360.230656,0.645222,0.394125
3801376.151370,0.657521,0.383109
3801391.242514,0.657521,0.384333
3801405.612078,0.661306,0.392901
3801420.690726,0.658467,0.395349
3801435.911281,0.654683,0.397797
3801467.149832,0.672658,0.388005
3801480.398872,0.676443,0.383109
3801494.445354,0.671712,0.381885
3801509.835929,0.671712,0.381885
3801527.214529,0.675497,0.381885
3801549.177413,0.675497,0.384333
3801576.899100,0.675497,0.386781
